song,artist,start_date,end_date,rank,ranking_list
Someone You Loved,Lewis Capaldi,2019-11-23,2019-11-29,1,Billboard Hot 100
Circles,Post Malone,2019-11-23,2019-11-29,2,Billboard Hot 100
Senorita,Shawn Mendes & Camila Cabello,2019-11-23,2019-11-29,3,Billboard Hot 100
Good As Hell,Lizzo,2019-11-23,2019-11-29,4,Billboard Hot 100
Memories,Maroon 5,2019-11-23,2019-11-29,5,Billboard Hot 100
Truth Hurts,Lizzo,2019-11-23,2019-11-29,6,Billboard Hot 100
No Guidance,Chris Brown Featuring Drake,2019-11-23,2019-11-29,7,Billboard Hot 100
Lose You To Love Me,Selena Gomez,2019-11-23,2019-11-29,8,Billboard Hot 100
Panini,Lil Nas X,2019-11-23,2019-11-29,9,Billboard Hot 100
"10,000 Hours",Dan + Shay & Justin Bieber,2019-11-23,2019-11-29,10,Billboard Hot 100
Even Though I'm Leaving,Luke Combs,2019-11-23,2019-11-29,11,Billboard Hot 100
HIGHEST IN THE ROOM,Travis Scott,2019-11-23,2019-11-29,12,Billboard Hot 100
Bad Guy,Billie Eilish,2019-11-23,2019-11-29,13,Billboard Hot 100
Trampoline,SHAED,2019-11-23,2019-11-29,14,Billboard Hot 100
Beautiful People,Ed Sheeran Featuring Khalid,2019-11-23,2019-11-29,15,Billboard Hot 100
Hot,Young Thug Featuring Gunna,2019-11-23,2019-11-29,16,Billboard Hot 100
Ran$om,Lil Tecca,2019-11-23,2019-11-29,17,Billboard Hot 100
Only Human,Jonas Brothers,2019-11-23,2019-11-29,18,Billboard Hot 100
Woah,Lil Baby,2019-11-23,2019-11-29,19,Billboard Hot 100
One Man Band,Old Dominion,2019-11-23,2019-11-29,20,Billboard Hot 100
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-11-23,2019-11-29,21,Billboard Hot 100
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-11-23,2019-11-29,22,Billboard Hot 100
Dance Monkey,Tones And I,2019-11-23,2019-11-29,23,Billboard Hot 100
I Don't Care,Ed Sheeran & Justin Bieber,2019-11-23,2019-11-29,24,Billboard Hot 100
Ballin',Mustard & Roddy Ricch,2019-11-23,2019-11-29,25,Billboard Hot 100
Lover,Taylor Swift,2019-11-23,2019-11-29,26,Billboard Hot 100
Roxanne,Arizona Zervas,2019-11-23,2019-11-29,27,Billboard Hot 100
On Chill,Wale Featuring Jeremih,2019-11-23,2019-11-29,28,Billboard Hot 100
Talk,Khalid,2019-11-23,2019-11-29,29,Billboard Hot 100
Goodbyes,Post Malone Featuring Young Thug,2019-11-23,2019-11-29,30,Billboard Hot 100
How Do You Sleep?,Sam Smith,2019-11-23,2019-11-29,31,Billboard Hot 100
Sucker,Jonas Brothers,2019-11-23,2019-11-29,32,Billboard Hot 100
Playing Games,Summer Walker,2019-11-23,2019-11-29,33,Billboard Hot 100
Baby,Lil Baby & DaBaby,2019-11-23,2019-11-29,34,Billboard Hot 100
Money In The Grave,Drake Featuring Rick Ross,2019-11-23,2019-11-29,35,Billboard Hot 100
Heat,Chris Brown Featuring Gunna,2019-11-23,2019-11-29,36,Billboard Hot 100
Suge,DaBaby,2019-11-23,2019-11-29,37,Billboard Hot 100
Follow God,Kanye West,2019-11-23,2019-11-29,38,Billboard Hot 100
All I Want For Christmas Is You,Mariah Carey,2019-11-23,2019-11-29,39,Billboard Hot 100
One Thing Right,Marshmello & Kane Brown,2019-11-23,2019-11-29,40,Billboard Hot 100
Dancing With A Stranger,Sam Smith & Normani,2019-11-23,2019-11-29,41,Billboard Hot 100
Graveyard,Halsey,2019-11-23,2019-11-29,42,Billboard Hot 100
Time,NF,2019-11-23,2019-11-29,43,Billboard Hot 100
223's,YNW Melly & 9lokknine,2019-11-23,2019-11-29,44,Billboard Hot 100
Hot Girl Bummer,blackbear,2019-11-23,2019-11-29,45,Billboard Hot 100
Don't Start Now,Dua Lipa,2019-11-23,2019-11-29,46,Billboard Hot 100
Juicy,Doja Cat & Tyga,2019-11-23,2019-11-29,47,Billboard Hot 100
The Bones,Maren Morris,2019-11-23,2019-11-29,48,Billboard Hot 100
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-11-23,2019-11-29,49,Billboard Hot 100
My Type,Saweetie,2019-11-23,2019-11-29,50,Billboard Hot 100
Camelot,NLE Choppa,2019-11-23,2019-11-29,51,Billboard Hot 100
VIBEZ,DaBaby,2019-11-23,2019-11-29,52,Billboard Hot 100
Remember You Young,Thomas Rhett,2019-11-23,2019-11-29,53,Billboard Hot 100
What If I Never Get Over You,Lady Antebellum,2019-11-23,2019-11-29,54,Billboard Hot 100
Liar,Camila Cabello,2019-11-23,2019-11-29,55,Billboard Hot 100
Heart On Ice,Rod Wave,2019-11-23,2019-11-29,56,Billboard Hot 100
Prayed For You,Matt Stell,2019-11-23,2019-11-29,57,Billboard Hot 100
Every Little Thing,Russell Dickerson,2019-11-23,2019-11-29,58,Billboard Hot 100
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-11-23,2019-11-29,59,Billboard Hot 100
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",2019-11-23,2019-11-29,60,Billboard Hot 100
Good Vibes,Chris Janson,2019-11-23,2019-11-29,61,Billboard Hot 100
Stuck In A Dream,Lil Mosey x Gunna,2019-11-23,2019-11-29,62,Billboard Hot 100
Nice To Meet Ya,Niall Horan,2019-11-23,2019-11-29,63,Billboard Hot 100
Baby Sitter,DaBaby Featuring Offset,2019-11-23,2019-11-29,64,Billboard Hot 100
Kinfolks,Sam Hunt,2019-11-23,2019-11-29,65,Billboard Hot 100
Enemies,Post Malone Featuring DaBaby,2019-11-23,2019-11-29,66,Billboard Hot 100
BOP,DaBaby,2019-11-23,2019-11-29,67,Billboard Hot 100
Hate Me,Ellie Goulding & Juice WRLD,2019-11-23,2019-11-29,68,Billboard Hot 100
Make No Sense,YoungBoy Never Broke Again,2019-11-23,2019-11-29,69,Billboard Hot 100
We Were,Keith Urban,2019-11-23,2019-11-29,70,Billboard Hot 100
Heartache Medication,Jon Pardi,2019-11-23,2019-11-29,71,Billboard Hot 100
Better Together,Luke Combs,2019-11-23,2019-11-29,72,Billboard Hot 100
Lonely Child,YoungBoy Never Broke Again,2019-11-23,2019-11-29,73,Billboard Hot 100
everything i wanted,Billie Eilish,2019-11-23,2019-11-29,74,Billboard Hot 100
Tip Of My Tongue,Kenny Chesney,2019-11-23,2019-11-29,75,Billboard Hot 100
Ridin' Roads,Dustin Lynch,2019-11-23,2019-11-29,76,Billboard Hot 100
I Don't Know About You,Chris Lane,2019-11-23,2019-11-29,77,Billboard Hot 100
Tusa,Karol G & Nicki Minaj,2019-11-23,2019-11-29,78,Billboard Hot 100
Slow Dancing In The Dark,Joji,2019-11-23,2019-11-29,79,Billboard Hot 100
All The Good Girls Go To Hell,Billie Eilish,2019-11-23,2019-11-29,80,Billboard Hot 100
Yellow Hearts,Ant Saunders,2019-11-23,2019-11-29,81,Billboard Hot 100
It All Comes Out In The Wash,Miranda Lambert,2019-11-23,2019-11-29,82,Billboard Hot 100
Jerry Sprunger,Tory Lanez & T-Pain,2019-11-23,2019-11-29,83,Billboard Hot 100
La Cancion,J Balvin & Bad Bunny,2019-11-23,2019-11-29,84,Billboard Hot 100
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,2019-11-23,2019-11-29,85,Billboard Hot 100
Self Control,YoungBoy Never Broke Again,2019-11-23,2019-11-29,86,Billboard Hot 100
Look At Her Now.,Selena Gomez,2019-11-23,2019-11-29,87,Billboard Hot 100
Hot Now,YoungBoy Never Broke Again,2019-11-23,2019-11-29,88,Billboard Hot 100
homecoming queen?,Kelsea Ballerini,2019-11-23,2019-11-29,89,Billboard Hot 100
Show Me Love,Alicia Keys Featuring Miguel,2019-11-23,2019-11-29,90,Billboard Hot 100
Easy,DaniLeigh Featuring Chris Brown,2019-11-23,2019-11-29,91,Billboard Hot 100
Valentino,24kGoldn,2019-11-23,2019-11-29,92,Billboard Hot 100
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,2019-11-23,2019-11-29,93,Billboard Hot 100
Lalala,Y2K & bbno$,2019-11-23,2019-11-29,94,Billboard Hot 100
Living,Dierks Bentley,2019-11-23,2019-11-29,95,Billboard Hot 100
Somebody,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",2019-11-23,2019-11-29,96,Billboard Hot 100
Come Thru,Summer Walker & Usher,2019-11-23,2019-11-29,97,Billboard Hot 100
Start Wit Me,Roddy Ricch & Gunna,2019-11-23,2019-11-29,98,Billboard Hot 100
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-11-23,2019-11-29,99,Billboard Hot 100
Immortal,21 Savage,2019-11-23,2019-11-29,100,Billboard Hot 100
