song,artist,start_date,end_date,rank,ranking_list
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016-12-31,2017-01-06,1,Billboard Hot 100
Starboy,The Weeknd Featuring Daft Punk,2016-12-31,2017-01-06,2,Billboard Hot 100
Closer,The Chainsmokers Featuring Halsey,2016-12-31,2017-01-06,3,Billboard Hot 100
24K Magic,Bruno Mars,2016-12-31,2017-01-06,4,Billboard Hot 100
Side To Side,Ariana Grande Featuring Nicki Minaj,2016-12-31,2017-01-06,5,Billboard Hot 100
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2016-12-31,2017-01-06,6,Billboard Hot 100
Deja Vu,J. Cole,2016-12-31,2017-01-06,7,Billboard Hot 100
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,2016-12-31,2017-01-06,8,Billboard Hot 100
Let Me Love You,DJ Snake Featuring Justin Bieber,2016-12-31,2017-01-06,9,Billboard Hot 100
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2016-12-31,2017-01-06,10,Billboard Hot 100
Immortal,J. Cole,2016-12-31,2017-01-06,11,Billboard Hot 100
Fake Love,Drake,2016-12-31,2017-01-06,12,Billboard Hot 100
Neighbors,J. Cole,2016-12-31,2017-01-06,13,Billboard Hot 100
Bad Things,Machine Gun Kelly x Camila Cabello,2016-12-31,2017-01-06,14,Billboard Hot 100
Heathens,twenty one pilots,2016-12-31,2017-01-06,15,Billboard Hot 100
Caroline,Amine,2016-12-31,2017-01-06,16,Billboard Hot 100
Broccoli,D.R.A.M. Featuring Lil Yachty,2016-12-31,2017-01-06,17,Billboard Hot 100
Scars To Your Beautiful,Alessia Cara,2016-12-31,2017-01-06,18,Billboard Hot 100
Starving,Hailee Steinfeld & Grey Featuring Zedd,2016-12-31,2017-01-06,19,Billboard Hot 100
All I Want For Christmas Is You,Mariah Carey,2016-12-31,2017-01-06,20,Billboard Hot 100
Change,J. Cole,2016-12-31,2017-01-06,21,Billboard Hot 100
She's Mine Pt.1,J. Cole,2016-12-31,2017-01-06,22,Billboard Hot 100
For Whom The Bell Tolls,J. Cole,2016-12-31,2017-01-06,23,Billboard Hot 100
Ville Mentality,J. Cole,2016-12-31,2017-01-06,24,Billboard Hot 100
I Hate U I Love U,gnash Featuring Olivia O'Brien,2016-12-31,2017-01-06,25,Billboard Hot 100
Bad And Boujee,Migos Featuring Lil Uzi Vert,2016-12-31,2017-01-06,26,Billboard Hot 100
Love On The Brain,Rihanna,2016-12-31,2017-01-06,27,Billboard Hot 100
The Greatest,Sia Featuring Kendrick Lamar,2016-12-31,2017-01-06,28,Billboard Hot 100
4 Your Eyez Only,J. Cole,2016-12-31,2017-01-06,29,Billboard Hot 100
Foldin Clothes,J. Cole,2016-12-31,2017-01-06,30,Billboard Hot 100
Bounce Back,Big Sean,2016-12-31,2017-01-06,31,Billboard Hot 100
Treat You Better,Shawn Mendes,2016-12-31,2017-01-06,32,Billboard Hot 100
I Feel It Coming,The Weeknd Featuring Daft Punk,2016-12-31,2017-01-06,33,Billboard Hot 100
She's Mine Pt. 2,J. Cole,2016-12-31,2017-01-06,34,Billboard Hot 100
In The Name Of Love,Martin Garrix & Bebe Rexha,2016-12-31,2017-01-06,35,Billboard Hot 100
All Time Low,Jon Bellion,2016-12-31,2017-01-06,36,Billboard Hot 100
Love Me Now,John Legend,2016-12-31,2017-01-06,37,Billboard Hot 100
Blue Ain't Your Color,Keith Urban,2016-12-31,2017-01-06,38,Billboard Hot 100
Can't Stop The Feeling!,Justin Timberlake,2016-12-31,2017-01-06,39,Billboard Hot 100
Cold Water,Major Lazer Featuring Justin Bieber & MO,2016-12-31,2017-01-06,40,Billboard Hot 100
Cheap Thrills,Sia Featuring Sean Paul,2016-12-31,2017-01-06,41,Billboard Hot 100
Unsteady,X Ambassadors,2016-12-31,2017-01-06,42,Billboard Hot 100
Don't Let Me Down,The Chainsmokers Featuring Daya,2016-12-31,2017-01-06,43,Billboard Hot 100
Mercy,Shawn Mendes,2016-12-31,2017-01-06,44,Billboard Hot 100
Hallelujah,Pentatonix,2016-12-31,2017-01-06,45,Billboard Hot 100
Jingle Bell Rock,Bobby Helms,2016-12-31,2017-01-06,46,Billboard Hot 100
OOOUUU,Young M.A,2016-12-31,2017-01-06,47,Billboard Hot 100
Rockin' Around The Christmas Tree,Brenda Lee,2016-12-31,2017-01-06,48,Billboard Hot 100
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,2016-12-31,2017-01-06,49,Billboard Hot 100
This Town,Niall Horan,2016-12-31,2017-01-06,50,Billboard Hot 100
X,21 Savage & Metro Boomin Featuring Future,2016-12-31,2017-01-06,51,Billboard Hot 100
Just Hold On,Steve Aoki & Louis Tomlinson,2016-12-31,2017-01-06,52,Billboard Hot 100
Party Monster,The Weeknd,2016-12-31,2017-01-06,53,Billboard Hot 100
False Prophets,J. Cole,2016-12-31,2017-01-06,54,Billboard Hot 100
No Heart,21 Savage & Metro Boomin,2016-12-31,2017-01-06,55,Billboard Hot 100
May We All,Florida Georgia Line Featuring Tim McGraw,2016-12-31,2017-01-06,56,Billboard Hot 100
Everybody Dies,J. Cole,2016-12-31,2017-01-06,57,Billboard Hot 100
You Was Right,Lil Uzi Vert,2016-12-31,2017-01-06,58,Billboard Hot 100
Wanna Be That Song,Brett Eldredge,2016-12-31,2017-01-06,59,Billboard Hot 100
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",2016-12-31,2017-01-06,60,Billboard Hot 100
Water Under The Bridge,Adele,2016-12-31,2017-01-06,61,Billboard Hot 100
Million Reasons,Lady Gaga,2016-12-31,2017-01-06,62,Billboard Hot 100
Come And See Me,PARTYNEXTDOOR Featuring Drake,2016-12-31,2017-01-06,63,Billboard Hot 100
Used To This,Future Featuring Drake,2016-12-31,2017-01-06,64,Billboard Hot 100
Say You Won't Let Go,James Arthur,2016-12-31,2017-01-06,65,Billboard Hot 100
How Far I'll Go,Auli'i Cravalho,2016-12-31,2017-01-06,66,Billboard Hot 100
Darlin' Don't Go,Sundance Head,2016-12-31,2017-01-06,67,Billboard Hot 100
Better Man,Little Big Town,2016-12-31,2017-01-06,68,Billboard Hot 100
Song For Another Time,Old Dominion,2016-12-31,2017-01-06,69,Billboard Hot 100
Dirty Laundry,Carrie Underwood,2016-12-31,2017-01-06,70,Billboard Hot 100
Chantaje,Shakira Featuring Maluma,2016-12-31,2017-01-06,71,Billboard Hot 100
