song,artist,start_date,end_date,rank,ranking_list
If You Leave Me Now,Chicago,1976-10-30,1976-11-05,1,Billboard Hot 100
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,1976-10-30,1976-11-05,2,Billboard Hot 100
Rock'n Me,Steve Miller,1976-10-30,1976-11-05,3,Billboard Hot 100
The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,1976-10-30,1976-11-05,4,Billboard Hot 100
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,1976-10-30,1976-11-05,5,Billboard Hot 100
Love So Right,Bee Gees,1976-10-30,1976-11-05,6,Billboard Hot 100
She's Gone,Daryl Hall John Oates,1976-10-30,1976-11-05,7,Billboard Hot 100
Play That Funky Music,Wild Cherry,1976-10-30,1976-11-05,8,Billboard Hot 100
Muskrat Love,Captain & Tennille,1976-10-30,1976-11-05,9,Billboard Hot 100
Magic Man,Heart,1976-10-30,1976-11-05,10,Billboard Hot 100
That'll Be The Day,Linda Ronstadt,1976-10-30,1976-11-05,11,Billboard Hot 100
I Only Want To Be With You,Bay City Rollers,1976-10-30,1976-11-05,12,Billboard Hot 100
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,1976-10-30,1976-11-05,13,Billboard Hot 100
(Don't Fear) The Reaper,Blue Oyster Cult,1976-10-30,1976-11-05,14,Billboard Hot 100
Beth/Detroit Rock City,KISS,1976-10-30,1976-11-05,15,Billboard Hot 100
Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.,1976-10-30,1976-11-05,16,Billboard Hot 100
Just To Be Close To You,Commodores,1976-10-30,1976-11-05,17,Billboard Hot 100
Fernando,ABBA,1976-10-30,1976-11-05,18,Billboard Hot 100
More Than A Feeling,Boston,1976-10-30,1976-11-05,19,Billboard Hot 100
You Are The Woman,Firefall,1976-10-30,1976-11-05,20,Billboard Hot 100
The Rubberband Man,The Spinners,1976-10-30,1976-11-05,21,Billboard Hot 100
Tonight's The Night (Gonna Be Alright),Rod Stewart,1976-10-30,1976-11-05,22,Billboard Hot 100
The Best Disco In Town,The Ritchie Family,1976-10-30,1976-11-05,23,Billboard Hot 100
Do You Feel Like We Do,Peter Frampton,1976-10-30,1976-11-05,24,Billboard Hot 100
Lowdown,Boz Scaggs,1976-10-30,1976-11-05,25,Billboard Hot 100
Still The One,Orleans,1976-10-30,1976-11-05,26,Billboard Hot 100
A Little Bit More,Dr. Hook,1976-10-30,1976-11-05,27,Billboard Hot 100
A Dose Of Rock 'N' Roll,Ringo Starr,1976-10-30,1976-11-05,28,Billboard Hot 100
This One's For You,Barry Manilow,1976-10-30,1976-11-05,29,Billboard Hot 100
You Are My Starship,Norman Connors,1976-10-30,1976-11-05,30,Billboard Hot 100
Did You Boogie (With Your Baby),Flash Cadillac And The Continental Kids,1976-10-30,1976-11-05,31,Billboard Hot 100
Devil Woman,Cliff Richard,1976-10-30,1976-11-05,32,Billboard Hot 100
I'd Really Love To See You Tonight,England Dan & John Ford Coley,1976-10-30,1976-11-05,33,Billboard Hot 100
I Never Cry,Alice Cooper,1976-10-30,1976-11-05,34,Billboard Hot 100
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",1976-10-30,1976-11-05,35,Billboard Hot 100
Nice 'N' Naasty,The Salsoul Orchestra,1976-10-30,1976-11-05,36,Billboard Hot 100
Nights Are Forever Without You,England Dan & John Ford Coley,1976-10-30,1976-11-05,37,Billboard Hot 100
Anything You Want,John Valenti,1976-10-30,1976-11-05,38,Billboard Hot 100
Getaway,"Earth, Wind & Fire",1976-10-30,1976-11-05,39,Billboard Hot 100
Give It Up (turn It Loose),Tyrone Davis,1976-10-30,1976-11-05,40,Billboard Hot 100
Love Ballad,L.T.D.,1976-10-30,1976-11-05,41,Billboard Hot 100
Stand Tall,Burton Cummings,1976-10-30,1976-11-05,42,Billboard Hot 100
It's A Long Way There,Little River Band,1976-10-30,1976-11-05,43,Billboard Hot 100
Love Me,Yvonne Elliman,1976-10-30,1976-11-05,44,Billboard Hot 100
Get The Funk Out Ma Face,The Brothers Johnson,1976-10-30,1976-11-05,45,Billboard Hot 100
