song,artist,start_date,end_date,rank,ranking_list
The Letter,The Box Tops,1967-10-14,1967-10-20,1,Billboard Hot 100
Never My Love,The Association,1967-10-14,1967-10-20,2,Billboard Hot 100
To Sir With Love,Lulu,1967-10-14,1967-10-20,3,Billboard Hot 100
Little Ole Man (Uptight-Everything's Alright),Bill Cosby,1967-10-14,1967-10-20,4,Billboard Hot 100
Ode To Billie Joe,Bobbie Gentry,1967-10-14,1967-10-20,5,Billboard Hot 100
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967-10-14,1967-10-20,6,Billboard Hot 100
Come Back When You Grow Up,Bobby Vee And The Strangers,1967-10-14,1967-10-20,7,Billboard Hot 100
How Can I Be Sure,The Young Rascals,1967-10-14,1967-10-20,8,Billboard Hot 100
Gimme Little Sign,Brenton Wood,1967-10-14,1967-10-20,9,Billboard Hot 100
Soul Man,Sam & Dave,1967-10-14,1967-10-20,10,Billboard Hot 100
"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,1967-10-14,1967-10-20,11,Billboard Hot 100
Hey Baby (They're Playing Our Song),The Buckinghams,1967-10-14,1967-10-20,12,Billboard Hot 100
Your Precious Love,Marvin Gaye & Tammi Terrell,1967-10-14,1967-10-20,13,Billboard Hot 100
Dandelion,The Rolling Stones,1967-10-14,1967-10-20,14,Billboard Hot 100
Expressway (To Your Heart),Soul Survivors,1967-10-14,1967-10-20,15,Billboard Hot 100
Get On Up,The Esquires,1967-10-14,1967-10-20,16,Billboard Hot 100
I Dig Rock And Roll Music,"Peter, Paul & Mary",1967-10-14,1967-10-20,17,Billboard Hot 100
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967-10-14,1967-10-20,18,Billboard Hot 100
You Keep Running Away,Four Tops,1967-10-14,1967-10-20,19,Billboard Hot 100
Brown Eyed Girl,Van Morrison,1967-10-14,1967-10-20,20,Billboard Hot 100
Funky Broadway,Wilson Pickett,1967-10-14,1967-10-20,21,Billboard Hot 100
Reflections,Diana Ross & The Supremes,1967-10-14,1967-10-20,22,Billboard Hot 100
People Are Strange,The Doors,1967-10-14,1967-10-20,23,Billboard Hot 100
It Must Be Him,Vikki Carr,1967-10-14,1967-10-20,24,Billboard Hot 100
Lightning's Girl,Nancy Sinatra,1967-10-14,1967-10-20,25,Billboard Hot 100
Groovin',Booker T. & The MG's,1967-10-14,1967-10-20,26,Billboard Hot 100
Let It Out (Let It All Hang Out),The Hombres,1967-10-14,1967-10-20,27,Billboard Hot 100
Let Love Come Between Us,James & Bobby Purify,1967-10-14,1967-10-20,28,Billboard Hot 100
Ode To Billie Joe,The Kingpins,1967-10-14,1967-10-20,29,Billboard Hot 100
What Now My Love,Mitch Ryder,1967-10-14,1967-10-20,30,Billboard Hot 100
The Look Of Love,Dusty Springfield,1967-10-14,1967-10-20,31,Billboard Hot 100
Child Of Clay,Jimmie Rodgers,1967-10-14,1967-10-20,32,Billboard Hot 100
Memphis Soul Stew,King Curtis,1967-10-14,1967-10-20,33,Billboard Hot 100
Incense And Peppermints,Strawberry Alarm Clock,1967-10-14,1967-10-20,34,Billboard Hot 100
A Banda (Ah Bahn-da),Herb Alpert & The Tijuana Brass,1967-10-14,1967-10-20,35,Billboard Hot 100
The Last Waltz,Engelbert Humperdinck,1967-10-14,1967-10-20,36,Billboard Hot 100
Please Love Me Forever,Bobby Vinton,1967-10-14,1967-10-20,37,Billboard Hot 100
Love Is Strange,Peaches & Herb,1967-10-14,1967-10-20,38,Billboard Hot 100
I Make A Fool Of Myself,Frankie Valli,1967-10-14,1967-10-20,39,Billboard Hot 100
Love Bug Leave My Heart Alone,Martha & The Vandellas,1967-10-14,1967-10-20,40,Billboard Hot 100
I'm Wondering,Stevie Wonder,1967-10-14,1967-10-20,41,Billboard Hot 100
Gettin' Together,Tommy James And The Shondells,1967-10-14,1967-10-20,42,Billboard Hot 100
You're My Everything,The Temptations,1967-10-14,1967-10-20,43,Billboard Hot 100
Why Do Fools Fall In Love,The Happenings,1967-10-14,1967-10-20,44,Billboard Hot 100
You Know What I Mean,The Turtles,1967-10-14,1967-10-20,45,Billboard Hot 100
Holiday,Bee Gees,1967-10-14,1967-10-20,46,Billboard Hot 100
I Had A Dream,Paul Revere & The Raiders Featuring Mark Lindsay,1967-10-14,1967-10-20,47,Billboard Hot 100
"The Rain, The Park & Other Things",The Cowsills,1967-10-14,1967-10-20,48,Billboard Hot 100
Even The Bad Times Are Good,The Tremeloes,1967-10-14,1967-10-20,49,Billboard Hot 100
