song,artist,start_date,end_date,rank,ranking_list
Nothing Compares 2 U,Sinead O'Connor,1990-04-21,1990-04-27,1,Billboard Hot 100
Don't Wanna Fall In Love,Jane Child,1990-04-21,1990-04-27,2,Billboard Hot 100
All Around The World,Lisa Stansfield,1990-04-21,1990-04-27,3,Billboard Hot 100
I Wanna Be Rich,Calloway,1990-04-21,1990-04-27,4,Billboard Hot 100
I'll Be Your Everything,Tommy Page,1990-04-21,1990-04-27,5,Billboard Hot 100
Here And Now,Luther Vandross,1990-04-21,1990-04-27,6,Billboard Hot 100
How Can We Be Lovers,Michael Bolton,1990-04-21,1990-04-27,7,Billboard Hot 100
Forever,KISS,1990-04-21,1990-04-27,8,Billboard Hot 100
Without You,Motley Crue,1990-04-21,1990-04-27,9,Billboard Hot 100
"Whole Wide World (From ""True Love"")",A'me Lorain,1990-04-21,1990-04-27,10,Billboard Hot 100
Whip Appeal,Babyface,1990-04-21,1990-04-27,11,Billboard Hot 100
Love Will Lead You Back,Taylor Dayne,1990-04-21,1990-04-27,12,Billboard Hot 100
What It Takes,Aerosmith,1990-04-21,1990-04-27,13,Billboard Hot 100
Black Velvet,Alannah Myles,1990-04-21,1990-04-27,14,Billboard Hot 100
Heartbeat,Seduction,1990-04-21,1990-04-27,15,Billboard Hot 100
Get Up! (Before The Night Is Over),Technotronic,1990-04-21,1990-04-27,16,Billboard Hot 100
I Wish It Would Rain Down,Phil Collins,1990-04-21,1990-04-27,17,Billboard Hot 100
All I Wanna Do Is Make Love To You,Heart,1990-04-21,1990-04-27,18,Billboard Hot 100
Sending All My Love,Linear,1990-04-21,1990-04-27,19,Billboard Hot 100
Hold On,Wilson Phillips,1990-04-21,1990-04-27,20,Billboard Hot 100
Love Child,Sweet Sensation,1990-04-21,1990-04-27,21,Billboard Hot 100
The Heart Of The Matter,Don Henley,1990-04-21,1990-04-27,22,Billboard Hot 100
Room At The Top,Adam Ant,1990-04-21,1990-04-27,23,Billboard Hot 100
Alright,Janet Jackson,1990-04-21,1990-04-27,24,Billboard Hot 100
This Old Heart Of Mine,Rod Stewart With Ronald Isley,1990-04-21,1990-04-27,25,Billboard Hot 100
If U Were Mine,The U-Krew,1990-04-21,1990-04-27,26,Billboard Hot 100
Heart Of Stone,Cher,1990-04-21,1990-04-27,27,Billboard Hot 100
Vogue,Madonna,1990-04-21,1990-04-27,28,Billboard Hot 100
Poison,Bell Biv DeVoe,1990-04-21,1990-04-27,29,Billboard Hot 100
The Humpty Dance,Digital Underground,1990-04-21,1990-04-27,30,Billboard Hot 100
Your Baby Never Looked Good In Blue,Expose,1990-04-21,1990-04-27,31,Billboard Hot 100
The Secret Garden,Quincy Jones,1990-04-21,1990-04-27,32,Billboard Hot 100
All My Life,Linda Ronstadt (Featuring Aaron Neville),1990-04-21,1990-04-27,33,Billboard Hot 100
"It Must Have Been Love (From ""Pretty Woman"")",Roxette,1990-04-21,1990-04-27,34,Billboard Hot 100
Escapade,Janet Jackson,1990-04-21,1990-04-27,35,Billboard Hot 100
Expression,Salt-N-Pepa,1990-04-21,1990-04-27,36,Billboard Hot 100
No More Lies,Michel'le,1990-04-21,1990-04-27,37,Billboard Hot 100
