song,artist,start_date,end_date,rank,ranking_list
Need You Tonight,INXS,1988-01-30,1988-02-05,1,Billboard Hot 100
Could've Been,Tiffany,1988-01-30,1988-02-05,2,Billboard Hot 100
Hazy Shade Of Winter,The Bangles,1988-01-30,1988-02-05,3,Billboard Hot 100
The Way You Make Me Feel,Michael Jackson,1988-01-30,1988-02-05,4,Billboard Hot 100
Seasons Change,Expose,1988-01-30,1988-02-05,5,Billboard Hot 100
I Want To Be Your Man,Roger,1988-01-30,1988-02-05,6,Billboard Hot 100
Got My Mind Set On You,George Harrison,1988-01-30,1988-02-05,7,Billboard Hot 100
"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,1988-01-30,1988-02-05,8,Billboard Hot 100
Candle In The Wind,Elton John,1988-01-30,1988-02-05,9,Billboard Hot 100
Tell It To My Heart(Dub),Taylor Dayne,1988-01-30,1988-02-05,10,Billboard Hot 100
I Could Never Take The Place Of Your Man,Prince,1988-01-30,1988-02-05,11,Billboard Hot 100
What Have I Done To Deserve This?,Pet Shop Boys & Dusty Springfield,1988-01-30,1988-02-05,12,Billboard Hot 100
Say You Will,Foreigner,1988-01-30,1988-02-05,13,Billboard Hot 100
Tunnel Of Love,Bruce Springsteen,1988-01-30,1988-02-05,14,Billboard Hot 100
Don't Shed A Tear,Paul Carrack,1988-01-30,1988-02-05,15,Billboard Hot 100
Crazy,Icehouse,1988-01-30,1988-02-05,16,Billboard Hot 100
I Live For Your Love,Natalie Cole,1988-01-30,1988-02-05,17,Billboard Hot 100
Everywhere,Fleetwood Mac,1988-01-30,1988-02-05,18,Billboard Hot 100
There's The Girl,Heart,1988-01-30,1988-02-05,19,Billboard Hot 100
So Emotional,Whitney Houston,1988-01-30,1988-02-05,20,Billboard Hot 100
She's Like The Wind,Patrick Swayze (Featuring Wendy Fraser),1988-01-30,1988-02-05,21,Billboard Hot 100
Pop Goes The World,Men Without Hats,1988-01-30,1988-02-05,22,Billboard Hot 100
Honestly,Stryper,1988-01-30,1988-02-05,23,Billboard Hot 100
Never Gonna Give You Up,Rick Astley,1988-01-30,1988-02-05,24,Billboard Hot 100
Pump Up The Volume,M/A/R/R/S,1988-01-30,1988-02-05,25,Billboard Hot 100
Push It,Salt-N-Pepa,1988-01-30,1988-02-05,26,Billboard Hot 100
Can't Stay Away From You,Gloria Estefan & Miami Sound Machine,1988-01-30,1988-02-05,27,Billboard Hot 100
Faith,George Michael,1988-01-30,1988-02-05,28,Billboard Hot 100
I Found Someone,Cher,1988-01-30,1988-02-05,29,Billboard Hot 100
Father Figure,George Michael,1988-01-30,1988-02-05,30,Billboard Hot 100
Is This Love,Whitesnake,1988-01-30,1988-02-05,31,Billboard Hot 100
Shake Your Love,Debbie Gibson,1988-01-30,1988-02-05,32,Billboard Hot 100
I Get Weak,Belinda Carlisle,1988-01-30,1988-02-05,33,Billboard Hot 100
Cherry Bomb,John Mellencamp,1988-01-30,1988-02-05,34,Billboard Hot 100
853-5937,Squeeze,1988-01-30,1988-02-05,35,Billboard Hot 100
Because Of You,The Cover Girls,1988-01-30,1988-02-05,36,Billboard Hot 100
Just Like Paradise,David Lee Roth,1988-01-30,1988-02-05,37,Billboard Hot 100
"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison,1988-01-30,1988-02-05,38,Billboard Hot 100
Love Overboard,Gladys Knight And The Pips,1988-01-30,1988-02-05,39,Billboard Hot 100
Endless Summer Nights,Richard Marx,1988-01-30,1988-02-05,40,Billboard Hot 100
Don't You Want Me,Jody Watley,1988-01-30,1988-02-05,41,Billboard Hot 100
Be Still My Beating Heart,Sting,1988-01-30,1988-02-05,42,Billboard Hot 100
True Faith,New Order,1988-01-30,1988-02-05,43,Billboard Hot 100
Rhythm Of Love,Yes,1988-01-30,1988-02-05,44,Billboard Hot 100
Power Of Love,Laura Branigan,1988-01-30,1988-02-05,45,Billboard Hot 100
I Need A Man,Eurythmics,1988-01-30,1988-02-05,46,Billboard Hot 100
In God's Country,U2,1988-01-30,1988-02-05,47,Billboard Hot 100
I Want Her,Keith Sweat,1988-01-30,1988-02-05,48,Billboard Hot 100
Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,1988-01-30,1988-02-05,49,Billboard Hot 100
Twilight World,Swing Out Sister,1988-01-30,1988-02-05,50,Billboard Hot 100
"Live My Life (From The Film ""Hiding Out"")",Boy George,1988-01-30,1988-02-05,51,Billboard Hot 100
Heaven Is A Place On Earth,Belinda Carlisle,1988-01-30,1988-02-05,52,Billboard Hot 100
Valerie,Steve Winwood,1988-01-30,1988-02-05,53,Billboard Hot 100
Never Thought (That I Could Love),Dan Hill,1988-01-30,1988-02-05,54,Billboard Hot 100
Hysteria,Def Leppard,1988-01-30,1988-02-05,55,Billboard Hot 100
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1988-01-30,1988-02-05,56,Billboard Hot 100
Out Of The Blue,Debbie Gibson,1988-01-30,1988-02-05,57,Billboard Hot 100
Hot In The City,Billy Idol,1988-01-30,1988-02-05,58,Billboard Hot 100
(Sittin' On) The Dock Of The Bay,Michael Bolton,1988-01-30,1988-02-05,59,Billboard Hot 100
Rocket 2 U,The Jets,1988-01-30,1988-02-05,60,Billboard Hot 100
Just Like Heaven,The Cure,1988-01-30,1988-02-05,61,Billboard Hot 100
Dude (Looks Like A Lady),Aerosmith,1988-01-30,1988-02-05,62,Billboard Hot 100
Wishing Well,Terence Trent D'Arby,1988-01-30,1988-02-05,63,Billboard Hot 100
Reason To Live,KISS,1988-01-30,1988-02-05,64,Billboard Hot 100
Never Let Me Down Again,Depeche Mode,1988-01-30,1988-02-05,65,Billboard Hot 100
That's What Love Is All About,Michael Bolton,1988-01-30,1988-02-05,66,Billboard Hot 100
Lonely Won't Leave Me Alone,Glenn Medeiros,1988-01-30,1988-02-05,67,Billboard Hot 100
