song,artist,start_date,end_date,rank,ranking_list
This Is How We Do It,Montell Jordan,1995-05-13,1995-05-19,1,Billboard Hot 100
Freak Like Me,Adina Howard,1995-05-13,1995-05-19,2,Billboard Hot 100
Red Light Special,TLC,1995-05-13,1995-05-19,3,Billboard Hot 100
I Know,Dionne Farris,1995-05-13,1995-05-19,4,Billboard Hot 100
Have You Ever Really Loved A Woman?,Bryan Adams,1995-05-13,1995-05-19,5,Billboard Hot 100
Run Away,Real McCoy,1995-05-13,1995-05-19,6,Billboard Hot 100
Water Runs Dry,Boyz II Men,1995-05-13,1995-05-19,7,Billboard Hot 100
I Believe,Blessid Union Of Souls,1995-05-13,1995-05-19,8,Billboard Hot 100
Dear Mama/Old School,2Pac,1995-05-13,1995-05-19,9,Billboard Hot 100
Strong Enough,Sheryl Crow,1995-05-13,1995-05-19,10,Billboard Hot 100
Candy Rain,Soul For Real,1995-05-13,1995-05-19,11,Billboard Hot 100
I'll Be There For You/You're All I Need To Get By,Method Man Featuring Mary J. Blige,1995-05-13,1995-05-19,12,Billboard Hot 100
Believe,Elton John,1995-05-13,1995-05-19,13,Billboard Hot 100
In The House Of Stone And Light,Martin Page,1995-05-13,1995-05-19,14,Billboard Hot 100
Take A Bow,Madonna,1995-05-13,1995-05-19,15,Billboard Hot 100
Total Eclipse Of The Heart,Nicki French,1995-05-13,1995-05-19,16,Billboard Hot 100
Big Poppa/Warning,The Notorious B.I.G.,1995-05-13,1995-05-19,17,Billboard Hot 100
"Keep Their Heads Ringin' (From ""Friday"")",Dr. Dre,1995-05-13,1995-05-19,18,Billboard Hot 100
Hold On,Jamie Walters,1995-05-13,1995-05-19,19,Billboard Hot 100
Hold My Hand,Hootie & The Blowfish,1995-05-13,1995-05-19,20,Billboard Hot 100
"Ask Of You (From ""Higher Learning"")",Raphael Saadiq,1995-05-13,1995-05-19,21,Billboard Hot 100
Let Her Cry,Hootie & The Blowfish,1995-05-13,1995-05-19,22,Billboard Hot 100
"Can't You See (From ""New Jersey Drive"")",Total Featuring The Notorious B.I.G.,1995-05-13,1995-05-19,23,Billboard Hot 100
Baby,Brandy,1995-05-13,1995-05-19,24,Billboard Hot 100
Cotton Eye Joe,Rednex,1995-05-13,1995-05-19,25,Billboard Hot 100
This Lil' Game We Play,Subway (Featuring 702),1995-05-13,1995-05-19,26,Billboard Hot 100
If You Love Me,Brownstone,1995-05-13,1995-05-19,27,Billboard Hot 100
Give It 2 You,Da Brat,1995-05-13,1995-05-19,28,Billboard Hot 100
"No More ""I Love You's""",Annie Lennox,1995-05-13,1995-05-19,29,Billboard Hot 100
You Gotta Be,Des'ree,1995-05-13,1995-05-19,30,Billboard Hot 100
I Live My Life For You,Firehouse,1995-05-13,1995-05-19,31,Billboard Hot 100
Like The Way I Do/If I Wanted To,Melissa Etheridge,1995-05-13,1995-05-19,32,Billboard Hot 100
Creep,TLC,1995-05-13,1995-05-19,33,Billboard Hot 100
Can't Stop Lovin' You,Van Halen,1995-05-13,1995-05-19,34,Billboard Hot 100
Another Night,Real McCoy,1995-05-13,1995-05-19,35,Billboard Hot 100
Dream About You/Funky Melody,Stevie B,1995-05-13,1995-05-19,36,Billboard Hot 100
Don't Take It Personal (Just One Of Dem Days),Monica,1995-05-13,1995-05-19,37,Billboard Hot 100
Every Little Thing I Do,Soul For Real,1995-05-13,1995-05-19,38,Billboard Hot 100
I'm Goin' Down,Mary J. Blige,1995-05-13,1995-05-19,39,Billboard Hot 100
Tell Me When,The Human League,1995-05-13,1995-05-19,40,Billboard Hot 100
Run-Around,Blues Traveler,1995-05-13,1995-05-19,41,Billboard Hot 100
On Bended Knee,Boyz II Men,1995-05-13,1995-05-19,42,Billboard Hot 100
I'll Be Around,Rappin' 4-Tay Featuring The Spinners,1995-05-13,1995-05-19,43,Billboard Hot 100
Thank You,Boyz II Men,1995-05-13,1995-05-19,44,Billboard Hot 100
Wonderful,Adam Ant,1995-05-13,1995-05-19,45,Billboard Hot 100
I'd Rather Be Alone,IV Xample,1995-05-13,1995-05-19,46,Billboard Hot 100
"Shy Guy (From ""Bad Boys"")",Diana King,1995-05-13,1995-05-19,47,Billboard Hot 100
Someone To Love,Jon B. Featuring Babyface,1995-05-13,1995-05-19,48,Billboard Hot 100
Until The End Of Time,Foreigner,1995-05-13,1995-05-19,49,Billboard Hot 100
The Rhythm Of The Night,Corona,1995-05-13,1995-05-19,50,Billboard Hot 100
Joy,BLACKstreet,1995-05-13,1995-05-19,51,Billboard Hot 100
Close To You,Fun Factory,1995-05-13,1995-05-19,52,Billboard Hot 100
"Freedom (From ""Panther"")",Various Artists,1995-05-13,1995-05-19,53,Billboard Hot 100
Everlasting Love,Gloria Estefan,1995-05-13,1995-05-19,54,Billboard Hot 100
Never Find Someone Like You,Keith Martin,1995-05-13,1995-05-19,55,Billboard Hot 100
Here & Now,Letters To Cleo,1995-05-13,1995-05-19,56,Billboard Hot 100
Connection,Elastica,1995-05-13,1995-05-19,57,Billboard Hot 100
December,Collective Soul,1995-05-13,1995-05-19,58,Billboard Hot 100
Move It Like This,K7,1995-05-13,1995-05-19,59,Billboard Hot 100
Think Of You,Usher,1995-05-13,1995-05-19,60,Billboard Hot 100
Grapevyne,Brownstone,1995-05-13,1995-05-19,61,Billboard Hot 100
Mr. Personality,Gillette,1995-05-13,1995-05-19,62,Billboard Hot 100
Craziest,Naughty By Nature,1995-05-13,1995-05-19,63,Billboard Hot 100
Secret Garden,Bruce Springsteen,1995-05-13,1995-05-19,64,Billboard Hot 100
Bedtime Story,Madonna,1995-05-13,1995-05-19,65,Billboard Hot 100
Strange Currencies,R.E.M.,1995-05-13,1995-05-19,66,Billboard Hot 100
Feel So High,Des'ree,1995-05-13,1995-05-19,67,Billboard Hot 100
I Like,Kut Klose,1995-05-13,1995-05-19,68,Billboard Hot 100
"Crazy Love (From ""Jason's Lyric"")",Brian McKnight,1995-05-13,1995-05-19,69,Billboard Hot 100
(She's Got) Skillz,All-4-One,1995-05-13,1995-05-19,70,Billboard Hot 100
I Wish,Skee-Lo,1995-05-13,1995-05-19,71,Billboard Hot 100
For Your Love,Stevie Wonder,1995-05-13,1995-05-19,72,Billboard Hot 100
The I.N.C. Ride,Masta Ace Incorporated,1995-05-13,1995-05-19,73,Billboard Hot 100
Emotions,H-Town,1995-05-13,1995-05-19,74,Billboard Hot 100
