song,artist,start_date,end_date,rank,ranking_list
My Prerogative,Bobby Brown,1989-01-14,1989-01-20,1,Billboard Hot 100
Two Hearts,Phil Collins,1989-01-14,1989-01-20,2,Billboard Hot 100
Every Rose Has Its Thorn,Poison,1989-01-14,1989-01-20,3,Billboard Hot 100
Don't Rush Me,Taylor Dayne,1989-01-14,1989-01-20,4,Billboard Hot 100
Armageddon It,Def Leppard,1989-01-14,1989-01-20,5,Billboard Hot 100
In Your Room,The Bangles,1989-01-14,1989-01-20,6,Billboard Hot 100
Smooth Criminal,Michael Jackson,1989-01-14,1989-01-20,7,Billboard Hot 100
I Remember Holding You,Boys Club,1989-01-14,1989-01-20,8,Billboard Hot 100
Put A Little Love In Your Heart,Annie Lennox & Al Green,1989-01-14,1989-01-20,9,Billboard Hot 100
The Way You Love Me,Karyn White,1989-01-14,1989-01-20,10,Billboard Hot 100
Waiting For A Star To Fall,Boy Meets Girl,1989-01-14,1989-01-20,11,Billboard Hot 100
When I'm With You,Sheriff,1989-01-14,1989-01-20,12,Billboard Hot 100
Born To Be My Baby,Bon Jovi,1989-01-14,1989-01-20,13,Billboard Hot 100
When The Children Cry,White Lion,1989-01-14,1989-01-20,14,Billboard Hot 100
Silhouette,Kenny G,1989-01-14,1989-01-20,15,Billboard Hot 100
Giving You The Best That I Got,Anita Baker,1989-01-14,1989-01-20,16,Billboard Hot 100
All This Time,Tiffany,1989-01-14,1989-01-20,17,Billboard Hot 100
Look Away,Chicago,1989-01-14,1989-01-20,18,Billboard Hot 100
Holding On,Steve Winwood,1989-01-14,1989-01-20,19,Billboard Hot 100
Little Liar,Joan Jett & the Blackhearts,1989-01-14,1989-01-20,20,Billboard Hot 100
Straight Up,Paula Abdul,1989-01-14,1989-01-20,21,Billboard Hot 100
Wild Thing,Tone-Loc,1989-01-14,1989-01-20,22,Billboard Hot 100
I Wanna Have Some Fun,Samantha Fox,1989-01-14,1989-01-20,23,Billboard Hot 100
The Lover In Me,Sheena Easton,1989-01-14,1989-01-20,24,Billboard Hot 100
Welcome To The Jungle,Guns N' Roses,1989-01-14,1989-01-20,25,Billboard Hot 100
Wild World,Maxi Priest,1989-01-14,1989-01-20,26,Billboard Hot 100
Walk On Water,Eddie Money,1989-01-14,1989-01-20,27,Billboard Hot 100
Walking Away,Information Society,1989-01-14,1989-01-20,28,Billboard Hot 100
"Baby, I Love Your Way/Freebird Medley",Will To Power,1989-01-14,1989-01-20,29,Billboard Hot 100
She Wants To Dance With Me,Rick Astley,1989-01-14,1989-01-20,30,Billboard Hot 100
Kiss,The Art Of Noise Featuring Tom Jones,1989-01-14,1989-01-20,31,Billboard Hot 100
What I Am,Edie Brickell & New Bohemians,1989-01-14,1989-01-20,32,Billboard Hot 100
Angel Of Harlem,U2,1989-01-14,1989-01-20,33,Billboard Hot 100
How Can I Fall?,Breathe,1989-01-14,1989-01-20,34,Billboard Hot 100
