song,artist,start_date,end_date,rank,ranking_list
21 Questions,50 Cent Featuring Nate Dogg,2003-06-14,2003-06-20,1,Billboard Hot 100
Get Busy,Sean Paul,2003-06-14,2003-06-20,2,Billboard Hot 100
I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,2003-06-14,2003-06-20,3,Billboard Hot 100
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,2003-06-14,2003-06-20,4,Billboard Hot 100
Magic Stick,Lil' Kim Featuring 50 Cent,2003-06-14,2003-06-20,5,Billboard Hot 100
Bring Me To Life,Evanescence Featuring Paul McCoy,2003-06-14,2003-06-20,6,Billboard Hot 100
Ignition,R. Kelly,2003-06-14,2003-06-20,7,Billboard Hot 100
Crazy In Love,Beyonce Featuring Jay Z,2003-06-14,2003-06-20,8,Billboard Hot 100
Rock Your Body,Justin Timberlake,2003-06-14,2003-06-20,9,Billboard Hot 100
Unwell,matchbox twenty,2003-06-14,2003-06-20,10,Billboard Hot 100
No Letting Go,Wayne Wonder,2003-06-14,2003-06-20,11,Billboard Hot 100
When I'm Gone,3 Doors Down,2003-06-14,2003-06-20,12,Billboard Hot 100
In Da Club,50 Cent,2003-06-14,2003-06-20,13,Billboard Hot 100
So Gone,Monica,2003-06-14,2003-06-20,14,Billboard Hot 100
Rock Wit U (Awww Baby),Ashanti,2003-06-14,2003-06-20,15,Billboard Hot 100
Snake,R. Kelly Featuring Big Tigger,2003-06-14,2003-06-20,16,Billboard Hot 100
Drift Away,Uncle Kracker Featuring Dobie Gray,2003-06-14,2003-06-20,17,Billboard Hot 100
Picture,Kid Rock Featuring Sheryl Crow,2003-06-14,2003-06-20,18,Billboard Hot 100
Miss Independent,Kelly Clarkson,2003-06-14,2003-06-20,19,Billboard Hot 100
Fighter,Christina Aguilera,2003-06-14,2003-06-20,20,Billboard Hot 100
Don't Wanna Try,Frankie J,2003-06-14,2003-06-20,21,Billboard Hot 100
Put That Woman First,Jaheim,2003-06-14,2003-06-20,22,Billboard Hot 100
If You're Not The One,Daniel Bedingfield,2003-06-14,2003-06-20,23,Billboard Hot 100
Say Yes,Floetry,2003-06-14,2003-06-20,24,Billboard Hot 100
Beer For My Horses,Toby Keith Duet With Willie Nelson,2003-06-14,2003-06-20,25,Billboard Hot 100
My Front Porch Looking In,Lonestar,2003-06-14,2003-06-20,26,Billboard Hot 100
Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,2003-06-14,2003-06-20,27,Billboard Hot 100
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,2003-06-14,2003-06-20,28,Billboard Hot 100
How You Gonna Act Like That,Tyrese,2003-06-14,2003-06-20,29,Billboard Hot 100
Intuition,Jewel,2003-06-14,2003-06-20,30,Billboard Hot 100
Love You Out Loud,Rascal Flatts,2003-06-14,2003-06-20,31,Billboard Hot 100
I'm Glad,Jennifer Lopez,2003-06-14,2003-06-20,32,Billboard Hot 100
Clocks,Coldplay,2003-06-14,2003-06-20,33,Billboard Hot 100
Three Wooden Crosses,Randy Travis,2003-06-14,2003-06-20,34,Billboard Hot 100
I Believe,Diamond Rio,2003-06-14,2003-06-20,35,Billboard Hot 100
Like A Stone,Audioslave,2003-06-14,2003-06-20,36,Billboard Hot 100
4 Ever,Lil' Mo Featuring Fabolous,2003-06-14,2003-06-20,37,Billboard Hot 100
Sing For The Moment,Eminem,2003-06-14,2003-06-20,38,Billboard Hot 100
Stay Gone,Jimmy Wayne,2003-06-14,2003-06-20,39,Billboard Hot 100
Miss You,Aaliyah,2003-06-14,2003-06-20,40,Billboard Hot 100
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,2003-06-14,2003-06-20,41,Billboard Hot 100
Angel,Amanda Perez,2003-06-14,2003-06-20,42,Billboard Hot 100
Pump It Up,Joe Budden,2003-06-14,2003-06-20,43,Billboard Hot 100
In Love Wit Chu,Da Brat Featuring Cherish,2003-06-14,2003-06-20,44,Billboard Hot 100
Right Thurr,Chingy,2003-06-14,2003-06-20,45,Billboard Hot 100
Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,2003-06-14,2003-06-20,46,Billboard Hot 100
Calling All Angels,Train,2003-06-14,2003-06-20,47,Billboard Hot 100
Are You Happy Now?,Michelle Branch,2003-06-14,2003-06-20,48,Billboard Hot 100
What Would You Do?,The Isley Brothers Featuring Ronald Isley,2003-06-14,2003-06-20,49,Billboard Hot 100
The Game Of Love,Santana Featuring Michelle Branch,2003-06-14,2003-06-20,50,Billboard Hot 100
P.I.M.P.,50 Cent,2003-06-14,2003-06-20,51,Billboard Hot 100
Stuck,Stacie Orrico,2003-06-14,2003-06-20,52,Billboard Hot 100
What A Beautiful Day,Chris Cagle,2003-06-14,2003-06-20,53,Billboard Hot 100
Somewhere I Belong,Linkin Park,2003-06-14,2003-06-20,54,Billboard Hot 100
Speed,Montgomery Gentry,2003-06-14,2003-06-20,55,Billboard Hot 100
Forever And For Always,Shania Twain,2003-06-14,2003-06-20,56,Billboard Hot 100
Act A Fool,Ludacris,2003-06-14,2003-06-20,57,Billboard Hot 100
Headstrong,Trapt,2003-06-14,2003-06-20,58,Billboard Hot 100
Almost Home,Craig Morgan,2003-06-14,2003-06-20,59,Billboard Hot 100
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2003-06-14,2003-06-20,60,Billboard Hot 100
Red Dirt Road,Brooks & Dunn,2003-06-14,2003-06-20,61,Billboard Hot 100
I Wish I Wasn't,Heather Headley,2003-06-14,2003-06-20,62,Billboard Hot 100
The Remedy (I Won't Worry),Jason Mraz,2003-06-14,2003-06-20,63,Billboard Hot 100
I Can,Nas,2003-06-14,2003-06-20,64,Billboard Hot 100
Raining On Sunday,Keith Urban,2003-06-14,2003-06-20,65,Billboard Hot 100
Have You Forgotten?,Darryl Worley,2003-06-14,2003-06-20,66,Billboard Hot 100
Into You,Fabolous Featuring Tamia Or Ashanti,2003-06-14,2003-06-20,67,Billboard Hot 100
Hell Yeah,Ginuwine Featuring Baby,2003-06-14,2003-06-20,68,Billboard Hot 100
Where Is The Love?,The Black Eyed Peas,2003-06-14,2003-06-20,69,Billboard Hot 100
The Jump Off,Lil' Kim Featuring Mr. Cheeks,2003-06-14,2003-06-20,70,Billboard Hot 100
I Want You,Thalia Featuring Fat Joe,2003-06-14,2003-06-20,71,Billboard Hot 100
In Those Jeans,Ginuwine,2003-06-14,2003-06-20,72,Billboard Hot 100
The Love Song,Jeff Bates,2003-06-14,2003-06-20,73,Billboard Hot 100
Celebrity,Brad Paisley,2003-06-14,2003-06-20,74,Billboard Hot 100
Come Over,Aaliyah,2003-06-14,2003-06-20,75,Billboard Hot 100
Like Glue,Sean Paul,2003-06-14,2003-06-20,76,Billboard Hot 100
I Love You,Dru Hill,2003-06-14,2003-06-20,77,Billboard Hot 100
Beware Of The Boys (Mundian To Bach Ke),Panjabi MC Featuring Jay-Z,2003-06-14,2003-06-20,78,Billboard Hot 100
Send The Pain Below,Chevelle,2003-06-14,2003-06-20,79,Billboard Hot 100
She's My Kind Of Rain,Tim McGraw,2003-06-14,2003-06-20,80,Billboard Hot 100
Like A Pimp,David Banner Featuring Lil' Flip,2003-06-14,2003-06-20,81,Billboard Hot 100
Big Star,Kenny Chesney,2003-06-14,2003-06-20,82,Billboard Hot 100
That'd Be Alright,Alan Jackson,2003-06-14,2003-06-20,83,Billboard Hot 100
Price To Play,Staind,2003-06-14,2003-06-20,84,Billboard Hot 100
Breathe,Blu Cantrell Featuring Sean Paul,2003-06-14,2003-06-20,85,Billboard Hot 100
Seven Nation Army,The White Stripes,2003-06-14,2003-06-20,86,Billboard Hot 100
Times Like These,Foo Fighters,2003-06-14,2003-06-20,87,Billboard Hot 100
How You Want That,Loon Featuring Kelis,2003-06-14,2003-06-20,88,Billboard Hot 100
Frontin',Pharrell Featuring Jay-Z,2003-06-14,2003-06-20,89,Billboard Hot 100
Emotional Rollercoaster,Vivian Green,2003-06-14,2003-06-20,90,Billboard Hot 100
Tal Vez,Ricky Martin,2003-06-14,2003-06-20,91,Billboard Hot 100
Still Ballin,2Pac Featuring Trick Daddy,2003-06-14,2003-06-20,92,Billboard Hot 100
Concrete Angel,Martina McBride,2003-06-14,2003-06-20,93,Billboard Hot 100
Stupid Girl,Cold,2003-06-14,2003-06-20,94,Billboard Hot 100
Excuse Me Miss,JAY-Z,2003-06-14,2003-06-20,95,Billboard Hot 100
Can't Stop,Red Hot Chili Peppers,2003-06-14,2003-06-20,96,Billboard Hot 100
Can't Stop Loving You,Phil Collins,2003-06-14,2003-06-20,97,Billboard Hot 100
Flipside,Freeway Featuring Peedi Crakk,2003-06-14,2003-06-20,98,Billboard Hot 100
Make Me A Song,Kiley Dean,2003-06-14,2003-06-20,99,Billboard Hot 100
God Bless The U.S.A.,American Idol Finalists,2003-06-14,2003-06-20,100,Billboard Hot 100
