song,artist,start_date,end_date,rank,ranking_list
Kansas City,Wilbert Harrison,1959-05-18,1959-05-24,1,Billboard Hot 100
Sorry (I Ran All The Way Home),The Impalas,1959-05-18,1959-05-24,2,Billboard Hot 100
The Happy Organ,"Dave ""Baby"" Cortez",1959-05-18,1959-05-24,3,Billboard Hot 100
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens,1959-05-18,1959-05-24,4,Billboard Hot 100
A Teenager In Love,Dion & The Belmonts,1959-05-18,1959-05-24,5,Billboard Hot 100
Dream Lover,Bobby Darin,1959-05-18,1959-05-24,6,Billboard Hot 100
The Battle Of New Orleans,Johnny Horton,1959-05-18,1959-05-24,7,Billboard Hot 100
Quiet Village,The Exotic Sounds of Martin Denny,1959-05-18,1959-05-24,8,Billboard Hot 100
Turn Me Loose,Fabian,1959-05-18,1959-05-24,9,Billboard Hot 100
Pink Shoe Laces,Dodie Stevens,1959-05-18,1959-05-24,10,Billboard Hot 100
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959-05-18,1959-05-24,11,Billboard Hot 100
Guitar Boogie Shuffle,The Virtues,1959-05-18,1959-05-24,12,Billboard Hot 100
Enchanted,The Platters,1959-05-18,1959-05-24,13,Billboard Hot 100
Only You,Franck Pourcel's French Fiddles,1959-05-18,1959-05-24,14,Billboard Hot 100
Come Softly To Me,The Fleetwoods,1959-05-18,1959-05-24,15,Billboard Hot 100
Take A Message To Mary,The Everly Brothers,1959-05-18,1959-05-24,16,Billboard Hot 100
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959-05-18,1959-05-24,17,Billboard Hot 100
Endlessly,Brook Benton,1959-05-18,1959-05-24,18,Billboard Hot 100
Tell Him No,Travis & Bob,1959-05-18,1959-05-24,19,Billboard Hot 100
That's Why (I Love You So),Jackie Wilson,1959-05-18,1959-05-24,20,Billboard Hot 100
So Fine,The Fiestas,1959-05-18,1959-05-24,21,Billboard Hot 100
Personality,Lloyd Price,1959-05-18,1959-05-24,22,Billboard Hot 100
"Goodbye Jimmy, Goodbye",Kathy Linden,1959-05-18,1959-05-24,23,Billboard Hot 100
Three Stars,Tommy Dee with Carol Kay and the Teen-Aires,1959-05-18,1959-05-24,24,Billboard Hot 100
The Tijuana Jail,The Kingston Trio,1959-05-18,1959-05-24,25,Billboard Hot 100
Venus,Frankie Avalon,1959-05-18,1959-05-24,26,Billboard Hot 100
Since I Don't Have You,The Skyliners,1959-05-18,1959-05-24,27,Billboard Hot 100
Poor Jenny,The Everly Brothers,1959-05-18,1959-05-24,28,Billboard Hot 100
Six Nights A Week,The Crests,1959-05-18,1959-05-24,29,Billboard Hot 100
Come To Me,Marv Johnson,1959-05-18,1959-05-24,30,Billboard Hot 100
Guess Who,Jesse Belvin,1959-05-18,1959-05-24,31,Billboard Hot 100
Almost Grown,Chuck Berry,1959-05-18,1959-05-24,32,Billboard Hot 100
Never Be Anyone Else But You,Ricky Nelson,1959-05-18,1959-05-24,33,Billboard Hot 100
I've Come Of Age,Billy Storm,1959-05-18,1959-05-24,34,Billboard Hot 100
It's Late,Ricky Nelson,1959-05-18,1959-05-24,35,Billboard Hot 100
Someone,Johnny Mathis,1959-05-18,1959-05-24,36,Billboard Hot 100
For A Penny,Pat Boone,1959-05-18,1959-05-24,37,Billboard Hot 100
This Should Go On Forever,Rod Bernard,1959-05-18,1959-05-24,38,Billboard Hot 100
Sea Cruise,Frankie Ford,1959-05-18,1959-05-24,39,Billboard Hot 100
Lonely For You,Gary Stites,1959-05-18,1959-05-24,40,Billboard Hot 100
Everybody Likes To Cha Cha Cha,Sam Cooke,1959-05-18,1959-05-24,41,Billboard Hot 100
Gidget,Jimmy Darren,1959-05-18,1959-05-24,42,Billboard Hot 100
As Time Goes By,Johnny Nash,1959-05-18,1959-05-24,43,Billboard Hot 100
Tragedy,Thomas Wayne With the Delons,1959-05-18,1959-05-24,44,Billboard Hot 100
Just Keep It Up,Dee Clark,1959-05-18,1959-05-24,45,Billboard Hot 100
I'm Ready,Fats Domino,1959-05-18,1959-05-24,46,Billboard Hot 100
I Miss You So,Paul Anka,1959-05-18,1959-05-24,47,Billboard Hot 100
I Waited Too Long,LaVern Baker,1959-05-18,1959-05-24,48,Billboard Hot 100
It's Just A Matter Of Time,Brook Benton,1959-05-18,1959-05-24,49,Billboard Hot 100
You're So Fine,The Falcons,1959-05-18,1959-05-24,50,Billboard Hot 100
Bonaparte's Retreat,Billy Grammer,1959-05-18,1959-05-24,51,Billboard Hot 100
Castin' My Spell,The Johnny Otis Show,1959-05-18,1959-05-24,52,Billboard Hot 100
Tallahassee Lassie,Freddy Cannon,1959-05-18,1959-05-24,53,Billboard Hot 100
Crossfire,Johnny And The Hurricanes,1959-05-18,1959-05-24,54,Billboard Hot 100
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,1959-05-18,1959-05-24,55,Billboard Hot 100
You Made Me Love You,Nat King Cole,1959-05-18,1959-05-24,56,Billboard Hot 100
Lipstick On Your Collar,Connie Francis,1959-05-18,1959-05-24,57,Billboard Hot 100
I Still Get A Thrill (Thinking Of You),Joni James,1959-05-18,1959-05-24,58,Billboard Hot 100
Summer Dreams,The McGuire Sisters,1959-05-18,1959-05-24,59,Billboard Hot 100
The Kissing Tree,Billy Grammer,1959-05-18,1959-05-24,60,Billboard Hot 100
My Heart Is An Open Book,"Carl Dobkins, Jr.",1959-05-18,1959-05-24,61,Billboard Hot 100
Margie,Fats Domino,1959-05-18,1959-05-24,62,Billboard Hot 100
So Close,Brook Benton,1959-05-18,1959-05-24,63,Billboard Hot 100
My Melancholy Baby,Tommy Edwards,1959-05-18,1959-05-24,64,Billboard Hot 100
It Doesn't Matter Anymore,Buddy Holly,1959-05-18,1959-05-24,65,Billboard Hot 100
Frankie,Connie Francis,1959-05-18,1959-05-24,66,Billboard Hot 100
Rockin' Crickets,Hot-Toddys featuring Bill Pennell,1959-05-18,1959-05-24,67,Billboard Hot 100
Robbin' The Cradle,Tony Bellus,1959-05-18,1959-05-24,68,Billboard Hot 100
There's No Fool Like A Young Fool,Tab Hunter,1959-05-18,1959-05-24,69,Billboard Hot 100
That's My Little Suzie,Ritchie Valens,1959-05-18,1959-05-24,70,Billboard Hot 100
A String Of Trumpets,The Trumpeteers,1959-05-18,1959-05-24,71,Billboard Hot 100
The Morning Side Of The Mountain,Tommy Edwards,1959-05-18,1959-05-24,72,Billboard Hot 100
I Need Your Lovin',Roy Hamilton,1959-05-18,1959-05-24,73,Billboard Hot 100
Tall Cool One,The Wailers,1959-05-18,1959-05-24,74,Billboard Hot 100
Kansas City,Rocky Olson,1959-05-18,1959-05-24,75,Billboard Hot 100
Kansas City,Hank Ballard And The Midnighters,1959-05-18,1959-05-24,76,Billboard Hot 100
"Hallelujah, I Love Him So",Peggy Lee,1959-05-18,1959-05-24,77,Billboard Hot 100
Young Ideas,Chico Holiday,1959-05-18,1959-05-24,78,Billboard Hot 100
"Frankie's Man, Johnny",Johnny Cash,1959-05-18,1959-05-24,79,Billboard Hot 100
Bongo Rock,Preston Epps,1959-05-18,1959-05-24,80,Billboard Hot 100
Lonesome Old House,Don Gibson,1959-05-18,1959-05-24,81,Billboard Hot 100
Your Cheatin' Heart,Billy Vaughn,1959-05-18,1959-05-24,82,Billboard Hot 100
