song,artist,start_date,end_date,rank,ranking_list
So What,P!nk,2008-09-27,2008-10-03,1,Billboard Hot 100
Whatever You Like,T.I.,2008-09-27,2008-10-03,2,Billboard Hot 100
Disturbia,Rihanna,2008-09-27,2008-10-03,3,Billboard Hot 100
Paper Planes,M.I.A.,2008-09-27,2008-10-03,4,Billboard Hot 100
Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,2008-09-27,2008-10-03,5,Billboard Hot 100
Forever,Chris Brown,2008-09-27,2008-10-03,6,Billboard Hot 100
Closer,Ne-Yo,2008-09-27,2008-10-03,7,Billboard Hot 100
Can't Believe It,T-Pain Featuring Lil Wayne,2008-09-27,2008-10-03,8,Billboard Hot 100
American Boy,Estelle Featuring Kanye West,2008-09-27,2008-10-03,9,Billboard Hot 100
Got Money,Lil Wayne Featuring T-Pain,2008-09-27,2008-10-03,10,Billboard Hot 100
Dangerous,Kardinal Offishall Featuring Akon,2008-09-27,2008-10-03,11,Billboard Hot 100
Hot N Cold,Katy Perry,2008-09-27,2008-10-03,12,Billboard Hot 100
I'm Yours,Jason Mraz,2008-09-27,2008-10-03,13,Billboard Hot 100
Viva La Vida,Coldplay,2008-09-27,2008-10-03,14,Billboard Hot 100
In The Ayer,Flo Rida Featuring will.i.am,2008-09-27,2008-10-03,15,Billboard Hot 100
Love Story,Taylor Swift,2008-09-27,2008-10-03,16,Billboard Hot 100
One Step At A Time,Jordin Sparks,2008-09-27,2008-10-03,17,Billboard Hot 100
Better In Time,Leona Lewis,2008-09-27,2008-10-03,18,Billboard Hot 100
I Kissed A Girl,Katy Perry,2008-09-27,2008-10-03,19,Billboard Hot 100
Miss Independent,Ne-Yo,2008-09-27,2008-10-03,20,Billboard Hot 100
I Don't Care,Fall Out Boy,2008-09-27,2008-10-03,21,Billboard Hot 100
When I Grow Up,The Pussycat Dolls,2008-09-27,2008-10-03,22,Billboard Hot 100
Fall For You,Secondhand Serenade,2008-09-27,2008-10-03,23,Billboard Hot 100
Put On,Young Jeezy Featuring Kanye West,2008-09-27,2008-10-03,24,Billboard Hot 100
Take A Bow,Rihanna,2008-09-27,2008-10-03,25,Billboard Hot 100
