song,artist,start_date,end_date,rank,ranking_list
Angie Baby,Helen Reddy,1974-12-28,1975-01-03,1,Billboard Hot 100
Lucy In The Sky With Diamonds,Elton John,1974-12-28,1975-01-03,2,Billboard Hot 100
"You're The First, The Last, My Everything",Barry White,1974-12-28,1975-01-03,3,Billboard Hot 100
Kung Fu Fighting,Carl Douglas,1974-12-28,1975-01-03,4,Billboard Hot 100
Cat's In The Cradle,Harry Chapin,1974-12-28,1975-01-03,5,Billboard Hot 100
Junior's Farm/Sally G,Paul McCartney And Wings,1974-12-28,1975-01-03,6,Billboard Hot 100
When Will I See You Again,The Three Degrees,1974-12-28,1975-01-03,7,Billboard Hot 100
Laughter In The Rain,Neil Sedaka,1974-12-28,1975-01-03,8,Billboard Hot 100
Only You,Ringo Starr,1974-12-28,1975-01-03,9,Billboard Hot 100
Boogie On Reggae Woman,Stevie Wonder,1974-12-28,1975-01-03,10,Billboard Hot 100
Please Mr. Postman,Carpenters,1974-12-28,1975-01-03,11,Billboard Hot 100
Mandy,Barry Manilow,1974-12-28,1975-01-03,12,Billboard Hot 100
Must Of Got Lost,The J. Geils Band,1974-12-28,1975-01-03,13,Billboard Hot 100
One Man Woman/One Woman Man,Paul Anka with Odia Coates,1974-12-28,1975-01-03,14,Billboard Hot 100
Sha-La-La (Make Me Happy),Al Green,1974-12-28,1975-01-03,15,Billboard Hot 100
Bungle In The Jungle,Jethro Tull,1974-12-28,1975-01-03,16,Billboard Hot 100
You Got The Love,Rufus Featuring Chaka Khan,1974-12-28,1975-01-03,17,Billboard Hot 100
Never Can Say Goodbye,Gloria Gaynor,1974-12-28,1975-01-03,18,Billboard Hot 100
Morning Side Of The Mountain,Donny & Marie Osmond,1974-12-28,1975-01-03,19,Billboard Hot 100
Dark Horse,George Harrison,1974-12-28,1975-01-03,20,Billboard Hot 100
I Can Help,Billy Swan,1974-12-28,1975-01-03,21,Billboard Hot 100
Do It ('til You're Satisfied),B.T. Express,1974-12-28,1975-01-03,22,Billboard Hot 100
I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips,1974-12-28,1975-01-03,23,Billboard Hot 100
Fire,Ohio Players,1974-12-28,1975-01-03,24,Billboard Hot 100
Doctor's Orders,Carol Douglas,1974-12-28,1975-01-03,25,Billboard Hot 100
Promised Land,Elvis Presley,1974-12-28,1975-01-03,26,Billboard Hot 100
