song,artist,start_date,end_date,rank,ranking_list
Say Say Say,Paul McCartney And Michael Jackson,1983-12-10,1983-12-16,1,Billboard Hot 100
All Night Long (All Night),Lionel Richie,1983-12-10,1983-12-16,2,Billboard Hot 100
Uptown Girl,Billy Joel,1983-12-10,1983-12-16,3,Billboard Hot 100
Say It Isn't So,Daryl Hall John Oates,1983-12-10,1983-12-16,4,Billboard Hot 100
Love Is A Battlefield,Pat Benatar,1983-12-10,1983-12-16,5,Billboard Hot 100
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983-12-10,1983-12-16,6,Billboard Hot 100
Union Of The Snake,Duran Duran,1983-12-10,1983-12-16,7,Billboard Hot 100
Cum On Feel The Noize,Quiet Riot,1983-12-10,1983-12-16,8,Billboard Hot 100
Crumblin' Down,John Cougar Mellencamp,1983-12-10,1983-12-16,9,Billboard Hot 100
Church Of The Poison Mind,Culture Club,1983-12-10,1983-12-16,10,Billboard Hot 100
Owner Of A Lonely Heart,Yes,1983-12-10,1983-12-16,11,Billboard Hot 100
Twist Of Fate,Olivia Newton-John,1983-12-10,1983-12-16,12,Billboard Hot 100
Why Me?,Irene Cara,1983-12-10,1983-12-16,13,Billboard Hot 100
Undercover Of The Night,The Rolling Stones,1983-12-10,1983-12-16,14,Billboard Hot 100
Heart And Soul,Huey Lewis & The News,1983-12-10,1983-12-16,15,Billboard Hot 100
Synchronicity II,The Police,1983-12-10,1983-12-16,16,Billboard Hot 100
In A Big Country,Big Country,1983-12-10,1983-12-16,17,Billboard Hot 100
Major Tom (Coming Home),Peter Schilling,1983-12-10,1983-12-16,18,Billboard Hot 100
Break My Stride,Matthew Wilder,1983-12-10,1983-12-16,19,Billboard Hot 100
P.Y.T. (Pretty Young Thing),Michael Jackson,1983-12-10,1983-12-16,20,Billboard Hot 100
I Guess That's Why They Call It The Blues,Elton John,1983-12-10,1983-12-16,21,Billboard Hot 100
Ain't Nobody,Chaka Khan,1983-12-10,1983-12-16,22,Billboard Hot 100
Souls,Rick Springfield,1983-12-10,1983-12-16,23,Billboard Hot 100
