song,artist,start_date,end_date,rank,ranking_list
I Kissed A Girl,Katy Perry,2008-07-05,2008-07-11,1,Billboard Hot 100
Lollipop,Lil Wayne Featuring Static Major,2008-07-05,2008-07-11,2,Billboard Hot 100
Bleeding Love,Leona Lewis,2008-07-05,2008-07-11,3,Billboard Hot 100
Take A Bow,Rihanna,2008-07-05,2008-07-11,4,Billboard Hot 100
Pocketful Of Sunshine,Natasha Bedingfield,2008-07-05,2008-07-11,5,Billboard Hot 100
Viva La Vida,Coldplay,2008-07-05,2008-07-11,6,Billboard Hot 100
Forever,Chris Brown,2008-07-05,2008-07-11,7,Billboard Hot 100
Bust It Baby Part 2,Plies Featuring Ne-Yo,2008-07-05,2008-07-11,8,Billboard Hot 100
When I Grow Up,The Pussycat Dolls,2008-07-05,2008-07-11,9,Billboard Hot 100
7 Things,Miley Cyrus,2008-07-05,2008-07-11,10,Billboard Hot 100
This Is Me,Demi Lovato & Joe Jonas,2008-07-05,2008-07-11,11,Billboard Hot 100
No Air,Jordin Sparks Duet With Chris Brown,2008-07-05,2008-07-11,12,Billboard Hot 100
Shake It,Metro Station,2008-07-05,2008-07-11,13,Billboard Hot 100
Love In This Club,Usher Featuring Young Jeezy,2008-07-05,2008-07-11,14,Billboard Hot 100
Leavin',Jesse McCartney,2008-07-05,2008-07-11,15,Billboard Hot 100
Sexy Can I,Ray J & Yung Berg,2008-07-05,2008-07-11,16,Billboard Hot 100
Damaged,Danity Kane,2008-07-05,2008-07-11,17,Billboard Hot 100
Disturbia,Rihanna,2008-07-05,2008-07-11,18,Billboard Hot 100
What You Got,Colby O'Donis Featuring Akon,2008-07-05,2008-07-11,19,Billboard Hot 100
Play My Music,Jonas Brothers,2008-07-05,2008-07-11,20,Billboard Hot 100
A Milli,Lil Wayne,2008-07-05,2008-07-11,21,Billboard Hot 100
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008-07-05,2008-07-11,22,Billboard Hot 100
It's Not My Time,3 Doors Down,2008-07-05,2008-07-11,23,Billboard Hot 100
Dangerous,Kardinal Offishall Featuring Akon,2008-07-05,2008-07-11,24,Billboard Hot 100
I Luv Your Girl,The-Dream,2008-07-05,2008-07-11,25,Billboard Hot 100
Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008-07-05,2008-07-11,26,Billboard Hot 100
Realize,Colbie Caillat,2008-07-05,2008-07-11,27,Billboard Hot 100
Closer,Ne-Yo,2008-07-05,2008-07-11,28,Billboard Hot 100
Get Silly,V.I.C.,2008-07-05,2008-07-11,29,Billboard Hot 100
Gotta Find You,Joe Jonas,2008-07-05,2008-07-11,30,Billboard Hot 100
Love Song,Sara Bareilles,2008-07-05,2008-07-11,31,Billboard Hot 100
Get Like Me,David Banner Featuring Chris Brown,2008-07-05,2008-07-11,32,Billboard Hot 100
We Rock,Cast Of Camp Rock,2008-07-05,2008-07-11,33,Billboard Hot 100
In Love With A Girl,Gavin DeGraw,2008-07-05,2008-07-11,34,Billboard Hot 100
Last Name,Carrie Underwood,2008-07-05,2008-07-11,35,Billboard Hot 100
Low,Flo Rida Featuring T-Pain,2008-07-05,2008-07-11,36,Billboard Hot 100
American Boy,Estelle Featuring Kanye West,2008-07-05,2008-07-11,37,Billboard Hot 100
In The Ayer,Flo Rida Featuring will.i.am,2008-07-05,2008-07-11,38,Billboard Hot 100
Heaven Sent,Keyshia Cole,2008-07-05,2008-07-11,39,Billboard Hot 100
Mercy,Duffy,2008-07-05,2008-07-11,40,Billboard Hot 100
Stop And Stare,OneRepublic,2008-07-05,2008-07-11,41,Billboard Hot 100
Say,John Mayer,2008-07-05,2008-07-11,42,Billboard Hot 100
Summertime,New Kids On The Block,2008-07-05,2008-07-11,43,Billboard Hot 100
Touch My Body,Mariah Carey,2008-07-05,2008-07-11,44,Billboard Hot 100
All Around Me,Flyleaf,2008-07-05,2008-07-11,45,Billboard Hot 100
Better As A Memory,Kenny Chesney,2008-07-05,2008-07-11,46,Billboard Hot 100
Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne,2008-07-05,2008-07-11,47,Billboard Hot 100
Take You Down,Chris Brown,2008-07-05,2008-07-11,48,Billboard Hot 100
Bye Bye,Mariah Carey,2008-07-05,2008-07-11,49,Billboard Hot 100
Apologize,Timbaland Featuring OneRepublic,2008-07-05,2008-07-11,50,Billboard Hot 100
The Time Of My Life,David Cook,2008-07-05,2008-07-11,51,Billboard Hot 100
