song,artist,start_date,end_date,rank,ranking_list
Black Or White,Michael Jackson,1992-01-04,1992-01-10,1,Billboard Hot 100
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,1992-01-04,1992-01-10,2,Billboard Hot 100
All 4 Love,Color Me Badd,1992-01-04,1992-01-10,3,Billboard Hot 100
Can't Let Go,Mariah Carey,1992-01-04,1992-01-10,4,Billboard Hot 100
Set Adrift On Memory Bliss,P.M. Dawn,1992-01-04,1992-01-10,5,Billboard Hot 100
Finally,CeCe Peniston,1992-01-04,1992-01-10,6,Billboard Hot 100
When A Man Loves A Woman,Michael Bolton,1992-01-04,1992-01-10,7,Billboard Hot 100
2 Legit 2 Quit,M.C. Hammer,1992-01-04,1992-01-10,8,Billboard Hot 100
Blowing Kisses In The Wind,Paula Abdul,1992-01-04,1992-01-10,9,Billboard Hot 100
Wildside,Marky Mark & The Funky Bunch,1992-01-04,1992-01-10,10,Billboard Hot 100
Addams Groove,M.C. Hammer,1992-01-04,1992-01-10,11,Billboard Hot 100
Don't Let The Sun Go Down On Me,George Michael/Elton John,1992-01-04,1992-01-10,12,Billboard Hot 100
Smells Like Teen Spirit,Nirvana,1992-01-04,1992-01-10,13,Billboard Hot 100
No Son Of Mine,Genesis,1992-01-04,1992-01-10,14,Billboard Hot 100
Keep Coming Back,Richard Marx,1992-01-04,1992-01-10,15,Billboard Hot 100
That's What Love Is For,Amy Grant,1992-01-04,1992-01-10,16,Billboard Hot 100
I Love Your Smile,Shanice,1992-01-04,1992-01-10,17,Billboard Hot 100
O.P.P.,Naughty By Nature,1992-01-04,1992-01-10,18,Billboard Hot 100
Diamonds And Pearls,Prince And The N.P.G.,1992-01-04,1992-01-10,19,Billboard Hot 100
Don't Cry,Guns N' Roses,1992-01-04,1992-01-10,20,Billboard Hot 100
Mysterious Ways,U2,1992-01-04,1992-01-10,21,Billboard Hot 100
Live For Loving You,Gloria Estefan,1992-01-04,1992-01-10,22,Billboard Hot 100
Broken Arrow,Rod Stewart,1992-01-04,1992-01-10,23,Billboard Hot 100
Can't Stop This Thing We Started,Bryan Adams,1992-01-04,1992-01-10,24,Billboard Hot 100
Let's Talk About Sex,Salt-N-Pepa,1992-01-04,1992-01-10,25,Billboard Hot 100
Cream,Prince And The N.P.G.,1992-01-04,1992-01-10,26,Billboard Hot 100
The Way I Feel About You,Karyn White,1992-01-04,1992-01-10,27,Billboard Hot 100
Tell Me What You Want Me To Do,Tevin Campbell,1992-01-04,1992-01-10,28,Billboard Hot 100
Forever My Lady,Jodeci,1992-01-04,1992-01-10,29,Billboard Hot 100
Change,Lisa Stansfield,1992-01-04,1992-01-10,30,Billboard Hot 100
Set The Night To Music,Roberta Flack With Maxi Priest,1992-01-04,1992-01-10,31,Billboard Hot 100
Spending My Time,Roxette,1992-01-04,1992-01-10,32,Billboard Hot 100
Love Me All Up,Stacy Earl,1992-01-04,1992-01-10,33,Billboard Hot 100
Angel Baby,Angelica,1992-01-04,1992-01-10,34,Billboard Hot 100
Mind Playing Tricks On Me,Geto Boys,1992-01-04,1992-01-10,35,Billboard Hot 100
Keep It Comin',Keith Sweat,1992-01-04,1992-01-10,36,Billboard Hot 100
Save Up All Your Tears,Cher,1992-01-04,1992-01-10,37,Billboard Hot 100
Emotions,Mariah Carey,1992-01-04,1992-01-10,38,Billboard Hot 100
I've Got A Lot To Learn About Love,The Storm,1992-01-04,1992-01-10,39,Billboard Hot 100
Home Sweet Home,Motley Crue,1992-01-04,1992-01-10,40,Billboard Hot 100
Is It Good To You,Heavy D & The Boyz,1992-01-04,1992-01-10,41,Billboard Hot 100
Tender Kisses,Tracie Spencer,1992-01-04,1992-01-10,42,Billboard Hot 100
Street Of Dreams,Nia Peeples,1992-01-04,1992-01-10,43,Billboard Hot 100
Enter Sandman,Metallica,1992-01-04,1992-01-10,44,Billboard Hot 100
In My Dreams,The Party,1992-01-04,1992-01-10,45,Billboard Hot 100
The Unforgiven,Metallica,1992-01-04,1992-01-10,46,Billboard Hot 100
Too Blind To See It,Kym Sims,1992-01-04,1992-01-10,47,Billboard Hot 100
I Can't Make You Love Me,Bonnie Raitt,1992-01-04,1992-01-10,48,Billboard Hot 100
Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,1992-01-04,1992-01-10,49,Billboard Hot 100
I Wonder Why,Curtis Stigers,1992-01-04,1992-01-10,50,Billboard Hot 100
Housecall,Shabba Ranks (Featuring Maxi Priest),1992-01-04,1992-01-10,51,Billboard Hot 100
Send Me An Angel,Scorpions,1992-01-04,1992-01-10,52,Billboard Hot 100
Hearts Don't Think (They Feel),Natural Selection,1992-01-04,1992-01-10,53,Billboard Hot 100
Ain't Gonna Hurt Nobody,Kid 'N Play,1992-01-04,1992-01-10,54,Billboard Hot 100
Can't Truss It,Public Enemy,1992-01-04,1992-01-10,55,Billboard Hot 100
Top Of The World,Van Halen,1992-01-04,1992-01-10,56,Billboard Hot 100
Kiss You Back,Digital Underground,1992-01-04,1992-01-10,57,Billboard Hot 100
I Wanna Be Your Girl,Icy Blu,1992-01-04,1992-01-10,58,Billboard Hot 100
On A Sunday Afternoon,Lighter Shade Of Brown,1992-01-04,1992-01-10,59,Billboard Hot 100
All She Wrote,Firehouse,1992-01-04,1992-01-10,60,Billboard Hot 100
Shot Of Poison,Lita Ford,1992-01-04,1992-01-10,61,Billboard Hot 100
I'm Too Sexy,Right Said Fred,1992-01-04,1992-01-10,62,Billboard Hot 100
Uhh Ahh,Boyz II Men,1992-01-04,1992-01-10,63,Billboard Hot 100
Live And Let Die,Guns N' Roses,1992-01-04,1992-01-10,64,Billboard Hot 100
Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,1992-01-04,1992-01-10,65,Billboard Hot 100
The Comfort Zone,Vanessa Williams,1992-01-04,1992-01-10,66,Billboard Hot 100
I Want You,Jody Watley,1992-01-04,1992-01-10,67,Billboard Hot 100
Whispers,Corina,1992-01-04,1992-01-10,68,Billboard Hot 100
Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,1992-01-04,1992-01-10,69,Billboard Hot 100
There Will Never Be Another Tonight,Bryan Adams,1992-01-04,1992-01-10,70,Billboard Hot 100
No More Tears,Ozzy Osbourne,1992-01-04,1992-01-10,71,Billboard Hot 100
To Be With You,Mr. Big,1992-01-04,1992-01-10,72,Billboard Hot 100
A Day In My Life (Without You),Lisette Melendez,1992-01-04,1992-01-10,73,Billboard Hot 100
In Paradise,Laissez Faire,1992-01-04,1992-01-10,74,Billboard Hot 100
I'll Get By,Eddie Money,1992-01-04,1992-01-10,75,Billboard Hot 100
Pop That Coochie,The 2 Live Crew,1992-01-04,1992-01-10,76,Billboard Hot 100
Groovy Train,The Farm,1992-01-04,1992-01-10,77,Billboard Hot 100
Stay,Jodeci,1992-01-04,1992-01-10,78,Billboard Hot 100
Insatiable,Prince And The N.P.G.,1992-01-04,1992-01-10,79,Billboard Hot 100
Within My Heart,Voyce,1992-01-04,1992-01-10,80,Billboard Hot 100
Every Road Leads Back To You,Bette Midler,1992-01-04,1992-01-10,81,Billboard Hot 100
Move Any Mountain,The Shamen,1992-01-04,1992-01-10,82,Billboard Hot 100
Conviction Of The Heart,Kenny Loggins,1992-01-04,1992-01-10,83,Billboard Hot 100
All Through The Night,Tone-Loc,1992-01-04,1992-01-10,84,Billboard Hot 100
Love Crazy,Atlantic Starr,1992-01-04,1992-01-10,85,Billboard Hot 100
Rush,Big Audio,1992-01-04,1992-01-10,86,Billboard Hot 100
Give It Away,Red Hot Chili Peppers,1992-01-04,1992-01-10,87,Billboard Hot 100
Get A Leg Up,John Mellencamp,1992-01-04,1992-01-10,88,Billboard Hot 100
Real Real Real,Jesus Jones,1992-01-04,1992-01-10,89,Billboard Hot 100
The Rush,Luther Vandross,1992-01-04,1992-01-10,90,Billboard Hot 100
The Fly,U2,1992-01-04,1992-01-10,91,Billboard Hot 100
Right Down To It,Damian Dame,1992-01-04,1992-01-10,92,Billboard Hot 100
Martika's Kitchen,Martika,1992-01-04,1992-01-10,93,Billboard Hot 100
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,1992-01-04,1992-01-10,94,Billboard Hot 100
Wasted Time,Skid Row,1992-01-04,1992-01-10,95,Billboard Hot 100
I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples,1992-01-04,1992-01-10,96,Billboard Hot 100
Hold On (Tighter To Love),Clubland,1992-01-04,1992-01-10,97,Billboard Hot 100
Just Another Girlfriend,Hi-Five,1992-01-04,1992-01-10,98,Billboard Hot 100
She Ain't Pretty,The Northern Pikes,1992-01-04,1992-01-10,99,Billboard Hot 100
What Time Is Love?,The KLF,1992-01-04,1992-01-10,100,Billboard Hot 100
