song,artist,start_date,end_date,rank,ranking_list
I'll Make Love To You,Boyz II Men,1994-09-10,1994-09-16,1,Billboard Hot 100
"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1994-09-10,1994-09-16,2,Billboard Hot 100
Wild Night,John Mellencamp With Me'Shell Ndegeocello,1994-09-10,1994-09-16,3,Billboard Hot 100
When Can I See You,Babyface,1994-09-10,1994-09-16,4,Billboard Hot 100
Stroke You Up,Changing Faces,1994-09-10,1994-09-16,5,Billboard Hot 100
Fantastic Voyage,Coolio,1994-09-10,1994-09-16,6,Billboard Hot 100
"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,1994-09-10,1994-09-16,7,Billboard Hot 100
I Swear,All-4-One,1994-09-10,1994-09-16,8,Billboard Hot 100
This D.J.,Warren G,1994-09-10,1994-09-16,9,Billboard Hot 100
Don't Turn Around,Ace Of Base,1994-09-10,1994-09-16,10,Billboard Hot 100
Funkdafied,Da Brat,1994-09-10,1994-09-16,11,Billboard Hot 100
Shine,Collective Soul,1994-09-10,1994-09-16,12,Billboard Hot 100
All I Wanna Do,Sheryl Crow,1994-09-10,1994-09-16,13,Billboard Hot 100
If You Go,Jon Secada,1994-09-10,1994-09-16,14,Billboard Hot 100
"Any Time, Any Place/And On And On",Janet Jackson,1994-09-10,1994-09-16,15,Billboard Hot 100
Never Lie,Immature,1994-09-10,1994-09-16,16,Billboard Hot 100
I Miss You,Aaron Hall,1994-09-10,1994-09-16,17,Billboard Hot 100
100% Pure Love,Crystal Waters,1994-09-10,1994-09-16,18,Billboard Hot 100
Tootsee Roll,69 Boyz,1994-09-10,1994-09-16,19,Billboard Hot 100
Back & Forth,Aaliyah,1994-09-10,1994-09-16,20,Billboard Hot 100
At Your Best (You Are Love),Aaliyah,1994-09-10,1994-09-16,21,Billboard Hot 100
Anytime You Need A Friend,Mariah Carey,1994-09-10,1994-09-16,22,Billboard Hot 100
You Mean The World To Me,Toni Braxton,1994-09-10,1994-09-16,23,Billboard Hot 100
The Way She Loves Me,Richard Marx,1994-09-10,1994-09-16,24,Billboard Hot 100
