song,artist,start_date,end_date,rank,ranking_list
Diamonds,Rihanna,2012-12-01,2012-12-07,1,Billboard Hot 100
One More Night,Maroon 5,2012-12-01,2012-12-07,2,Billboard Hot 100
Die Young,Kesha,2012-12-01,2012-12-07,3,Billboard Hot 100
Locked Out Of Heaven,Bruno Mars,2012-12-01,2012-12-07,4,Billboard Hot 100
Some Nights,fun.,2012-12-01,2012-12-07,5,Billboard Hot 100
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012-12-01,2012-12-07,6,Billboard Hot 100
Gangnam Style,PSY,2012-12-01,2012-12-07,7,Billboard Hot 100
Ho Hey,The Lumineers,2012-12-01,2012-12-07,8,Billboard Hot 100
We Are Never Ever Getting Back Together,Taylor Swift,2012-12-01,2012-12-07,9,Billboard Hot 100
I Cry,Flo Rida,2012-12-01,2012-12-07,10,Billboard Hot 100
Too Close,Alex Clare,2012-12-01,2012-12-07,11,Billboard Hot 100
Home,Phillip Phillips,2012-12-01,2012-12-07,12,Billboard Hot 100
Don't Wake Me Up,Chris Brown,2012-12-01,2012-12-07,13,Billboard Hot 100
As Long As You Love Me,Justin Bieber Featuring Big Sean,2012-12-01,2012-12-07,14,Billboard Hot 100
Clique,"Kanye West, Jay-Z, Big Sean",2012-12-01,2012-12-07,15,Billboard Hot 100
Cruise,Florida Georgia Line Featuring Nelly,2012-12-01,2012-12-07,16,Billboard Hot 100
Adorn,Miguel,2012-12-01,2012-12-07,17,Billboard Hot 100
Blow Me (One Last Kiss),P!nk,2012-12-01,2012-12-07,18,Billboard Hot 100
Swimming Pools (Drank),Kendrick Lamar,2012-12-01,2012-12-07,19,Billboard Hot 100
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2012-12-01,2012-12-07,20,Billboard Hot 100
Skyfall,Adele,2012-12-01,2012-12-07,21,Billboard Hot 100
It's Time,Imagine Dragons,2012-12-01,2012-12-07,22,Billboard Hot 100
Good Time,Owl City & Carly Rae Jepsen,2012-12-01,2012-12-07,23,Billboard Hot 100
Everybody Talks,Neon Trees,2012-12-01,2012-12-07,24,Billboard Hot 100
The A Team,Ed Sheeran,2012-12-01,2012-12-07,25,Billboard Hot 100
Va Va Voom,Nicki Minaj,2012-12-01,2012-12-07,26,Billboard Hot 100
Lights,Ellie Goulding,2012-12-01,2012-12-07,27,Billboard Hot 100
50 Ways To Say Goodbye,Train,2012-12-01,2012-12-07,28,Billboard Hot 100
Girl On Fire,Alicia Keys Featuring Nicki Minaj,2012-12-01,2012-12-07,29,Billboard Hot 100
I Will Wait,Mumford & Sons,2012-12-01,2012-12-07,30,Billboard Hot 100
Call Me Maybe,Carly Rae Jepsen,2012-12-01,2012-12-07,31,Billboard Hot 100
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,2012-12-01,2012-12-07,32,Billboard Hot 100
Don't You Worry Child,Swedish House Mafia Featuring John Martin,2012-12-01,2012-12-07,33,Billboard Hot 100
Kiss Tomorrow Goodbye,Luke Bryan,2012-12-01,2012-12-07,34,Billboard Hot 100
Thinkin Bout You,Frank Ocean,2012-12-01,2012-12-07,35,Billboard Hot 100
Somebody That I Used To Know,Gotye Featuring Kimbra,2012-12-01,2012-12-07,36,Billboard Hot 100
Wanted,Hunter Hayes,2012-12-01,2012-12-07,37,Billboard Hot 100
Whistle,Flo Rida,2012-12-01,2012-12-07,38,Billboard Hot 100
Blown Away,Carrie Underwood,2012-12-01,2012-12-07,39,Billboard Hot 100
Feel Again,OneRepublic,2012-12-01,2012-12-07,40,Billboard Hot 100
Little Things,One Direction,2012-12-01,2012-12-07,41,Billboard Hot 100
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2012-12-01,2012-12-07,42,Billboard Hot 100
Finally Found You,Enrique Iglesias Featuring Sammy Adams,2012-12-01,2012-12-07,43,Billboard Hot 100
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",2012-12-01,2012-12-07,44,Billboard Hot 100
Hard To Love,Lee Brice,2012-12-01,2012-12-07,45,Billboard Hot 100
Payphone,Maroon 5 Featuring Wiz Khalifa,2012-12-01,2012-12-07,46,Billboard Hot 100
Titanium,David Guetta Featuring Sia,2012-12-01,2012-12-07,47,Billboard Hot 100
Wide Awake,Katy Perry,2012-12-01,2012-12-07,48,Billboard Hot 100
Hall Of Fame,The Script Featuring will.i.am,2012-12-01,2012-12-07,49,Billboard Hot 100
Try,P!nk,2012-12-01,2012-12-07,50,Billboard Hot 100
The One That Got Away,Jake Owen,2012-12-01,2012-12-07,51,Billboard Hot 100
No Worries,Lil Wayne Featuring Detail,2012-12-01,2012-12-07,52,Billboard Hot 100
Come Wake Me Up,Rascal Flatts,2012-12-01,2012-12-07,53,Billboard Hot 100
Fastest Girl In Town,Miranda Lambert,2012-12-01,2012-12-07,54,Billboard Hot 100
