song,artist,start_date,end_date,rank,ranking_list
I Can See Clearly Now,Johnny Nash,1972-11-25,1972-12-01,1,Billboard Hot 100
I'd Love You To Want Me,Lobo,1972-11-25,1972-12-01,2,Billboard Hot 100
I'll Be Around,The Spinners,1972-11-25,1972-12-01,3,Billboard Hot 100
I Am Woman,Helen Reddy,1972-11-25,1972-12-01,4,Billboard Hot 100
Papa Was A Rollin' Stone,The Temptations,1972-11-25,1972-12-01,5,Billboard Hot 100
Summer Breeze,Seals & Crofts,1972-11-25,1972-12-01,6,Billboard Hot 100
If You Don't Know Me By Now,Harold Melvin And The Blue Notes,1972-11-25,1972-12-01,7,Billboard Hot 100
You Ought To Be With Me,Al Green,1972-11-25,1972-12-01,8,Billboard Hot 100
Nights In White Satin,The Moody Blues,1972-11-25,1972-12-01,9,Billboard Hot 100
If I Could Reach You,The 5th Dimension,1972-11-25,1972-12-01,10,Billboard Hot 100
Convention '72,The Delegates,1972-11-25,1972-12-01,11,Billboard Hot 100
"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield,1972-11-25,1972-12-01,12,Billboard Hot 100
Ventura Highway,America,1972-11-25,1972-12-01,13,Billboard Hot 100
It Never Rains In Southern California,Albert Hammond,1972-11-25,1972-12-01,14,Billboard Hot 100
I'm Stone In Love With You,The Stylistics,1972-11-25,1972-12-01,15,Billboard Hot 100
Witchy Woman,Eagles,1972-11-25,1972-12-01,16,Billboard Hot 100
Clair,Gilbert O'Sullivan,1972-11-25,1972-12-01,17,Billboard Hot 100
Something's Wrong With Me,Austin Roberts,1972-11-25,1972-12-01,18,Billboard Hot 100
Crazy Horses,The Osmonds,1972-11-25,1972-12-01,19,Billboard Hot 100
Operator (That's Not the Way it Feels),Jim Croce,1972-11-25,1972-12-01,20,Billboard Hot 100
Funny Face,Donna Fargo,1972-11-25,1972-12-01,21,Billboard Hot 100
Burning Love,Elvis Presley,1972-11-25,1972-12-01,22,Billboard Hot 100
Me And Mrs. Jones,Billy Paul,1972-11-25,1972-12-01,23,Billboard Hot 100
Garden Party,Rick Nelson And The Stone Canyon Band,1972-11-25,1972-12-01,24,Billboard Hot 100
Listen To The Music,The Doobie Brothers,1972-11-25,1972-12-01,25,Billboard Hot 100
Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers,1972-11-25,1972-12-01,26,Billboard Hot 100
Corner Of The Sky,Jackson 5,1972-11-25,1972-12-01,27,Billboard Hot 100
Dialogue (Part I & II),Chicago,1972-11-25,1972-12-01,28,Billboard Hot 100
Rock 'N Roll Soul,Grand Funk Railroad,1972-11-25,1972-12-01,29,Billboard Hot 100
Sweet Surrender,Bread,1972-11-25,1972-12-01,30,Billboard Hot 100
Good Time Charlie's Got The Blues,Danny O'Keefe,1972-11-25,1972-12-01,31,Billboard Hot 100
My Ding-A-Ling,Chuck Berry,1972-11-25,1972-12-01,32,Billboard Hot 100
Elected,Alice Cooper,1972-11-25,1972-12-01,33,Billboard Hot 100
Walk On Water,Neil Diamond,1972-11-25,1972-12-01,34,Billboard Hot 100
I Believe In Music,Gallery,1972-11-25,1972-12-01,35,Billboard Hot 100
Living In The Past,Jethro Tull,1972-11-25,1972-12-01,36,Billboard Hot 100
Thunder And Lightning,Chi Coltrane,1972-11-25,1972-12-01,37,Billboard Hot 100
Sunny Days,Lighthouse,1972-11-25,1972-12-01,38,Billboard Hot 100
American City Suite,Cashman & West,1972-11-25,1972-12-01,39,Billboard Hot 100
Superfly,Curtis Mayfield,1972-11-25,1972-12-01,40,Billboard Hot 100
Keeper Of The Castle,Four Tops,1972-11-25,1972-12-01,41,Billboard Hot 100
All The Young Dudes,Mott The Hoople,1972-11-25,1972-12-01,42,Billboard Hot 100
Theme From The Men,Isaac Hayes,1972-11-25,1972-12-01,43,Billboard Hot 100
So Long Dixie,"Blood, Sweat & Tears",1972-11-25,1972-12-01,44,Billboard Hot 100
Long Dark Road,The Hollies,1972-11-25,1972-12-01,45,Billboard Hot 100
Lies,J.J. Cale,1972-11-25,1972-12-01,46,Billboard Hot 100
I Didn't Know I Loved You (Till I Saw You Rock And Roll),Gary Glitter,1972-11-25,1972-12-01,47,Billboard Hot 100
Don't Do It,The Band,1972-11-25,1972-12-01,48,Billboard Hot 100
Let It Rain,Eric Clapton,1972-11-25,1972-12-01,49,Billboard Hot 100
Baby Sitter,Betty Wright,1972-11-25,1972-12-01,50,Billboard Hot 100
Sitting,Cat Stevens,1972-11-25,1972-12-01,51,Billboard Hot 100
What Am I Crying For?,Dennis Yost And The Classics IV,1972-11-25,1972-12-01,52,Billboard Hot 100
That's How Love Goes,Jermaine Jackson,1972-11-25,1972-12-01,53,Billboard Hot 100
Alive,Bee Gees,1972-11-25,1972-12-01,54,Billboard Hot 100
Your Mama Don't Dance,Kenny Loggins & Jim Messina,1972-11-25,1972-12-01,55,Billboard Hot 100
Man Sized Job,Denise LaSalle,1972-11-25,1972-12-01,56,Billboard Hot 100
Why Can't We Be Lovers,Holland-Dozier,1972-11-25,1972-12-01,57,Billboard Hot 100
And You And I (Part II),Yes,1972-11-25,1972-12-01,58,Billboard Hot 100
Work To Do,The Isley Brothers,1972-11-25,1972-12-01,59,Billboard Hot 100
One Night Affair,Jerry Butler,1972-11-25,1972-12-01,60,Billboard Hot 100
No,Bulldog,1972-11-25,1972-12-01,61,Billboard Hot 100
In Heaven There Is No Beer,Clean Living,1972-11-25,1972-12-01,62,Billboard Hot 100
Woman Don't Go Astray,King Floyd,1972-11-25,1972-12-01,63,Billboard Hot 100
992 Arguments,The O'Jays,1972-11-25,1972-12-01,64,Billboard Hot 100
Wedding Song (There Is Love),Petula Clark,1972-11-25,1972-12-01,65,Billboard Hot 100
Pieces Of April,Three Dog Night,1972-11-25,1972-12-01,66,Billboard Hot 100
Dancing In The Moonlight,King Harvest,1972-11-25,1972-12-01,67,Billboard Hot 100
I Got A Bag Of My Own,James Brown,1972-11-25,1972-12-01,68,Billboard Hot 100
Special Someone,The Heywoods,1972-11-25,1972-12-01,69,Billboard Hot 100
"You Turn Me On, I'm A Radio",Joni Mitchell,1972-11-25,1972-12-01,70,Billboard Hot 100
Superstition,Stevie Wonder,1972-11-25,1972-12-01,71,Billboard Hot 100
Good Time Sally,Rare Earth,1972-11-25,1972-12-01,72,Billboard Hot 100
Down To The Nightclub,Tower Of Power,1972-11-25,1972-12-01,73,Billboard Hot 100
If You Let Me,Eddie Kendricks,1972-11-25,1972-12-01,74,Billboard Hot 100
Angel,Rod Stewart,1972-11-25,1972-12-01,75,Billboard Hot 100
Day And Night,The Wackers,1972-11-25,1972-12-01,76,Billboard Hot 100
I Wanna Be With You,Raspberries,1972-11-25,1972-12-01,77,Billboard Hot 100
I Found My Dad,Joe Simon,1972-11-25,1972-12-01,78,Billboard Hot 100
I Love You More Than You'll Ever Know,Donny Hathaway,1972-11-25,1972-12-01,79,Billboard Hot 100
Sunday Morning Sunshine,Harry Chapin,1972-11-25,1972-12-01,80,Billboard Hot 100
Rocky Mountain High,John Denver,1972-11-25,1972-12-01,81,Billboard Hot 100
Smoke Gets In Your Eyes,Blue Haze,1972-11-25,1972-12-01,82,Billboard Hot 100
Everybody Loves A Love Song,Mac Davis,1972-11-25,1972-12-01,83,Billboard Hot 100
"Lovin' You, Lovin' Me",Candi Staton,1972-11-25,1972-12-01,84,Billboard Hot 100
I Guess I'll Miss The Man,The Supremes,1972-11-25,1972-12-01,85,Billboard Hot 100
Annabelle,Daniel Boone,1972-11-25,1972-12-01,86,Billboard Hot 100
Do It Again,Steely Dan,1972-11-25,1972-12-01,87,Billboard Hot 100
Been To Canaan,Carole King,1972-11-25,1972-12-01,88,Billboard Hot 100
What Would The Children Think,Rick Springfield,1972-11-25,1972-12-01,89,Billboard Hot 100
The Jean Genie,David Bowie,1972-11-25,1972-12-01,90,Billboard Hot 100
I Just Want To Make Love To You,Foghat,1972-11-25,1972-12-01,91,Billboard Hot 100
The World Is A Ghetto,War,1972-11-25,1972-12-01,92,Billboard Hot 100
Do Ya,The Move,1972-11-25,1972-12-01,93,Billboard Hot 100
Why Can't We Live Together,Timmy Thomas,1972-11-25,1972-12-01,94,Billboard Hot 100
Mama Weer All Crazee Now,Slade,1972-11-25,1972-12-01,95,Billboard Hot 100
You're A Lady,Peter Skellern,1972-11-25,1972-12-01,96,Billboard Hot 100
America,Simon & Garfunkel,1972-11-25,1972-12-01,97,Billboard Hot 100
You're A Lady,Dawn Featuring Tony Orlando,1972-11-25,1972-12-01,98,Billboard Hot 100
You Can Do Magic,Limmie & Family Cookin',1972-11-25,1972-12-01,99,Billboard Hot 100
I'm Sorry,Joey Heatherton,1972-11-25,1972-12-01,100,Billboard Hot 100
