song,artist,start_date,end_date,rank,ranking_list
Blank Space,Taylor Swift,2014-12-27,2015-01-02,1,Billboard Hot 100
Take Me To Church,Hozier,2014-12-27,2015-01-02,2,Billboard Hot 100
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2014-12-27,2015-01-02,3,Billboard Hot 100
Lips Are Movin,Meghan Trainor,2014-12-27,2015-01-02,4,Billboard Hot 100
I'm Not The Only One,Sam Smith,2014-12-27,2015-01-02,5,Billboard Hot 100
Thinking Out Loud,Ed Sheeran,2014-12-27,2015-01-02,6,Billboard Hot 100
All About That Bass,Meghan Trainor,2014-12-27,2015-01-02,7,Billboard Hot 100
Animals,Maroon 5,2014-12-27,2015-01-02,8,Billboard Hot 100
Love Me Harder,Ariana Grande & The Weeknd,2014-12-27,2015-01-02,9,Billboard Hot 100
Shake It Off,Taylor Swift,2014-12-27,2015-01-02,10,Billboard Hot 100
Jealous,Nick Jonas,2014-12-27,2015-01-02,11,Billboard Hot 100
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2014-12-27,2015-01-02,12,Billboard Hot 100
The Heart Wants What It Wants,Selena Gomez,2014-12-27,2015-01-02,13,Billboard Hot 100
I Don't F**k With You,Big Sean Featuring E-40,2014-12-27,2015-01-02,14,Billboard Hot 100
Habits (Stay High),Tove Lo,2014-12-27,2015-01-02,15,Billboard Hot 100
Tuesday,I LOVE MAKONNEN Featuring Drake,2014-12-27,2015-01-02,16,Billboard Hot 100
Don't,Ed Sheeran,2014-12-27,2015-01-02,17,Billboard Hot 100
Waves,Mr. Probz,2014-12-27,2015-01-02,18,Billboard Hot 100
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014-12-27,2015-01-02,19,Billboard Hot 100
7/11,Beyonce,2014-12-27,2015-01-02,20,Billboard Hot 100
Blame,Calvin Harris Featuring John Newman,2014-12-27,2015-01-02,21,Billboard Hot 100
No Type,Rae Sremmurd,2014-12-27,2015-01-02,22,Billboard Hot 100
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2014-12-27,2015-01-02,23,Billboard Hot 100
Hot Boy,Bobby Shmurda,2014-12-27,2015-01-02,24,Billboard Hot 100
Stay With Me,Sam Smith,2014-12-27,2015-01-02,25,Billboard Hot 100
Centuries,Fall Out Boy,2014-12-27,2015-01-02,26,Billboard Hot 100
CoCo,O.T. Genasis,2014-12-27,2015-01-02,27,Billboard Hot 100
Beg For It,Iggy Azalea Featuring M0,2014-12-27,2015-01-02,28,Billboard Hot 100
Don't Tell 'Em,Jeremih Featuring YG,2014-12-27,2015-01-02,29,Billboard Hot 100
Black Widow,Iggy Azalea Featuring Rita Ora,2014-12-27,2015-01-02,30,Billboard Hot 100
Trumpets,Jason Derulo,2014-12-27,2015-01-02,31,Billboard Hot 100
Riptide,Vance Joy,2014-12-27,2015-01-02,32,Billboard Hot 100
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014-12-27,2015-01-02,33,Billboard Hot 100
Chandelier,Sia,2014-12-27,2015-01-02,34,Billboard Hot 100
Heroes (We Could Be),Alesso Featuring Tove Lo,2014-12-27,2015-01-02,35,Billboard Hot 100
Rather Be,Clean Bandit Featuring Jess Glynne,2014-12-27,2015-01-02,36,Billboard Hot 100
I Don't Mind,Usher Featuring Juicy J,2014-12-27,2015-01-02,37,Billboard Hot 100
Something In The Water,Carrie Underwood,2014-12-27,2015-01-02,38,Billboard Hot 100
Shotgun Rider,Tim McGraw,2014-12-27,2015-01-02,39,Billboard Hot 100
All I Want For Christmas Is You,Mariah Carey,2014-12-27,2015-01-02,40,Billboard Hot 100
L.A.LOVE (la la),Fergie,2014-12-27,2015-01-02,41,Billboard Hot 100
Stolen Dance,Milky Chance,2014-12-27,2015-01-02,42,Billboard Hot 100
Rude,MAGIC!,2014-12-27,2015-01-02,43,Billboard Hot 100
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2014-12-27,2015-01-02,44,Billboard Hot 100
Try Me,DeJ Loaf,2014-12-27,2015-01-02,45,Billboard Hot 100
Cool Kids,Echosmith,2014-12-27,2015-01-02,46,Billboard Hot 100
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2014-12-27,2015-01-02,47,Billboard Hot 100
"Mary, Did You Know?",Pentatonix,2014-12-27,2015-01-02,48,Billboard Hot 100
New Flame,Chris Brown Featuring Usher & Rick Ross,2014-12-27,2015-01-02,49,Billboard Hot 100
About The Money,T.I. Featuring Young Thug,2014-12-27,2015-01-02,50,Billboard Hot 100
Talladega,Eric Church,2014-12-27,2015-01-02,51,Billboard Hot 100
Perfect Storm,Brad Paisley,2014-12-27,2015-01-02,52,Billboard Hot 100
Night Changes,One Direction,2014-12-27,2015-01-02,53,Billboard Hot 100
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2014-12-27,2015-01-02,54,Billboard Hot 100
Anaconda,Nicki Minaj,2014-12-27,2015-01-02,55,Billboard Hot 100
Make It Rain,Ed Sheeran,2014-12-27,2015-01-02,56,Billboard Hot 100
Ghost,Ella Henderson,2014-12-27,2015-01-02,57,Billboard Hot 100
Sun Daze,Florida Georgia Line,2014-12-27,2015-01-02,58,Billboard Hot 100
The Old Rugged Cross,Craig Wayne Boyd,2014-12-27,2015-01-02,59,Billboard Hot 100
Dangerous,David Guetta Featuring Sam Martin,2014-12-27,2015-01-02,60,Billboard Hot 100
I See You,Luke Bryan,2014-12-27,2015-01-02,61,Billboard Hot 100
Girl In A Country Song,Maddie & Tae,2014-12-27,2015-01-02,62,Billboard Hot 100
I Bet My Life,Imagine Dragons,2014-12-27,2015-01-02,63,Billboard Hot 100
Santa Tell Me,Ariana Grande,2014-12-27,2015-01-02,64,Billboard Hot 100
Somewhere In My Car,Keith Urban,2014-12-27,2015-01-02,65,Billboard Hot 100
No Flex Zone,Rae Sremmurd,2014-12-27,2015-01-02,66,Billboard Hot 100
I Lived,OneRepublic,2014-12-27,2015-01-02,67,Billboard Hot 100
Til It's Gone,Kenny Chesney,2014-12-27,2015-01-02,68,Billboard Hot 100
Close Your Eyes,Parmalee,2014-12-27,2015-01-02,69,Billboard Hot 100
Steal My Girl,One Direction,2014-12-27,2015-01-02,70,Billboard Hot 100
God Made Girls,RaeLynn,2014-12-27,2015-01-02,71,Billboard Hot 100
Drinking Class,Lee Brice,2014-12-27,2015-01-02,72,Billboard Hot 100
Wet Dreamz,J. Cole,2014-12-27,2015-01-02,73,Billboard Hot 100
Often,The Weeknd,2014-12-27,2015-01-02,74,Billboard Hot 100
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2014-12-27,2015-01-02,75,Billboard Hot 100
Style,Taylor Swift,2014-12-27,2015-01-02,76,Billboard Hot 100
Try,Colbie Caillat,2014-12-27,2015-01-02,77,Billboard Hot 100
No Love,August Alsina,2014-12-27,2015-01-02,78,Billboard Hot 100
Prayer In C,Lillywood & Robin Schulz,2014-12-27,2015-01-02,79,Billboard Hot 100
Make Me Wanna,Thomas Rhett,2014-12-27,2015-01-02,80,Billboard Hot 100
Make It Rain,Matt McAndrew,2014-12-27,2015-01-02,81,Billboard Hot 100
Mean To Me,Brett Eldredge,2014-12-27,2015-01-02,82,Billboard Hot 100
Shut Up And Dance,WALK THE MOON,2014-12-27,2015-01-02,83,Billboard Hot 100
