song,artist,start_date,end_date,rank,ranking_list
You Light Up My Life,Debby Boone,1977-10-15,1977-10-21,1,Billboard Hot 100
Keep It Comin' Love,KC And The Sunshine Band,1977-10-15,1977-10-21,2,Billboard Hot 100
Nobody Does It Better,Carly Simon,1977-10-15,1977-10-21,3,Billboard Hot 100
That's Rock 'N' Roll,Shaun Cassidy,1977-10-15,1977-10-21,4,Billboard Hot 100
Star Wars Theme/Cantina Band,Meco,1977-10-15,1977-10-21,5,Billboard Hot 100
Boogie Nights,Heatwave,1977-10-15,1977-10-21,6,Billboard Hot 100
Cold As Ice,Foreigner,1977-10-15,1977-10-21,7,Billboard Hot 100
Brick House,Commodores,1977-10-15,1977-10-21,8,Billboard Hot 100
I Feel Love,Donna Summer,1977-10-15,1977-10-21,9,Billboard Hot 100
I Just Want To Be Your Everything,Andy Gibb,1977-10-15,1977-10-21,10,Billboard Hot 100
Swayin' To The Music (slow Dancin'),Johnny Rivers,1977-10-15,1977-10-21,11,Billboard Hot 100
On And On,Stephen Bishop,1977-10-15,1977-10-21,12,Billboard Hot 100
Don't It Make My Brown Eyes Blue,Crystal Gayle,1977-10-15,1977-10-21,13,Billboard Hot 100
It's Ecstasy When You Lay Down Next To Me,Barry White,1977-10-15,1977-10-21,14,Billboard Hot 100
The King Is Gone,Ronnie McDowell,1977-10-15,1977-10-21,15,Billboard Hot 100
It Was Almost Like A Song,Ronnie Milsap,1977-10-15,1977-10-21,16,Billboard Hot 100
Best Of My Love,The Emotions,1977-10-15,1977-10-21,17,Billboard Hot 100
Telephone Line,Electric Light Orchestra,1977-10-15,1977-10-21,18,Billboard Hot 100
Heaven On The 7th Floor,Paul Nicholas,1977-10-15,1977-10-21,19,Billboard Hot 100
"Signed, Sealed, Delivered (I'm Yours)",Peter Frampton,1977-10-15,1977-10-21,20,Billboard Hot 100
Surfin' USA,Leif Garrett,1977-10-15,1977-10-21,21,Billboard Hot 100
Just Remember I Love You,Firefall,1977-10-15,1977-10-21,22,Billboard Hot 100
Don't Stop,Fleetwood Mac,1977-10-15,1977-10-21,23,Billboard Hot 100
How Deep Is Your Love,Bee Gees,1977-10-15,1977-10-21,24,Billboard Hot 100
Strawberry Letter 23,The Brothers Johnson,1977-10-15,1977-10-21,25,Billboard Hot 100
Help Is On Its Way,Little River Band,1977-10-15,1977-10-21,26,Billboard Hot 100
