song,artist,start_date,end_date,rank,ranking_list
Want Ads,The Honey Cone,1971-06-12,1971-06-18,1,Billboard Hot 100
Brown Sugar,The Rolling Stones,1971-06-12,1971-06-18,2,Billboard Hot 100
Rainy Days And Mondays,Carpenters,1971-06-12,1971-06-18,3,Billboard Hot 100
It Don't Come Easy,Ringo Starr,1971-06-12,1971-06-18,4,Billboard Hot 100
Joy To The World,Three Dog Night,1971-06-12,1971-06-18,5,Billboard Hot 100
It's Too Late/I Feel The Earth Move,Carole King,1971-06-12,1971-06-18,6,Billboard Hot 100
Sweet And Innocent,Donny Osmond of The Osmonds,1971-06-12,1971-06-18,7,Billboard Hot 100
Treat Her Like A Lady,Cornelius Brothers & Sister Rose,1971-06-12,1971-06-18,8,Billboard Hot 100
I'll Meet You Halfway,The Partridge Family Starring Shirley Jones Featuring David Cassidy,1971-06-12,1971-06-18,9,Billboard Hot 100
Bridge Over Troubled Water/Brand New Me,Aretha Franklin,1971-06-12,1971-06-18,10,Billboard Hot 100
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,1971-06-12,1971-06-18,11,Billboard Hot 100
Me And You And A Dog Named Boo,Lobo,1971-06-12,1971-06-18,12,Billboard Hot 100
I Don't Know How To Love Him,Helen Reddy,1971-06-12,1971-06-18,13,Billboard Hot 100
Never Can Say Goodbye,Jackson 5,1971-06-12,1971-06-18,14,Billboard Hot 100
Superstar,Murray Head With The Trinidad Singers,1971-06-12,1971-06-18,15,Billboard Hot 100
Double Lovin',The Osmonds,1971-06-12,1971-06-18,16,Billboard Hot 100
Don't Knock My Love - Pt. 1,Wilson Pickett,1971-06-12,1971-06-18,17,Billboard Hot 100
"When You're Hot, You're Hot",Jerry Reed,1971-06-12,1971-06-18,18,Billboard Hot 100
Nathan Jones,The Supremes,1971-06-12,1971-06-18,19,Billboard Hot 100
Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,1971-06-12,1971-06-18,20,Billboard Hot 100
Love Her Madly,The Doors,1971-06-12,1971-06-18,21,Billboard Hot 100
Here Comes The Sun,Richie Havens,1971-06-12,1971-06-18,22,Billboard Hot 100
Right On The Tip Of My Tongue,Brenda & The Tabulations,1971-06-12,1971-06-18,23,Billboard Hot 100
Put Your Hand In The Hand,Ocean,1971-06-12,1971-06-18,24,Billboard Hot 100
If,Bread,1971-06-12,1971-06-18,25,Billboard Hot 100
Funky Nassau-Part I,The Beginning Of The End,1971-06-12,1971-06-18,26,Billboard Hot 100
She's Not Just Another Woman,The 8th Day,1971-06-12,1971-06-18,27,Billboard Hot 100
I Don't Know How To Love Him,Yvonne Elliman,1971-06-12,1971-06-18,28,Billboard Hot 100
Cool Aid,Paul Humphrey & His Cool Aid Chemists,1971-06-12,1971-06-18,29,Billboard Hot 100
Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",1971-06-12,1971-06-18,30,Billboard Hot 100
That's The Way I've Always Heard It Should Be,Carly Simon,1971-06-12,1971-06-18,31,Billboard Hot 100
Woodstock,Matthews' Southern Comfort,1971-06-12,1971-06-18,32,Billboard Hot 100
Never Can Say Goodbye,Isaac Hayes,1971-06-12,1971-06-18,33,Billboard Hot 100
Albert Flasher/Broken,The Guess Who,1971-06-12,1971-06-18,34,Billboard Hot 100
Lowdown,Chicago,1971-06-12,1971-06-18,35,Billboard Hot 100
The Drum,Bobby Sherman,1971-06-12,1971-06-18,36,Billboard Hot 100
Puppet Man/Resurrection Shuffle,Tom Jones,1971-06-12,1971-06-18,37,Billboard Hot 100
(For God's Sake) Give More Power To The People,The Chi-lites,1971-06-12,1971-06-18,38,Billboard Hot 100
Reach Out I'll Be There,Diana Ross,1971-06-12,1971-06-18,39,Billboard Hot 100
Toast And Marmalade For Tea,Tin Tin,1971-06-12,1971-06-18,40,Billboard Hot 100
High Time We Went/Black-Eyed Blues,Joe Cocker,1971-06-12,1971-06-18,41,Billboard Hot 100
Cry Baby,Janis Joplin,1971-06-12,1971-06-18,42,Billboard Hot 100
Me And My Arrow,Nilsson,1971-06-12,1971-06-18,43,Billboard Hot 100
You've Got A Friend,James Taylor,1971-06-12,1971-06-18,44,Billboard Hot 100
I Won't Mention It Again,Ray Price,1971-06-12,1971-06-18,45,Billboard Hot 100
Here Comes That Rainy Day Feeling Again,The Fortunes,1971-06-12,1971-06-18,46,Billboard Hot 100
I Don't Want To Do Wrong,Gladys Knight And The Pips,1971-06-12,1971-06-18,47,Billboard Hot 100
Mr. Big Stuff,Jean Knight,1971-06-12,1971-06-18,48,Billboard Hot 100
Light Sings,The 5th Dimension,1971-06-12,1971-06-18,49,Billboard Hot 100
Ajax Liquor Store,Hudson and Landry,1971-06-12,1971-06-18,50,Billboard Hot 100
13 Questions,Seatrain,1971-06-12,1971-06-18,51,Billboard Hot 100
"Take Me Home, Country Roads",John Denver,1971-06-12,1971-06-18,52,Billboard Hot 100
Life/Only Believe,Elvis Presley,1971-06-12,1971-06-18,53,Billboard Hot 100
Spinning Around (I Must Be Falling In Love),The Main Ingredient,1971-06-12,1971-06-18,54,Billboard Hot 100
House At Pooh Corner,Nitty Gritty Dirt Band,1971-06-12,1971-06-18,55,Billboard Hot 100
