song,artist,start_date,end_date,rank,ranking_list
My Heart Will Go On,Celine Dion,1998-02-28,1998-03-06,1,Billboard Hot 100
Nice & Slow,Usher,1998-02-28,1998-03-06,2,Billboard Hot 100
Gettin' Jiggy Wit It,Will Smith,1998-02-28,1998-03-06,3,Billboard Hot 100
Together Again,Janet,1998-02-28,1998-03-06,4,Billboard Hot 100
Truly Madly Deeply,Savage Garden,1998-02-28,1998-03-06,5,Billboard Hot 100
How Do I Live,LeAnn Rimes,1998-02-28,1998-03-06,6,Billboard Hot 100
I Don't Ever Want To See You Again,Uncle Sam,1998-02-28,1998-03-06,7,Billboard Hot 100
A Song For Mama,Boyz II Men,1998-02-28,1998-03-06,8,Billboard Hot 100
"No, No, No",Destiny's Child,1998-02-28,1998-03-06,9,Billboard Hot 100
Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),1998-02-28,1998-03-06,10,Billboard Hot 100
Too Much,Spice Girls,1998-02-28,1998-03-06,11,Billboard Hot 100
Swing My Way,K.P. & Envyi,1998-02-28,1998-03-06,12,Billboard Hot 100
What You Want,Mase Featuring Total,1998-02-28,1998-03-06,13,Billboard Hot 100
Gone Till November,Wyclef Jean,1998-02-28,1998-03-06,14,Billboard Hot 100
Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,1998-02-28,1998-03-06,15,Billboard Hot 100
How's It Going To Be,Third Eye Blind,1998-02-28,1998-03-06,16,Billboard Hot 100
I Don't Want To Wait,Paula Cole,1998-02-28,1998-03-06,17,Billboard Hot 100
Kiss The Rain,Billie Myers,1998-02-28,1998-03-06,18,Billboard Hot 100
You Make Me Wanna...,Usher,1998-02-28,1998-03-06,19,Billboard Hot 100
Are You Jimmy Ray?,Jimmy Ray,1998-02-28,1998-03-06,20,Billboard Hot 100
Father,LL Cool J,1998-02-28,1998-03-06,21,Billboard Hot 100
Dangerous,Busta Rhymes,1998-02-28,1998-03-06,22,Billboard Hot 100
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1998-02-28,1998-03-06,23,Billboard Hot 100
Too Close,Next,1998-02-28,1998-03-06,24,Billboard Hot 100
Show Me Love,Robyn,1998-02-28,1998-03-06,25,Billboard Hot 100
Love You Down,INOJ/LATHUN,1998-02-28,1998-03-06,26,Billboard Hot 100
You're Still The One,Shania Twain,1998-02-28,1998-03-06,27,Billboard Hot 100
Tubthumping,Chumbawamba,1998-02-28,1998-03-06,28,Billboard Hot 100
