song,artist,start_date,end_date,rank,ranking_list
Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1964-07-25,1964-07-31,1,Billboard Hot 100
A Hard Day's Night,The Beatles,1964-07-25,1964-07-31,2,Billboard Hot 100
I Get Around,The Beach Boys,1964-07-25,1964-07-31,3,Billboard Hot 100
Memphis,Johnny Rivers,1964-07-25,1964-07-31,4,Billboard Hot 100
The Girl From Ipanema,Stan Getz/Astrud Gilberto,1964-07-25,1964-07-31,5,Billboard Hot 100
The Little Old Lady (From Pasadena),Jan & Dean,1964-07-25,1964-07-31,6,Billboard Hot 100
Can't You See That She's Mine,The Dave Clark Five,1964-07-25,1964-07-31,7,Billboard Hot 100
Dang Me,Roger Miller,1964-07-25,1964-07-31,8,Billboard Hot 100
Wishin' And Hopin',Dusty Springfield,1964-07-25,1964-07-31,9,Billboard Hot 100
Keep On Pushing,The Impressions,1964-07-25,1964-07-31,10,Billboard Hot 100
Everybody Loves Somebody,Dean Martin,1964-07-25,1964-07-31,11,Billboard Hot 100
Good Times,Sam Cooke,1964-07-25,1964-07-31,12,Billboard Hot 100
Under The Boardwalk,The Drifters,1964-07-25,1964-07-31,13,Billboard Hot 100
Nobody I Know,Peter And Gordon,1964-07-25,1964-07-31,14,Billboard Hot 100
Try It Baby,Marvin Gaye,1964-07-25,1964-07-31,15,Billboard Hot 100
My Boy Lollipop,Millie Small,1964-07-25,1964-07-31,16,Billboard Hot 100
Don't Let The Sun Catch You Crying,Gerry And The Pacemakers,1964-07-25,1964-07-31,17,Billboard Hot 100
Where Did Our Love Go,The Supremes,1964-07-25,1964-07-31,18,Billboard Hot 100
People,Barbra Streisand,1964-07-25,1964-07-31,19,Billboard Hot 100
I Wanna Love Him So Bad,The Jelly Beans,1964-07-25,1964-07-31,20,Billboard Hot 100
Don't Throw Your Love Away,The Searchers,1964-07-25,1964-07-31,21,Billboard Hot 100
(You Don't Know) How Glad I Am,Nancy Wilson,1964-07-25,1964-07-31,22,Billboard Hot 100
Farmer John,The Premiers,1964-07-25,1964-07-31,23,Billboard Hot 100
Bad To Me,Billy J. Kramer With The Dakotas,1964-07-25,1964-07-31,24,Billboard Hot 100
Steal Away,Jimmy Hughes,1964-07-25,1964-07-31,25,Billboard Hot 100
No Particular Place To Go,Chuck Berry,1964-07-25,1964-07-31,26,Billboard Hot 100
Don't Worry Baby,The Beach Boys,1964-07-25,1964-07-31,27,Billboard Hot 100
A World Without Love,Peter And Gordon,1964-07-25,1964-07-31,28,Billboard Hot 100
Hey Harmonica Man,Stevie Wonder,1964-07-25,1964-07-31,29,Billboard Hot 100
Remember Me,Rita Pavone,1964-07-25,1964-07-31,30,Billboard Hot 100
You're My World,Cilla Black,1964-07-25,1964-07-31,31,Billboard Hot 100
Chapel Of Love,The Dixie Cups,1964-07-25,1964-07-31,32,Billboard Hot 100
Alone,The 4 Seasons,1964-07-25,1964-07-31,33,Billboard Hot 100
Handy Man,Del Shannon,1964-07-25,1964-07-31,34,Billboard Hot 100
I Like It Like That,The Miracles,1964-07-25,1964-07-31,35,Billboard Hot 100
C'mon And Swim,Bobby Freeman,1964-07-25,1964-07-31,36,Billboard Hot 100
Do I Love You?,The Ronettes,1964-07-25,1964-07-31,37,Billboard Hot 100
Al-Di-La,The Ray Charles Singers,1964-07-25,1964-07-31,38,Billboard Hot 100
Tennessee Waltz,Sam Cooke,1964-07-25,1964-07-31,39,Billboard Hot 100
I'll Be In Trouble,The Temptations,1964-07-25,1964-07-31,40,Billboard Hot 100
Little Children,Billy J. Kramer With The Dakotas,1964-07-25,1964-07-31,41,Billboard Hot 100
Share Your Love With Me,Bobby Bland,1964-07-25,1964-07-31,42,Billboard Hot 100
What Have I Got Of My Own,Trini Lopez,1964-07-25,1964-07-31,43,Billboard Hot 100
Sugar Lips,Al (He's the King) Hirt,1964-07-25,1964-07-31,44,Billboard Hot 100
I Still Get Jealous,Louis Armstrong And The All Stars,1964-07-25,1964-07-31,45,Billboard Hot 100
Just Be True,Gene Chandler,1964-07-25,1964-07-31,46,Billboard Hot 100
People Say,The Dixie Cups,1964-07-25,1964-07-31,47,Billboard Hot 100
Walk-Don't Run '64,The Ventures,1964-07-25,1964-07-31,48,Billboard Hot 100
Tell Me (You're Coming Back),The Rolling Stones,1964-07-25,1964-07-31,49,Billboard Hot 100
I Believe,The Bachelors,1964-07-25,1964-07-31,50,Billboard Hot 100
The World I Used To Know,Jimmie Rodgers,1964-07-25,1964-07-31,51,Billboard Hot 100
Angelito,Rene & Rene,1964-07-25,1964-07-31,52,Billboard Hot 100
How Do You Do It?,Gerry And The Pacemakers,1964-07-25,1964-07-31,53,Billboard Hot 100
"Mixed-Up, Shook-Up, Girl",Patty & The Emblems,1964-07-25,1964-07-31,54,Billboard Hot 100
Anyone Who Knows What Love Is (will understand),Irma Thomas,1964-07-25,1964-07-31,55,Billboard Hot 100
You're My Remedy,The Marvelettes,1964-07-25,1964-07-31,56,Billboard Hot 100
I'm Into Somethin' Good,Earl-Jean,1964-07-25,1964-07-31,57,Billboard Hot 100
Not Fade Away,The Rolling Stones,1964-07-25,1964-07-31,58,Billboard Hot 100
Something You Got,Alvin Robinson,1964-07-25,1964-07-31,59,Billboard Hot 100
Beg Me,Chuck Jackson,1964-07-25,1964-07-31,60,Billboard Hot 100
I Want To Hold Your Hand,Boston Pops Orchestra Arthur Fiedler,1964-07-25,1964-07-31,61,Billboard Hot 100
The First Night Of The Full Moon,Jack Jones,1964-07-25,1964-07-31,62,Billboard Hot 100
She's The One,The Chartbusters,1964-07-25,1964-07-31,63,Billboard Hot 100
Peg O' My Heart,Robert Maxwell His Harp And Orchestra,1964-07-25,1964-07-31,64,Billboard Hot 100
Little Latin Lupe Lu,The Kingsmen,1964-07-25,1964-07-31,65,Billboard Hot 100
I Can't Hear You,Betty Everett,1964-07-25,1964-07-31,66,Billboard Hot 100
Ain't She Sweet,The Beatles,1964-07-25,1964-07-31,67,Billboard Hot 100
Girls,Major Lance,1964-07-25,1964-07-31,68,Billboard Hot 100
Looking For Love,Connie Francis,1964-07-25,1964-07-31,69,Billboard Hot 100
Love Is All We Need,Vic Dana,1964-07-25,1964-07-31,70,Billboard Hot 100
Oh! Baby (We Got A Good Thing Goin'),Barbara Lynn,1964-07-25,1964-07-31,71,Billboard Hot 100
The Ferris Wheel,The Everly Brothers,1964-07-25,1964-07-31,72,Billboard Hot 100
It Ain't No Use,Major Lance,1964-07-25,1964-07-31,73,Billboard Hot 100
Hey Girl Don't Bother Me,The Tams,1964-07-25,1964-07-31,74,Billboard Hot 100
I Should Have Known Better,The Beatles,1964-07-25,1964-07-31,75,Billboard Hot 100
No One To Cry To,Ray Charles,1964-07-25,1964-07-31,76,Billboard Hot 100
Sole Sole Sole,Siw Malmkvist-Umberto Marcato,1964-07-25,1964-07-31,77,Billboard Hot 100
Thank You Baby,The Shirelles,1964-07-25,1964-07-31,78,Billboard Hot 100
Everybody Needs Somebody To Love,Solomon Burke,1964-07-25,1964-07-31,79,Billboard Hot 100
And I Love Her,The Beatles,1964-07-25,1964-07-31,80,Billboard Hot 100
Baby Come Home,Ruby And The Romantics,1964-07-25,1964-07-31,81,Billboard Hot 100
Such A Night,Elvis Presley With The Jordanaires,1964-07-25,1964-07-31,82,Billboard Hot 100
In The Misty Moonlight,Jerry Wallace,1964-07-25,1964-07-31,83,Billboard Hot 100
Worry,Johnny Tillotson,1964-07-25,1964-07-31,84,Billboard Hot 100
I'll Keep You Satisfied,Billy J. Kramer With The Dakotas,1964-07-25,1964-07-31,85,Billboard Hot 100
Invisible Tears,The Ray Conniff Singers,1964-07-25,1964-07-31,86,Billboard Hot 100
It Hurts To Be In Love,Gene Pitney,1964-07-25,1964-07-31,87,Billboard Hot 100
Maybe I Know,Lesley Gore,1964-07-25,1964-07-31,88,Billboard Hot 100
I Want You To Meet My Baby,Eydie Gorme,1964-07-25,1964-07-31,89,Billboard Hot 100
"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",Allan Sherman,1964-07-25,1964-07-31,90,Billboard Hot 100
A Quiet Place,Garnet Mimms & The Enchanters,1964-07-25,1964-07-31,91,Billboard Hot 100
A House Is Not A Home,Brook Benton,1964-07-25,1964-07-31,92,Billboard Hot 100
Bama Lama Bama Loo,Little Richard,1964-07-25,1964-07-31,93,Billboard Hot 100
Ringo's Theme (This Boy),George Martin And His Orch.,1964-07-25,1964-07-31,94,Billboard Hot 100
Summer Means Fun,Bruce & Terry,1964-07-25,1964-07-31,95,Billboard Hot 100
The Mexican Shuffle,Herb Alpert's Tijuana Brass,1964-07-25,1964-07-31,96,Billboard Hot 100
A Shot In The Dark,Henry Mancini,1964-07-25,1964-07-31,97,Billboard Hot 100
Say You,Ronnie Dove,1964-07-25,1964-07-31,98,Billboard Hot 100
Sunny,Neil Sedaka,1964-07-25,1964-07-31,99,Billboard Hot 100
It's All Over Now,The Rolling Stones,1964-07-25,1964-07-31,100,Billboard Hot 100
