song,artist,start_date,end_date,rank,ranking_list
SexyBack,Justin Timberlake,2006-10-14,2006-10-20,1,Billboard Hot 100
Money Maker,Ludacris Featuring Pharrell,2006-10-14,2006-10-20,2,Billboard Hot 100
Lips Of An Angel,Hinder,2006-10-14,2006-10-20,3,Billboard Hot 100
How To Save A Life,The Fray,2006-10-14,2006-10-20,4,Billboard Hot 100
Chasing Cars,Snow Patrol,2006-10-14,2006-10-20,5,Billboard Hot 100
London Bridge,Fergie,2006-10-14,2006-10-20,6,Billboard Hot 100
Smack That,Akon Featuring Eminem,2006-10-14,2006-10-20,7,Billboard Hot 100
Chain Hang Low,Jibbs,2006-10-14,2006-10-20,8,Billboard Hot 100
Far Away,Nickelback,2006-10-14,2006-10-20,9,Billboard Hot 100
Pullin' Me Back,Chingy Featuring Tyrese,2006-10-14,2006-10-20,10,Billboard Hot 100
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006-10-14,2006-10-20,11,Billboard Hot 100
Call Me When You're Sober,Evanescence,2006-10-14,2006-10-20,12,Billboard Hot 100
Sexy Love,Ne-Yo,2006-10-14,2006-10-20,13,Billboard Hot 100
Too Little Too Late,JoJo,2006-10-14,2006-10-20,14,Billboard Hot 100
Say Goodbye,Chris Brown,2006-10-14,2006-10-20,15,Billboard Hot 100
My Love,Justin Timberlake Featuring T.I.,2006-10-14,2006-10-20,16,Billboard Hot 100
Show Stopper,Danity Kane,2006-10-14,2006-10-20,17,Billboard Hot 100
Ring The Alarm,Beyonce,2006-10-14,2006-10-20,18,Billboard Hot 100
I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006-10-14,2006-10-20,19,Billboard Hot 100
Crazy,Gnarls Barkley,2006-10-14,2006-10-20,20,Billboard Hot 100
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006-10-14,2006-10-20,21,Billboard Hot 100
Waiting On The World To Change,John Mayer,2006-10-14,2006-10-20,22,Billboard Hot 100
Promiscuous,Nelly Furtado Featuring Timbaland,2006-10-14,2006-10-20,23,Billboard Hot 100
Over My Head (Cable Car),The Fray,2006-10-14,2006-10-20,24,Billboard Hot 100
Get Up,Ciara Featuring Chamillionaire,2006-10-14,2006-10-20,25,Billboard Hot 100
I Write Sins Not Tragedies,Panic! At The Disco,2006-10-14,2006-10-20,26,Billboard Hot 100
U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006-10-14,2006-10-20,27,Billboard Hot 100
White & Nerdy,"""Weird Al"" Yankovic",2006-10-14,2006-10-20,28,Billboard Hot 100
Come To Me,Diddy Featuring Nicole Scherzinger,2006-10-14,2006-10-20,29,Billboard Hot 100
Maneater,Nelly Furtado,2006-10-14,2006-10-20,30,Billboard Hot 100
Shoulder Lean,Young Dro Featuring T.I.,2006-10-14,2006-10-20,31,Billboard Hot 100
When You Were Young,The Killers,2006-10-14,2006-10-20,32,Billboard Hot 100
Ain't No Other Man,Christina Aguilera,2006-10-14,2006-10-20,33,Billboard Hot 100
Me & U,Cassie,2006-10-14,2006-10-20,34,Billboard Hot 100
What Hurts The Most,Rascal Flatts,2006-10-14,2006-10-20,35,Billboard Hot 100
Hate Me,Blue October,2006-10-14,2006-10-20,36,Billboard Hot 100
I Loved Her First,Heartland,2006-10-14,2006-10-20,37,Billboard Hot 100
Before He Cheats,Carrie Underwood,2006-10-14,2006-10-20,38,Billboard Hot 100
Move Along,The All-American Rejects,2006-10-14,2006-10-20,39,Billboard Hot 100
S.E.X.,Lyfe Jennings,2006-10-14,2006-10-20,40,Billboard Hot 100
Call On Me,Janet & Nelly,2006-10-14,2006-10-20,41,Billboard Hot 100
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006-10-14,2006-10-20,42,Billboard Hot 100
Gallery,Mario Vazquez,2006-10-14,2006-10-20,43,Billboard Hot 100
Would You Go With Me,Josh Turner,2006-10-14,2006-10-20,44,Billboard Hot 100
It's Goin' Down,Yung Joc,2006-10-14,2006-10-20,45,Billboard Hot 100
That Girl,Frankie J Featuring Mannie Fresh & Chamillionaire,2006-10-14,2006-10-20,46,Billboard Hot 100
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006-10-14,2006-10-20,47,Billboard Hot 100
Want To,Sugarland,2006-10-14,2006-10-20,48,Billboard Hot 100
Dani California,Red Hot Chili Peppers,2006-10-14,2006-10-20,49,Billboard Hot 100
Black Horse & The Cherry Tree,KT Tunstall,2006-10-14,2006-10-20,50,Billboard Hot 100
Chicken Noodle Soup.,Webstar & Young B Featuring The Voice Of Harlem,2006-10-14,2006-10-20,51,Billboard Hot 100
You Save Me,Kenny Chesney,2006-10-14,2006-10-20,52,Billboard Hot 100
Tell Me Baby,Red Hot Chili Peppers,2006-10-14,2006-10-20,53,Billboard Hot 100
Leave The Pieces,The Wreckers,2006-10-14,2006-10-20,54,Billboard Hot 100
Once In A Lifetime,Keith Urban,2006-10-14,2006-10-20,55,Billboard Hot 100
My Wish,Rascal Flatts,2006-10-14,2006-10-20,56,Billboard Hot 100
Everytime Tha Beat Drop,Monica Featuring Dem Franchize Boyz,2006-10-14,2006-10-20,57,Billboard Hot 100
The Riddle,Five For Fighting,2006-10-14,2006-10-20,58,Billboard Hot 100
Walk It Out,Unk,2006-10-14,2006-10-20,59,Billboard Hot 100
Suddenly I See,KT Tunstall,2006-10-14,2006-10-20,60,Billboard Hot 100
Every Mile A Memory,Dierks Bentley,2006-10-14,2006-10-20,61,Billboard Hot 100
Right Where You Want Me,Jesse McCartney,2006-10-14,2006-10-20,62,Billboard Hot 100
About Us,Brooke Hogan Featuring Paul Wall,2006-10-14,2006-10-20,63,Billboard Hot 100
Life Is A Highway,Rascal Flatts,2006-10-14,2006-10-20,64,Billboard Hot 100
Stuntin' Like My Daddy,Birdman & Lil Wayne,2006-10-14,2006-10-20,65,Billboard Hot 100
Here It Goes Again,OK Go,2006-10-14,2006-10-20,66,Billboard Hot 100
Brand New Girlfriend,Steve Holy,2006-10-14,2006-10-20,67,Billboard Hot 100
I Call It Love,Lionel Richie,2006-10-14,2006-10-20,68,Billboard Hot 100
Chemicals React,Aly & AJ,2006-10-14,2006-10-20,69,Billboard Hot 100
Building Bridges,Brooks & Dunn With Sheryl Crow & Vince Gill,2006-10-14,2006-10-20,70,Billboard Hot 100
Remember The Name,Fort Minor Featuring Styles Of Beyond,2006-10-14,2006-10-20,71,Billboard Hot 100
Tim McGraw,Taylor Swift,2006-10-14,2006-10-20,72,Billboard Hot 100
Push It,Rick Ross,2006-10-14,2006-10-20,73,Billboard Hot 100
Money In The Bank,Lil Scrappy Featuring Young Buck,2006-10-14,2006-10-20,74,Billboard Hot 100
If You're Going Through Hell (Before The Devil Even Knows),Rodney Atkins,2006-10-14,2006-10-20,75,Billboard Hot 100
Put Your Records On,Corinne Bailey Rae,2006-10-14,2006-10-20,76,Billboard Hot 100
My Little Girl,Tim McGraw,2006-10-14,2006-10-20,77,Billboard Hot 100
Fergalicious,Fergie,2006-10-14,2006-10-20,78,Billboard Hot 100
Give It Away,George Strait,2006-10-14,2006-10-20,79,Billboard Hot 100
Like Red On A Rose,Alan Jackson,2006-10-14,2006-10-20,80,Billboard Hot 100
It's Okay (One Blood),The Game Featuring Junior Reid,2006-10-14,2006-10-20,81,Billboard Hot 100
Deja Vu,Beyonce Featuring Jay Z,2006-10-14,2006-10-20,82,Billboard Hot 100
Need A Boss,Shareefa Featuring Ludacris,2006-10-14,2006-10-20,83,Billboard Hot 100
Take Me As I Am,Mary J. Blige,2006-10-14,2006-10-20,84,Billboard Hot 100
The Kill (Bury Me),Thirty Seconds To Mars,2006-10-14,2006-10-20,85,Billboard Hot 100
Welcome To The Black Parade,My Chemical Romance,2006-10-14,2006-10-20,86,Billboard Hot 100
Through Glass,Stone Sour,2006-10-14,2006-10-20,87,Billboard Hot 100
Come Back To Me,Vanessa Hudgens,2006-10-14,2006-10-20,88,Billboard Hot 100
The Diary Of Jane,Breaking Benjamin,2006-10-14,2006-10-20,89,Billboard Hot 100
So Excited,Janet Featuring Khia,2006-10-14,2006-10-20,90,Billboard Hot 100
Streetcorner Symphony,Rob Thomas,2006-10-14,2006-10-20,91,Billboard Hot 100
Animal I Have Become,Three Days Grace,2006-10-14,2006-10-20,92,Billboard Hot 100
Nothing Left To Lose,Mat Kearney,2006-10-14,2006-10-20,93,Billboard Hot 100
Rockstar,Nickelback,2006-10-14,2006-10-20,94,Billboard Hot 100
I Wanna Love You,Akon Featuring Snoop Dogg,2006-10-14,2006-10-20,95,Billboard Hot 100
Face Down,The Red Jumpsuit Apparatus,2006-10-14,2006-10-20,96,Billboard Hot 100
It Ends Tonight,The All-American Rejects,2006-10-14,2006-10-20,97,Billboard Hot 100
Unappreciated,Cherish,2006-10-14,2006-10-20,98,Billboard Hot 100
I Can't Hate You Anymore,Nick Lachey,2006-10-14,2006-10-20,99,Billboard Hot 100
Hurt,Christina Aguilera,2006-10-14,2006-10-20,100,Billboard Hot 100
