song,artist,start_date,end_date,rank,ranking_list
I Am I Am,Smokey Robinson,1975-02-01,1975-02-07,71,Billboard Hot 100
"Baby, Hang Up The Phone",Carl Graves,1975-02-01,1975-02-07,72,Billboard Hot 100
I've Been This Way Before,Neil Diamond,1975-02-01,1975-02-07,73,Billboard Hot 100
Midnight Sky (Part 1),The Isley Brothers,1975-02-01,1975-02-07,74,Billboard Hot 100
If Loving You Is Wrong I Don't Want To Be Right,Millie Jackson,1975-02-01,1975-02-07,75,Billboard Hot 100
Thanks For The Smiles,Charlie Ross,1975-02-01,1975-02-07,76,Billboard Hot 100
It's All Right,Jim Capaldi,1975-02-01,1975-02-07,77,Billboard Hot 100
Dancin' Fool,The Guess Who,1975-02-01,1975-02-07,78,Billboard Hot 100
Future Shock,Hello People,1975-02-01,1975-02-07,79,Billboard Hot 100
I Get Lifted,George McCrae,1975-02-01,1975-02-07,80,Billboard Hot 100
Chevy Van,Sammy Johns,1975-02-01,1975-02-07,81,Billboard Hot 100
Sha-La-La (Make Me Happy),Al Green,1975-02-01,1975-02-07,82,Billboard Hot 100
Wolf Creek Pass,C.W. McCall,1975-02-01,1975-02-07,83,Billboard Hot 100
My Elusive Dreams,Charlie Rich,1975-02-01,1975-02-07,84,Billboard Hot 100
I Fought The Law,Sam Neely,1975-02-01,1975-02-07,85,Billboard Hot 100
"Please, Mr. President",Paula Webb,1975-02-01,1975-02-07,86,Billboard Hot 100
I Won't Last A Day Without You/Let Me Be The One,Al Wilson,1975-02-01,1975-02-07,87,Billboard Hot 100
Part Of The Plan,Dan Fogelberg,1975-02-01,1975-02-07,88,Billboard Hot 100
Butter Boy,Fanny,1975-02-01,1975-02-07,89,Billboard Hot 100
"Good Times, Rock & Roll",Flash Cadillac And The Continental Kids,1975-02-01,1975-02-07,90,Billboard Hot 100
Devil In The Bottle,T.G. Sheppard,1975-02-01,1975-02-07,91,Billboard Hot 100
We May Never Love Like This Again,Maureen McGovern,1975-02-01,1975-02-07,92,Billboard Hot 100
I'll Still Love You,Jim Weatherly,1975-02-01,1975-02-07,93,Billboard Hot 100
Let Me Start Tonite,Lamont Dozier,1975-02-01,1975-02-07,94,Billboard Hot 100
Isn't It Lonely Together,Stark & McBrien,1975-02-01,1975-02-07,95,Billboard Hot 100
Chico And The Man,Jose Feliciano,1975-02-01,1975-02-07,96,Billboard Hot 100
Before The Next Teardrop Falls,Freddy Fender,1975-02-01,1975-02-07,97,Billboard Hot 100
Crazy Talk,Chilliwack,1975-02-01,1975-02-07,98,Billboard Hot 100
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,1975-02-01,1975-02-07,99,Billboard Hot 100
Costafine Town,Splinter,1975-02-01,1975-02-07,100,Billboard Hot 100
