song,artist,start_date,end_date,rank,ranking_list
On Bended Knee,Boyz II Men,1994-12-31,1995-01-06,1,Billboard Hot 100
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,1994-12-31,1995-01-06,2,Billboard Hot 100
Another Night,Real McCoy,1994-12-31,1995-01-06,3,Billboard Hot 100
Creep,TLC,1994-12-31,1995-01-06,4,Billboard Hot 100
Always,Bon Jovi,1994-12-31,1995-01-06,5,Billboard Hot 100
I Wanna Be Down,Brandy,1994-12-31,1995-01-06,6,Billboard Hot 100
I'll Make Love To You,Boyz II Men,1994-12-31,1995-01-06,7,Billboard Hot 100
Before I Let You Go,BLACKstreet,1994-12-31,1995-01-06,8,Billboard Hot 100
Tootsee Roll,69 Boyz,1994-12-31,1995-01-06,9,Billboard Hot 100
I'm The Only One,Melissa Etheridge,1994-12-31,1995-01-06,10,Billboard Hot 100
You Want This/70's Love Groove,Janet Jackson,1994-12-31,1995-01-06,11,Billboard Hot 100
Secret,Madonna,1994-12-31,1995-01-06,12,Billboard Hot 100
Sukiyaki,4PM,1994-12-31,1995-01-06,13,Billboard Hot 100
Take A Bow,Madonna,1994-12-31,1995-01-06,14,Billboard Hot 100
Short Dick Man,20 Fingers Featuring Gillette,1994-12-31,1995-01-06,15,Billboard Hot 100
You Gotta Be,Des'ree,1994-12-31,1995-01-06,16,Billboard Hot 100
All I Wanna Do,Sheryl Crow,1994-12-31,1995-01-06,17,Billboard Hot 100
"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan,1994-12-31,1995-01-06,18,Billboard Hot 100
Practice What You Preach,Barry White,1994-12-31,1995-01-06,19,Billboard Hot 100
I'll Stand By You,Pretenders,1994-12-31,1995-01-06,20,Billboard Hot 100
100% Pure Love,Crystal Waters,1994-12-31,1995-01-06,21,Billboard Hot 100
The Rhythm Of The Night,Corona,1994-12-31,1995-01-06,22,Billboard Hot 100
The Sweetest Days,Vanessa Williams,1994-12-31,1995-01-06,23,Billboard Hot 100
You Don't Know How It Feels,Tom Petty,1994-12-31,1995-01-06,24,Billboard Hot 100
Hold My Hand,Hootie & The Blowfish,1994-12-31,1995-01-06,25,Billboard Hot 100
"December 1963 (Oh, What A Night)",The 4 Seasons,1994-12-31,1995-01-06,26,Billboard Hot 100
Living In Danger,Ace Of Base,1994-12-31,1995-01-06,27,Billboard Hot 100
