song,artist,start_date,end_date,rank,ranking_list
Down,Jay Sean Featuring Lil Wayne,2009-10-31,2009-11-06,1,Billboard Hot 100
Whatcha Say,Jason Derulo,2009-10-31,2009-11-06,2,Billboard Hot 100
Party In The U.S.A.,Miley Cyrus,2009-10-31,2009-11-06,3,Billboard Hot 100
Run This Town,"Jay-Z, Rihanna & Kanye West",2009-10-31,2009-11-06,4,Billboard Hot 100
3,Britney Spears,2009-10-31,2009-11-06,5,Billboard Hot 100
Paparazzi,Lady Gaga,2009-10-31,2009-11-06,6,Billboard Hot 100
Fireflies,Owl City,2009-10-31,2009-11-06,7,Billboard Hot 100
I Gotta Feeling,The Black Eyed Peas,2009-10-31,2009-11-06,8,Billboard Hot 100
Meet Me Halfway,The Black Eyed Peas,2009-10-31,2009-11-06,9,Billboard Hot 100
You Belong With Me,Taylor Swift,2009-10-31,2009-11-06,10,Billboard Hot 100
Sweet Dreams,Beyonce,2009-10-31,2009-11-06,11,Billboard Hot 100
Empire State Of Mind,Jay-Z + Alicia Keys,2009-10-31,2009-11-06,12,Billboard Hot 100
Use Somebody,Kings Of Leon,2009-10-31,2009-11-06,13,Billboard Hot 100
Replay,Iyaz,2009-10-31,2009-11-06,14,Billboard Hot 100
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2009-10-31,2009-11-06,15,Billboard Hot 100
Obsessed,Mariah Carey,2009-10-31,2009-11-06,16,Billboard Hot 100
Who Says,John Mayer,2009-10-31,2009-11-06,17,Billboard Hot 100
Break Up,Mario Featuring Gucci Mane & Sean Garrett,2009-10-31,2009-11-06,18,Billboard Hot 100
Cowboy Casanova,Carrie Underwood,2009-10-31,2009-11-06,19,Billboard Hot 100
Already Gone,Kelly Clarkson,2009-10-31,2009-11-06,20,Billboard Hot 100
Sexy Chick,David Guetta Featuring Akon,2009-10-31,2009-11-06,21,Billboard Hot 100
Need You Now,Lady Antebellum,2009-10-31,2009-11-06,22,Billboard Hot 100
One Time,Justin Bieber,2009-10-31,2009-11-06,23,Billboard Hot 100
Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009-10-31,2009-11-06,24,Billboard Hot 100
Fallin' For You,Colbie Caillat,2009-10-31,2009-11-06,25,Billboard Hot 100
Toes,Zac Brown Band,2009-10-31,2009-11-06,26,Billboard Hot 100
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,2009-10-31,2009-11-06,27,Billboard Hot 100
Love Drunk,Boys Like Girls,2009-10-31,2009-11-06,28,Billboard Hot 100
Hotel Room Service,Pitbull,2009-10-31,2009-11-06,29,Billboard Hot 100
Throw It In The Bag,Fabolous Featuring The-Dream,2009-10-31,2009-11-06,30,Billboard Hot 100
Evacuate The Dancefloor,Cascada,2009-10-31,2009-11-06,31,Billboard Hot 100
She Wolf,Shakira,2009-10-31,2009-11-06,32,Billboard Hot 100
Gettin' You Home,Chris Young,2009-10-31,2009-11-06,33,Billboard Hot 100
Only You Can Love Me This Way,Keith Urban,2009-10-31,2009-11-06,34,Billboard Hot 100
Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,2009-10-31,2009-11-06,35,Billboard Hot 100
Successful,Drake Featuring Trey Songz & Lil Wayne,2009-10-31,2009-11-06,36,Billboard Hot 100
Be On You,Flo Rida Featuring Ne-Yo,2009-10-31,2009-11-06,37,Billboard Hot 100
Drop It Low,Ester Dean Featuring Chris Brown,2009-10-31,2009-11-06,38,Billboard Hot 100
Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,2009-10-31,2009-11-06,39,Billboard Hot 100
Good Morning,Chamillionaire,2009-10-31,2009-11-06,40,Billboard Hot 100
Best I Ever Had,Drake,2009-10-31,2009-11-06,41,Billboard Hot 100
American Ride,Toby Keith,2009-10-31,2009-11-06,42,Billboard Hot 100
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,2009-10-31,2009-11-06,43,Billboard Hot 100
Big Green Tractor,Jason Aldean,2009-10-31,2009-11-06,44,Billboard Hot 100
I Know You Want Me (Calle Ocho),Pitbull,2009-10-31,2009-11-06,45,Billboard Hot 100
Boom Boom Pow,The Black Eyed Peas,2009-10-31,2009-11-06,46,Billboard Hot 100
Never Say Never,The Fray,2009-10-31,2009-11-06,47,Billboard Hot 100
21 Guns,Green Day,2009-10-31,2009-11-06,48,Billboard Hot 100
No Surprise,Daughtry,2009-10-31,2009-11-06,49,Billboard Hot 100
Do I,Luke Bryan,2009-10-31,2009-11-06,50,Billboard Hot 100
Welcome To The Future,Brad Paisley,2009-10-31,2009-11-06,51,Billboard Hot 100
One Less Lonely Girl,Justin Bieber,2009-10-31,2009-11-06,52,Billboard Hot 100
Imma Star (Everywhere We Are),Jeremih,2009-10-31,2009-11-06,53,Billboard Hot 100
I'm Alive,Kenny Chesney With Dave Matthews,2009-10-31,2009-11-06,54,Billboard Hot 100
TiK ToK,Ke$ha,2009-10-31,2009-11-06,55,Billboard Hot 100
Keep Holding On,Glee Cast,2009-10-31,2009-11-06,56,Billboard Hot 100
Haven't Met You Yet,Michael Buble,2009-10-31,2009-11-06,57,Billboard Hot 100
Smile,Uncle Kracker,2009-10-31,2009-11-06,58,Billboard Hot 100
"Hey, Soul Sister",Train,2009-10-31,2009-11-06,59,Billboard Hot 100
