song,artist,start_date,end_date,rank,ranking_list
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993-11-13,1993-11-19,1,Billboard Hot 100
All That She Wants,Ace Of Base,1993-11-13,1993-11-19,2,Billboard Hot 100
Again,Janet Jackson,1993-11-13,1993-11-19,3,Billboard Hot 100
Just Kickin' It,Xscape,1993-11-13,1993-11-19,4,Billboard Hot 100
Gangsta Lean,DRS,1993-11-13,1993-11-19,5,Billboard Hot 100
Dreamlover,Mariah Carey,1993-11-13,1993-11-19,6,Billboard Hot 100
Shoop,Salt-N-Pepa,1993-11-13,1993-11-19,7,Billboard Hot 100
Hey Mr. D.J.,Zhane,1993-11-13,1993-11-19,8,Billboard Hot 100
Whoomp! (There It Is),Tag Team,1993-11-13,1993-11-19,9,Billboard Hot 100
Anniversary,Tony Toni Tone,1993-11-13,1993-11-19,10,Billboard Hot 100
What Is Love,Haddaway,1993-11-13,1993-11-19,11,Billboard Hot 100
Hero,Mariah Carey,1993-11-13,1993-11-19,12,Billboard Hot 100
The River Of Dreams,Billy Joel,1993-11-13,1993-11-19,13,Billboard Hot 100
Breathe Again,Toni Braxton,1993-11-13,1993-11-19,14,Billboard Hot 100
Can We Talk,Tevin Campbell,1993-11-13,1993-11-19,15,Billboard Hot 100
Another Sad Love Song,Toni Braxton,1993-11-13,1993-11-19,16,Billboard Hot 100
Right Here (Human Nature)/Downtown,SWV,1993-11-13,1993-11-19,17,Billboard Hot 100
"Two Steps Behind (From ""Last Action Hero"")",Def Leppard,1993-11-13,1993-11-19,18,Billboard Hot 100
If,Janet Jackson,1993-11-13,1993-11-19,19,Billboard Hot 100
Sweat (A La La La La Long),Inner Circle,1993-11-13,1993-11-19,20,Billboard Hot 100
I Get Around,2Pac,1993-11-13,1993-11-19,21,Billboard Hot 100
No Rain,Blind Melon,1993-11-13,1993-11-19,22,Billboard Hot 100
Cryin',Aerosmith,1993-11-13,1993-11-19,23,Billboard Hot 100
Please Forgive Me,Bryan Adams,1993-11-13,1993-11-19,24,Billboard Hot 100
Said I Loved You...But I Lied,Michael Bolton,1993-11-13,1993-11-19,25,Billboard Hot 100
Reason To Believe,Rod Stewart,1993-11-13,1993-11-19,26,Billboard Hot 100
Keep Ya Head Up,2Pac,1993-11-13,1993-11-19,27,Billboard Hot 100
Come Baby Come,K7,1993-11-13,1993-11-19,28,Billboard Hot 100
Everybody Hurts,R.E.M.,1993-11-13,1993-11-19,29,Billboard Hot 100
Sex Me (Parts I & II),R. Kelly,1993-11-13,1993-11-19,30,Billboard Hot 100
Wild World,Mr. Big,1993-11-13,1993-11-19,31,Billboard Hot 100
Hey Jealousy,Gin Blossoms,1993-11-13,1993-11-19,32,Billboard Hot 100
Baby I'm Yours,Shai,1993-11-13,1993-11-19,33,Billboard Hot 100
Come Inside,Intro,1993-11-13,1993-11-19,34,Billboard Hot 100
"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,1993-11-13,1993-11-19,35,Billboard Hot 100
Both Sides Of The Story,Phil Collins,1993-11-13,1993-11-19,36,Billboard Hot 100
Lately,Jodeci,1993-11-13,1993-11-19,37,Billboard Hot 100
Better Than You,Lisa Keith,1993-11-13,1993-11-19,38,Billboard Hot 100
Boom! Shake The Room,Jazzy Jeff & The Fresh Prince,1993-11-13,1993-11-19,39,Billboard Hot 100
(I Know I Got) Skillz,Shaquille O'Neal,1993-11-13,1993-11-19,40,Billboard Hot 100
Runaway Train,Soul Asylum,1993-11-13,1993-11-19,41,Billboard Hot 100
"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five,1993-11-13,1993-11-19,42,Billboard Hot 100
"Can't Help Falling In Love (From ""Sliver"")",UB40,1993-11-13,1993-11-19,43,Billboard Hot 100
Hopelessly,Rick Astley,1993-11-13,1993-11-19,44,Billboard Hot 100
Let Me Ride,Dr. Dre,1993-11-13,1993-11-19,45,Billboard Hot 100
Will You Be There,Michael Jackson,1993-11-13,1993-11-19,46,Billboard Hot 100
Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",1993-11-13,1993-11-19,47,Billboard Hot 100
Human Wheels,John Mellencamp,1993-11-13,1993-11-19,48,Billboard Hot 100
Linger,The Cranberries,1993-11-13,1993-11-19,49,Billboard Hot 100
Send Me A Lover,Taylor Dayne,1993-11-13,1993-11-19,50,Billboard Hot 100
Time And Chance,Color Me Badd,1993-11-13,1993-11-19,51,Billboard Hot 100
Never Keeping Secrets,Babyface,1993-11-13,1993-11-19,52,Billboard Hot 100
Something In Your Eyes,Bell Biv DeVoe,1993-11-13,1993-11-19,53,Billboard Hot 100
Mr. Vain,Culture Beat,1993-11-13,1993-11-19,54,Billboard Hot 100
Ruffneck,MC Lyte,1993-11-13,1993-11-19,55,Billboard Hot 100
Insane In The Brain,Cypress Hill,1993-11-13,1993-11-19,56,Billboard Hot 100
Nothing 'Bout Me,Sting,1993-11-13,1993-11-19,57,Billboard Hot 100
All About Soul,Billy Joel,1993-11-13,1993-11-19,58,Billboard Hot 100
Dreams,Gabrielle,1993-11-13,1993-11-19,59,Billboard Hot 100
Slow And Easy,Zapp & Roger,1993-11-13,1993-11-19,60,Billboard Hot 100
Rain,Madonna,1993-11-13,1993-11-19,61,Billboard Hot 100
Ooh Child,Dino,1993-11-13,1993-11-19,62,Billboard Hot 100
Runaway Love,En Vogue Featuring FMOB,1993-11-13,1993-11-19,63,Billboard Hot 100
Break It Down Again,Tears For Fears,1993-11-13,1993-11-19,64,Billboard Hot 100
"Indo Smoke (From ""Poetic Justice"")",Mista Grimm,1993-11-13,1993-11-19,65,Billboard Hot 100
"When I Fall In Love (From ""Sleepless In Seattle"")",Celine Dion And Clive Griffin,1993-11-13,1993-11-19,66,Billboard Hot 100
As Long As I Can Dream,Expose,1993-11-13,1993-11-19,67,Billboard Hot 100
Freakit,Das EFX,1993-11-13,1993-11-19,68,Billboard Hot 100
Award Tour,A Tribe Called Quest,1993-11-13,1993-11-19,69,Billboard Hot 100
Jessie,Joshua Kadison,1993-11-13,1993-11-19,70,Billboard Hot 100
Fields Of Gray,Bruce Hornsby,1993-11-13,1993-11-19,71,Billboard Hot 100
Yolanda,Reality,1993-11-13,1993-11-19,72,Billboard Hot 100
Higher Ground,UB40,1993-11-13,1993-11-19,73,Billboard Hot 100
"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff,1993-11-13,1993-11-19,74,Billboard Hot 100
Because The Night,"10,000 Maniacs",1993-11-13,1993-11-19,75,Billboard Hot 100
Paying The Price Of Love,Bee Gees,1993-11-13,1993-11-19,76,Billboard Hot 100
Method Man,Wu-Tang Clan,1993-11-13,1993-11-19,77,Billboard Hot 100
Love For Love,Robin S.,1993-11-13,1993-11-19,78,Billboard Hot 100
Check Yo Self,Ice Cube Featuring Das EFX,1993-11-13,1993-11-19,79,Billboard Hot 100
Real Muthaphuckkin G's,Eazy-E,1993-11-13,1993-11-19,80,Billboard Hot 100
What's It To You,Clay Walker,1993-11-13,1993-11-19,81,Billboard Hot 100
Jimmy Olsen's Blues,Spin Doctors,1993-11-13,1993-11-19,82,Billboard Hot 100
Oh Carolina,Shaggy,1993-11-13,1993-11-19,83,Billboard Hot 100
