song,artist,start_date,end_date,rank,ranking_list
(Just Like) Starting Over,John Lennon,1981-01-03,1981-01-09,1,Billboard Hot 100
More Than I Can Say,Leo Sayer,1981-01-03,1981-01-09,2,Billboard Hot 100
Love On The Rocks,Neil Diamond,1981-01-03,1981-01-09,3,Billboard Hot 100
Lady,Kenny Rogers,1981-01-03,1981-01-09,4,Billboard Hot 100
Hungry Heart,Bruce Springsteen,1981-01-03,1981-01-09,5,Billboard Hot 100
Every Woman In The World,Air Supply,1981-01-03,1981-01-09,6,Billboard Hot 100
Guilty,Barbra Streisand & Barry Gibb,1981-01-03,1981-01-09,7,Billboard Hot 100
The Tide Is High,Blondie,1981-01-03,1981-01-09,8,Billboard Hot 100
Hit Me With Your Best Shot,Pat Benatar,1981-01-03,1981-01-09,9,Billboard Hot 100
Tell It Like It Is,Heart,1981-01-03,1981-01-09,10,Billboard Hot 100
Passion,Rod Stewart,1981-01-03,1981-01-09,11,Billboard Hot 100
"De Do Do Do, De Da Da Da",The Police,1981-01-03,1981-01-09,12,Billboard Hot 100
Master Blaster (Jammin'),Stevie Wonder,1981-01-03,1981-01-09,13,Billboard Hot 100
Another One Bites The Dust,Queen,1981-01-03,1981-01-09,14,Billboard Hot 100
It's My Turn,Diana Ross,1981-01-03,1981-01-09,15,Billboard Hot 100
I Made It Through The Rain,Barry Manilow,1981-01-03,1981-01-09,16,Billboard Hot 100
Celebration,Kool & The Gang,1981-01-03,1981-01-09,17,Billboard Hot 100
Everybody's Got To Learn Sometime,The Korgis,1981-01-03,1981-01-09,18,Billboard Hot 100
I Love A Rainy Night,Eddie Rabbitt,1981-01-03,1981-01-09,19,Billboard Hot 100
Hey Nineteen,Steely Dan,1981-01-03,1981-01-09,20,Billboard Hot 100
Time Is Time,Andy Gibb,1981-01-03,1981-01-09,21,Billboard Hot 100
Woman In Love,Barbra Streisand,1981-01-03,1981-01-09,22,Billboard Hot 100
Suddenly,Olivia Newton-John & Cliff Richard,1981-01-03,1981-01-09,23,Billboard Hot 100
I Believe In You,Don Williams,1981-01-03,1981-01-09,24,Billboard Hot 100
You've Lost That Lovin' Feeling,Daryl Hall John Oates,1981-01-03,1981-01-09,25,Billboard Hot 100
One Step Closer,The Doobie Brothers,1981-01-03,1981-01-09,26,Billboard Hot 100
Whip It,Devo,1981-01-03,1981-01-09,27,Billboard Hot 100
Giving It Up For Your Love,Delbert McClinton,1981-01-03,1981-01-09,28,Billboard Hot 100
Together,Tierra,1981-01-03,1981-01-09,29,Billboard Hot 100
Miss Sun,Boz Scaggs,1981-01-03,1981-01-09,30,Billboard Hot 100
Never Be The Same,Christopher Cross,1981-01-03,1981-01-09,31,Billboard Hot 100
Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon,1981-01-03,1981-01-09,32,Billboard Hot 100
9 To 5,Dolly Parton,1981-01-03,1981-01-09,33,Billboard Hot 100
I'm Coming Out,Diana Ross,1981-01-03,1981-01-09,34,Billboard Hot 100
Girls Can Get It,Dr. Hook,1981-01-03,1981-01-09,35,Billboard Hot 100
The Winner Takes It All,ABBA,1981-01-03,1981-01-09,36,Billboard Hot 100
Same Old Lang Syne,Dan Fogelberg,1981-01-03,1981-01-09,37,Billboard Hot 100
Sequel,Harry Chapin,1981-01-03,1981-01-09,38,Billboard Hot 100
Keep On Loving You,REO Speedwagon,1981-01-03,1981-01-09,39,Billboard Hot 100
Killin' Time,Fred Knoblock & Susan Anton,1981-01-03,1981-01-09,40,Billboard Hot 100
Cold Love,Donna Summer,1981-01-03,1981-01-09,41,Billboard Hot 100
Turn And Walk Away,The Babys,1981-01-03,1981-01-09,42,Billboard Hot 100
He Can't Love You,Michael Stanley Band,1981-01-03,1981-01-09,43,Billboard Hot 100
Need Your Loving Tonight,Queen,1981-01-03,1981-01-09,44,Billboard Hot 100
My Mother's Eyes,Bette Midler,1981-01-03,1981-01-09,45,Billboard Hot 100
Shine On,L.T.D.,1981-01-03,1981-01-09,46,Billboard Hot 100
Gotta Have More Love,Climax Blues Band,1981-01-03,1981-01-09,47,Billboard Hot 100
You,"Earth, Wind & Fire",1981-01-03,1981-01-09,48,Billboard Hot 100
I Need Your Lovin',Teena Marie,1981-01-03,1981-01-09,49,Billboard Hot 100
Smoky Mountain Rain,Ronnie Milsap,1981-01-03,1981-01-09,50,Billboard Hot 100
Heartbreak Hotel,The Jacksons,1981-01-03,1981-01-09,51,Billboard Hot 100
Love T.K.O.,Teddy Pendergrass,1981-01-03,1981-01-09,52,Billboard Hot 100
Teacher Teacher,Rockpile,1981-01-03,1981-01-09,53,Billboard Hot 100
Games People Play,The Alan Parsons Project,1981-01-03,1981-01-09,54,Billboard Hot 100
Seven Bridges Road,Eagles,1981-01-03,1981-01-09,55,Billboard Hot 100
I Ain't Gonna Stand For It,Stevie Wonder,1981-01-03,1981-01-09,56,Billboard Hot 100
This Time,John Cougar,1981-01-03,1981-01-09,57,Billboard Hot 100
Dreaming,Cliff Richard,1981-01-03,1981-01-09,58,Billboard Hot 100
Deep Inside My Heart,Randy Meisner,1981-01-03,1981-01-09,59,Billboard Hot 100
The Wanderer,Donna Summer,1981-01-03,1981-01-09,60,Billboard Hot 100
Fool That I Am,Rita Coolidge,1981-01-03,1981-01-09,61,Billboard Hot 100
Breakfast In America,Supertramp,1981-01-03,1981-01-09,62,Billboard Hot 100
He's So Shy,The Pointer Sisters,1981-01-03,1981-01-09,63,Billboard Hot 100
Who's Making Love,Blues Brothers,1981-01-03,1981-01-09,64,Billboard Hot 100
A Little In Love,Cliff Richard,1981-01-03,1981-01-09,65,Billboard Hot 100
Never Knew Love Like This Before,Stephanie Mills,1981-01-03,1981-01-09,66,Billboard Hot 100
The Horizontal Bop,Bob Seger,1981-01-03,1981-01-09,67,Billboard Hot 100
Could I Be Dreaming,The Pointer Sisters,1981-01-03,1981-01-09,68,Billboard Hot 100
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),The Star Wars Intergalactic Droid Choir & Chorale,1981-01-03,1981-01-09,69,Billboard Hot 100
Ah! Leah!,Donnie Iris,1981-01-03,1981-01-09,70,Billboard Hot 100
Back In Black,AC/DC,1981-01-03,1981-01-09,71,Billboard Hot 100
Fashion,David Bowie,1981-01-03,1981-01-09,72,Billboard Hot 100
Set The Night On Fire,Oak,1981-01-03,1981-01-09,73,Billboard Hot 100
Easy Love,Dionne Warwick,1981-01-03,1981-01-09,74,Billboard Hot 100
Turning Japanese,The Vapors,1981-01-03,1981-01-09,75,Billboard Hot 100
Without Your Love,Roger Daltrey,1981-01-03,1981-01-09,76,Billboard Hot 100
Upside Down,Diana Ross,1981-01-03,1981-01-09,77,Billboard Hot 100
Lovely One,The Jacksons,1981-01-03,1981-01-09,78,Billboard Hot 100
Full Of Fire,Shalamar,1981-01-03,1981-01-09,79,Billboard Hot 100
Skateaway,Dire Straits,1981-01-03,1981-01-09,80,Billboard Hot 100
United Together,Aretha Franklin,1981-01-03,1981-01-09,81,Billboard Hot 100
Merry Christmas In The NFL,"Willis ""The Guard"" & Vigorish",1981-01-03,1981-01-09,82,Billboard Hot 100
