song,artist,start_date,end_date,rank,ranking_list
Closer,The Chainsmokers Featuring Halsey,2016-11-05,2016-11-11,1,Billboard Hot 100
Starboy,The Weeknd Featuring Daft Punk,2016-11-05,2016-11-11,2,Billboard Hot 100
Heathens,twenty one pilots,2016-11-05,2016-11-11,3,Billboard Hot 100
Let Me Love You,DJ Snake Featuring Justin Bieber,2016-11-05,2016-11-11,4,Billboard Hot 100
Broccoli,D.R.A.M. Featuring Lil Yachty,2016-11-05,2016-11-11,5,Billboard Hot 100
24K Magic,Bruno Mars,2016-11-05,2016-11-11,6,Billboard Hot 100
Cold Water,Major Lazer Featuring Justin Bieber & MO,2016-11-05,2016-11-11,7,Billboard Hot 100
Side To Side,Ariana Grande Featuring Nicki Minaj,2016-11-05,2016-11-11,8,Billboard Hot 100
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2016-11-05,2016-11-11,9,Billboard Hot 100
Treat You Better,Shawn Mendes,2016-11-05,2016-11-11,10,Billboard Hot 100
I Hate U I Love U,gnash Featuring Olivia O'Brien,2016-11-05,2016-11-11,11,Billboard Hot 100
Cheap Thrills,Sia Featuring Sean Paul,2016-11-05,2016-11-11,12,Billboard Hot 100
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,2016-11-05,2016-11-11,13,Billboard Hot 100
Gold,Kiiara,2016-11-05,2016-11-11,14,Billboard Hot 100
Don't Let Me Down,The Chainsmokers Featuring Daya,2016-11-05,2016-11-11,15,Billboard Hot 100
Ride,twenty one pilots,2016-11-05,2016-11-11,16,Billboard Hot 100
This Is What You Came For,Calvin Harris Featuring Rihanna,2016-11-05,2016-11-11,17,Billboard Hot 100
Starving,Hailee Steinfeld & Grey Featuring Zedd,2016-11-05,2016-11-11,18,Billboard Hot 100
Can't Stop The Feeling!,Justin Timberlake,2016-11-05,2016-11-11,19,Billboard Hot 100
Luv,Tory Lanez,2016-11-05,2016-11-11,20,Billboard Hot 100
OOOUUU,Young M.A,2016-11-05,2016-11-11,21,Billboard Hot 100
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016-11-05,2016-11-11,22,Billboard Hot 100
One Dance,Drake Featuring WizKid & Kyla,2016-11-05,2016-11-11,23,Billboard Hot 100
Send My Love (To Your New Lover),Adele,2016-11-05,2016-11-11,24,Billboard Hot 100
The Greatest,Sia Featuring Kendrick Lamar,2016-11-05,2016-11-11,25,Billboard Hot 100
Needed Me,Rihanna,2016-11-05,2016-11-11,26,Billboard Hot 100
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016-11-05,2016-11-11,27,Billboard Hot 100
Too Good,Drake Featuring Rihanna,2016-11-05,2016-11-11,28,Billboard Hot 100
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016-11-05,2016-11-11,29,Billboard Hot 100
Unsteady,X Ambassadors,2016-11-05,2016-11-11,30,Billboard Hot 100
Hymn For The Weekend,Coldplay,2016-11-05,2016-11-11,31,Billboard Hot 100
Caroline,Amine,2016-11-05,2016-11-11,32,Billboard Hot 100
"Sit Still, Look Pretty",Daya,2016-11-05,2016-11-11,33,Billboard Hot 100
Tiimmy Turner,Desiigner,2016-11-05,2016-11-11,34,Billboard Hot 100
My Way,Calvin Harris,2016-11-05,2016-11-11,35,Billboard Hot 100
Scars To Your Beautiful,Alessia Cara,2016-11-05,2016-11-11,36,Billboard Hot 100
Setting The World On Fire,Kenny Chesney Featuring P!nk,2016-11-05,2016-11-11,37,Billboard Hot 100
Panda,Desiigner,2016-11-05,2016-11-11,38,Billboard Hot 100
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,2016-11-05,2016-11-11,39,Billboard Hot 100
Blue Ain't Your Color,Keith Urban,2016-11-05,2016-11-11,40,Billboard Hot 100
Into You,Ariana Grande,2016-11-05,2016-11-11,41,Billboard Hot 100
In The Name Of Love,Martin Garrix & Bebe Rexha,2016-11-05,2016-11-11,42,Billboard Hot 100
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,2016-11-05,2016-11-11,43,Billboard Hot 100
All We Know,The Chainsmokers Featuring Phoebe Ryan,2016-11-05,2016-11-11,44,Billboard Hot 100
Controlla,Drake,2016-11-05,2016-11-11,45,Billboard Hot 100
Middle Of A Memory,Cole Swindell,2016-11-05,2016-11-11,46,Billboard Hot 100
For Free,DJ Khaled Featuring Drake,2016-11-05,2016-11-11,47,Billboard Hot 100
No Limit,Usher Featuring Young Thug,2016-11-05,2016-11-11,48,Billboard Hot 100
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016-11-05,2016-11-11,49,Billboard Hot 100
May We All,Florida Georgia Line Featuring Tim McGraw,2016-11-05,2016-11-11,50,Billboard Hot 100
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,2016-11-05,2016-11-11,51,Billboard Hot 100
1 Night,Lil Yachty,2016-11-05,2016-11-11,52,Billboard Hot 100
Move,Luke Bryan,2016-11-05,2016-11-11,53,Billboard Hot 100
X,21 Savage & Metro Boomin Featuring Future,2016-11-05,2016-11-11,54,Billboard Hot 100
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",2016-11-05,2016-11-11,55,Billboard Hot 100
I Know Somebody,LOCASH,2016-11-05,2016-11-11,56,Billboard Hot 100
A Little More Summertime,Jason Aldean,2016-11-05,2016-11-11,57,Billboard Hot 100
Money Longer,Lil Uzi Vert,2016-11-05,2016-11-11,58,Billboard Hot 100
All Time Low,Jon Bellion,2016-11-05,2016-11-11,59,Billboard Hot 100
Come And See Me,PARTYNEXTDOOR Featuring Drake,2016-11-05,2016-11-11,60,Billboard Hot 100
Sleep Without You,Brett Young,2016-11-05,2016-11-11,61,Billboard Hot 100
It Don't Hurt Like It Used To,Billy Currington,2016-11-05,2016-11-11,62,Billboard Hot 100
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,2016-11-05,2016-11-11,63,Billboard Hot 100
Fade,Kanye West,2016-11-05,2016-11-11,64,Billboard Hot 100
This Town,Niall Horan,2016-11-05,2016-11-11,65,Billboard Hot 100
Vice,Miranda Lambert,2016-11-05,2016-11-11,66,Billboard Hot 100
HandClap,Fitz And The Tantrums,2016-11-05,2016-11-11,67,Billboard Hot 100
False Alarm,The Weeknd,2016-11-05,2016-11-11,68,Billboard Hot 100
Song For Another Time,Old Dominion,2016-11-05,2016-11-11,69,Billboard Hot 100
Key To The Streets,YFN Lucci Featuring Migos & Trouble,2016-11-05,2016-11-11,70,Billboard Hot 100
You Was Right,Lil Uzi Vert,2016-11-05,2016-11-11,71,Billboard Hot 100
Blow Your Mind (Mwah),Dua Lipa,2016-11-05,2016-11-11,72,Billboard Hot 100
Dirty Laundry,Carrie Underwood,2016-11-05,2016-11-11,73,Billboard Hot 100
Fresh Eyes,Andy Grammer,2016-11-05,2016-11-11,74,Billboard Hot 100
This Girl,Kungs vs Cookin' On 3 Burners,2016-11-05,2016-11-11,75,Billboard Hot 100
Wanna Be That Song,Brett Eldredge,2016-11-05,2016-11-11,76,Billboard Hot 100
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",2016-11-05,2016-11-11,77,Billboard Hot 100
Capsize,Frenship & Emily Warren,2016-11-05,2016-11-11,78,Billboard Hot 100
All Eyez,The Game Featuring Jeremih,2016-11-05,2016-11-11,79,Billboard Hot 100
Bad Things,Machine Gun Kelly x Camila Cabello,2016-11-05,2016-11-11,80,Billboard Hot 100
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,2016-11-05,2016-11-11,81,Billboard Hot 100
Hold Up,Beyonce,2016-11-05,2016-11-11,82,Billboard Hot 100
Different For Girls,Dierks Bentley Featuring Elle King,2016-11-05,2016-11-11,83,Billboard Hot 100
Mercy,Shawn Mendes,2016-11-05,2016-11-11,84,Billboard Hot 100
Ain't My Fault,Zara Larsson,2016-11-05,2016-11-11,85,Billboard Hot 100
THat Part,ScHoolboy Q Featuring Kanye West,2016-11-05,2016-11-11,86,Billboard Hot 100
CRZY,Kehlani,2016-11-05,2016-11-11,87,Billboard Hot 100
