song,artist,start_date,end_date,rank,ranking_list
On Bended Knee,Boyz II Men,1994-12-10,1994-12-16,1,Billboard Hot 100
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,1994-12-10,1994-12-16,2,Billboard Hot 100
Another Night,Real McCoy,1994-12-10,1994-12-16,3,Billboard Hot 100
Always,Bon Jovi,1994-12-10,1994-12-16,4,Billboard Hot 100
I'll Make Love To You,Boyz II Men,1994-12-10,1994-12-16,5,Billboard Hot 100
Creep,TLC,1994-12-10,1994-12-16,6,Billboard Hot 100
Secret,Madonna,1994-12-10,1994-12-16,7,Billboard Hot 100
All I Wanna Do,Sheryl Crow,1994-12-10,1994-12-16,8,Billboard Hot 100
I Wanna Be Down,Brandy,1994-12-10,1994-12-16,9,Billboard Hot 100
You Want This/70's Love Groove,Janet Jackson,1994-12-10,1994-12-16,10,Billboard Hot 100
I'm The Only One,Melissa Etheridge,1994-12-10,1994-12-16,11,Billboard Hot 100
Tootsee Roll,69 Boyz,1994-12-10,1994-12-16,12,Billboard Hot 100
Before I Let You Go,BLACKstreet,1994-12-10,1994-12-16,13,Billboard Hot 100
Never Lie,Immature,1994-12-10,1994-12-16,14,Billboard Hot 100
100% Pure Love,Crystal Waters,1994-12-10,1994-12-16,15,Billboard Hot 100
"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan,1994-12-10,1994-12-16,16,Billboard Hot 100
Sukiyaki,4PM,1994-12-10,1994-12-16,17,Billboard Hot 100
Practice What You Preach,Barry White,1994-12-10,1994-12-16,18,Billboard Hot 100
I'll Stand By You,Pretenders,1994-12-10,1994-12-16,19,Billboard Hot 100
Living In Danger,Ace Of Base,1994-12-10,1994-12-16,20,Billboard Hot 100
"December 1963 (Oh, What A Night)",The 4 Seasons,1994-12-10,1994-12-16,21,Billboard Hot 100
"What's The Frequency, Kenneth?",R.E.M.,1994-12-10,1994-12-16,22,Billboard Hot 100
Flava In Ya Ear,Craig Mack,1994-12-10,1994-12-16,23,Billboard Hot 100
You Gotta Be,Des'ree,1994-12-10,1994-12-16,24,Billboard Hot 100
Short Dick Man,20 Fingers Featuring Gillette,1994-12-10,1994-12-16,25,Billboard Hot 100
When Can I See You,Babyface,1994-12-10,1994-12-16,26,Billboard Hot 100
The Sweetest Days,Vanessa Williams,1994-12-10,1994-12-16,27,Billboard Hot 100
Wild Night,John Mellencamp With Me'Shell Ndegeocello,1994-12-10,1994-12-16,28,Billboard Hot 100
Be Happy,Mary J. Blige,1994-12-10,1994-12-16,29,Billboard Hot 100
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,1994-12-10,1994-12-16,30,Billboard Hot 100
"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick,1994-12-10,1994-12-16,31,Billboard Hot 100
