song,artist,start_date,end_date,rank,ranking_list
Leader Of The Pack,The Shangri-Las,1964-11-28,1964-12-04,1,Billboard Hot 100
Baby Love,The Supremes,1964-11-28,1964-12-04,2,Billboard Hot 100
Come A Little Bit Closer,Jay & The Americans,1964-11-28,1964-12-04,3,Billboard Hot 100
She's Not There,The Zombies,1964-11-28,1964-12-04,4,Billboard Hot 100
Ringo,Lorne Greene,1964-11-28,1964-12-04,5,Billboard Hot 100
Mr. Lonely,Bobby Vinton,1964-11-28,1964-12-04,6,Billboard Hot 100
You Really Got Me,The Kinks,1964-11-28,1964-12-04,7,Billboard Hot 100
Time Is On My Side,The Rolling Stones,1964-11-28,1964-12-04,8,Billboard Hot 100
Last Kiss,J. Frank Wilson and The Cavaliers,1964-11-28,1964-12-04,9,Billboard Hot 100
Mountain Of Love,Johnny Rivers,1964-11-28,1964-12-04,10,Billboard Hot 100
I'm Gonna Be Strong,Gene Pitney,1964-11-28,1964-12-04,11,Billboard Hot 100
Ask Me,Elvis Presley With The Jordanaires,1964-11-28,1964-12-04,12,Billboard Hot 100
Come See About Me,The Supremes,1964-11-28,1964-12-04,13,Billboard Hot 100
Have I The Right?,The Honeycombs,1964-11-28,1964-12-04,14,Billboard Hot 100
"Dance, Dance, Dance",The Beach Boys,1964-11-28,1964-12-04,15,Billboard Hot 100
Right Or Wrong,Ronnie Dove,1964-11-28,1964-12-04,16,Billboard Hot 100
Is It True,Brenda Lee,1964-11-28,1964-12-04,17,Billboard Hot 100
Everything's Alright,The Newbeats,1964-11-28,1964-12-04,18,Billboard Hot 100
I'm Into Something Good,Herman's Hermits,1964-11-28,1964-12-04,19,Billboard Hot 100
Reach Out For Me,Dionne Warwick,1964-11-28,1964-12-04,20,Billboard Hot 100
"Oh, Pretty Woman",Roy Orbison And The Candy Men,1964-11-28,1964-12-04,21,Billboard Hot 100
Big Man In Town,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1964-11-28,1964-12-04,22,Billboard Hot 100
The Door Is Still Open To My Heart,Dean Martin,1964-11-28,1964-12-04,23,Billboard Hot 100
Goin' Out Of My Head,Little Anthony And The Imperials,1964-11-28,1964-12-04,24,Billboard Hot 100
Ain't That Loving You Baby,Elvis Presley,1964-11-28,1964-12-04,25,Billboard Hot 100
The Jerk,The Larks,1964-11-28,1964-12-04,26,Billboard Hot 100
Sidewalk Surfin',Jan & Dean,1964-11-28,1964-12-04,27,Billboard Hot 100
Sha La La,Manfred Mann,1964-11-28,1964-12-04,28,Billboard Hot 100
Walking In The Rain,The Ronettes,1964-11-28,1964-12-04,29,Billboard Hot 100
Saturday Night At The Movies,The Drifters,1964-11-28,1964-12-04,30,Billboard Hot 100
Do Wah Diddy Diddy,Manfred Mann,1964-11-28,1964-12-04,31,Billboard Hot 100
Let It Be Me,Betty Everett & Jerry Butler,1964-11-28,1964-12-04,32,Billboard Hot 100
I Don't Want To See You Again,Peter And Gordon,1964-11-28,1964-12-04,33,Billboard Hot 100
Little Honda,The Hondells,1964-11-28,1964-12-04,34,Billboard Hot 100
Slaughter On Tenth Avenue,The Ventures,1964-11-28,1964-12-04,35,Billboard Hot 100
Who Can I Turn To (When Nobody Needs Me),Tony Bennett,1964-11-28,1964-12-04,36,Billboard Hot 100
We'll Sing In The Sunshine,Gale Garnett,1964-11-28,1964-12-04,37,Billboard Hot 100
Shaggy Dog,Mickey Lee Lane,1964-11-28,1964-12-04,38,Billboard Hot 100
She Understands Me,Johnny Tillotson,1964-11-28,1964-12-04,39,Billboard Hot 100
"My Love, Forgive Me (Amore, Scusami)",Robert Goulet,1964-11-28,1964-12-04,40,Billboard Hot 100
Oh No Not My Baby,Maxine Brown,1964-11-28,1964-12-04,41,Billboard Hot 100
Don't Ever Leave Me,Connie Francis,1964-11-28,1964-12-04,42,Billboard Hot 100
We Could,Al Martino,1964-11-28,1964-12-04,43,Billboard Hot 100
"Gone, Gone, Gone",The Everly Brothers,1964-11-28,1964-12-04,44,Billboard Hot 100
Chug-A-Lug,Roger Miller,1964-11-28,1964-12-04,45,Billboard Hot 100
Any Way You Want It,The Dave Clark Five,1964-11-28,1964-12-04,46,Billboard Hot 100
Ain't It The Truth,Mary Wells,1964-11-28,1964-12-04,47,Billboard Hot 100
When You Walk In The Room,The Searchers,1964-11-28,1964-12-04,48,Billboard Hot 100
You Should Have Seen The Way He Looked At Me,The Dixie Cups,1964-11-28,1964-12-04,49,Billboard Hot 100
Too Many Fish In The Sea,The Marvelettes,1964-11-28,1964-12-04,50,Billboard Hot 100
The Wedding,Julie Rogers,1964-11-28,1964-12-04,51,Billboard Hot 100
Ain't Doing Too Bad (Part 1),Bobby Bland,1964-11-28,1964-12-04,52,Billboard Hot 100
Needle In A Haystack,The Velvelettes,1964-11-28,1964-12-04,53,Billboard Hot 100
Little Marie,Chuck Berry,1964-11-28,1964-12-04,54,Billboard Hot 100
Willow Weep For Me,Chad & Jeremy,1964-11-28,1964-12-04,55,Billboard Hot 100
S-W-I-M,Bobby Freeman,1964-11-28,1964-12-04,56,Billboard Hot 100
I Had A Talk With My Man,Mitty Collier,1964-11-28,1964-12-04,57,Billboard Hot 100
"It Ain't Me, Babe",Johnny Cash,1964-11-28,1964-12-04,58,Billboard Hot 100
Amen,The Impressions,1964-11-28,1964-12-04,59,Billboard Hot 100
Four Strong Winds,Bobby Bare,1964-11-28,1964-12-04,60,Billboard Hot 100
What Good Am I Without You,Marvin Gaye & Kim Weston,1964-11-28,1964-12-04,61,Billboard Hot 100
Since I Don't Have You,Chuck Jackson,1964-11-28,1964-12-04,62,Billboard Hot 100
"Run, Run, Run",The Gestures,1964-11-28,1964-12-04,63,Billboard Hot 100
One More Time,The Ray Charles Singers,1964-11-28,1964-12-04,64,Billboard Hot 100
How Sweet It Is To Be Loved By You,Marvin Gaye,1964-11-28,1964-12-04,65,Billboard Hot 100
Opportunity,The Jewels,1964-11-28,1964-12-04,66,Billboard Hot 100
Almost There,Andy Williams,1964-11-28,1964-12-04,67,Billboard Hot 100
Without The One You Love (Life's Not Worth While),Four Tops,1964-11-28,1964-12-04,68,Billboard Hot 100
Listen Lonely Girl,Johnny Mathis,1964-11-28,1964-12-04,69,Billboard Hot 100
Chained And Bound,Otis Redding,1964-11-28,1964-12-04,70,Billboard Hot 100
Keep Searchin' (We'll Follow The Sun),Del Shannon,1964-11-28,1964-12-04,71,Billboard Hot 100
California Bound,Ronny And The Daytonas,1964-11-28,1964-12-04,72,Billboard Hot 100
If You Want This Love,Sonny Knight,1964-11-28,1964-12-04,73,Billboard Hot 100
Come See About Me,Nella Dodds,1964-11-28,1964-12-04,74,Billboard Hot 100
Dear Heart,Jack Jones,1964-11-28,1964-12-04,75,Billboard Hot 100
The Price,Solomon Burke,1964-11-28,1964-12-04,76,Billboard Hot 100
Thou Shalt Not Steal,Dick and DeeDee,1964-11-28,1964-12-04,77,Billboard Hot 100
Dear Heart,Andy Williams,1964-11-28,1964-12-04,78,Billboard Hot 100
