song,artist,start_date,end_date,rank,ranking_list
Promiscuous,Nelly Furtado Featuring Timbaland,2006-08-05,2006-08-11,1,Billboard Hot 100
Crazy,Gnarls Barkley,2006-08-05,2006-08-11,2,Billboard Hot 100
Me & U,Cassie,2006-08-05,2006-08-11,3,Billboard Hot 100
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006-08-05,2006-08-11,4,Billboard Hot 100
It's Goin' Down,Yung Joc,2006-08-05,2006-08-11,5,Billboard Hot 100
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006-08-05,2006-08-11,6,Billboard Hot 100
Unfaithful,Rihanna,2006-08-05,2006-08-11,7,Billboard Hot 100
Ain't No Other Man,Christina Aguilera,2006-08-05,2006-08-11,8,Billboard Hot 100
Over My Head (Cable Car),The Fray,2006-08-05,2006-08-11,9,Billboard Hot 100
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006-08-05,2006-08-11,10,Billboard Hot 100
I Write Sins Not Tragedies,Panic! At The Disco,2006-08-05,2006-08-11,11,Billboard Hot 100
So What,Field Mob Featuring Ciara,2006-08-05,2006-08-11,12,Billboard Hot 100
Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006-08-05,2006-08-11,13,Billboard Hot 100
Ridin',Chamillionaire Featuring Krayzie Bone,2006-08-05,2006-08-11,14,Billboard Hot 100
Shoulder Lean,Young Dro Featuring T.I.,2006-08-05,2006-08-11,15,Billboard Hot 100
Bossy,Kelis Featuring Too $hort,2006-08-05,2006-08-11,16,Billboard Hot 100
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006-08-05,2006-08-11,17,Billboard Hot 100
U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006-08-05,2006-08-11,18,Billboard Hot 100
Sexy Love,Ne-Yo,2006-08-05,2006-08-11,19,Billboard Hot 100
Dani California,Red Hot Chili Peppers,2006-08-05,2006-08-11,20,Billboard Hot 100
Waiting On The World To Change,John Mayer,2006-08-05,2006-08-11,21,Billboard Hot 100
Bad Day,Daniel Powter,2006-08-05,2006-08-11,22,Billboard Hot 100
Move Along,The All-American Rejects,2006-08-05,2006-08-11,23,Billboard Hot 100
Life Is A Highway,Rascal Flatts,2006-08-05,2006-08-11,24,Billboard Hot 100
Call On Me,Janet & Nelly,2006-08-05,2006-08-11,25,Billboard Hot 100
Black Horse & The Cherry Tree,KT Tunstall,2006-08-05,2006-08-11,26,Billboard Hot 100
Savin' Me,Nickelback,2006-08-05,2006-08-11,27,Billboard Hot 100
Invisible,Ashlee Simpson,2006-08-05,2006-08-11,28,Billboard Hot 100
Stars Are Blind,Paris Hilton,2006-08-05,2006-08-11,29,Billboard Hot 100
A Public Affair,Jessica Simpson,2006-08-05,2006-08-11,30,Billboard Hot 100
Why You Wanna,T.I.,2006-08-05,2006-08-11,31,Billboard Hot 100
Deja Vu,Beyonce Featuring Jay Z,2006-08-05,2006-08-11,32,Billboard Hot 100
SOS,Rihanna,2006-08-05,2006-08-11,33,Billboard Hot 100
Unwritten,Natasha Bedingfield,2006-08-05,2006-08-11,34,Billboard Hot 100
What's Left Of Me,Nick Lachey,2006-08-05,2006-08-11,35,Billboard Hot 100
Where'd You Go,Fort Minor Featuring Holly Brook,2006-08-05,2006-08-11,36,Billboard Hot 100
