song,artist,start_date,end_date,rank,ranking_list
All For You,Janet,2001-05-12,2001-05-18,1,Billboard Hot 100
Survivor,Destiny's Child,2001-05-12,2001-05-18,2,Billboard Hot 100
Thank You,Dido,2001-05-12,2001-05-18,3,Billboard Hot 100
Hanging By A Moment,Lifehouse,2001-05-12,2001-05-18,4,Billboard Hot 100
Ride Wit Me,Nelly Featuring City Spud,2001-05-12,2001-05-18,5,Billboard Hot 100
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",2001-05-12,2001-05-18,6,Billboard Hot 100
Angel,Shaggy Featuring Rayvon,2001-05-12,2001-05-18,7,Billboard Hot 100
Missing You,Case,2001-05-12,2001-05-18,8,Billboard Hot 100
Follow Me,Uncle Kracker,2001-05-12,2001-05-18,9,Billboard Hot 100
Never Had A Dream Come True,S Club 7,2001-05-12,2001-05-18,10,Billboard Hot 100
What Would You Do?,City High,2001-05-12,2001-05-18,11,Billboard Hot 100
Stutter,Joe Featuring Mystikal,2001-05-12,2001-05-18,12,Billboard Hot 100
I'm Like A Bird,Nelly Furtado,2001-05-12,2001-05-18,13,Billboard Hot 100
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",2001-05-12,2001-05-18,14,Billboard Hot 100
Again,Lenny Kravitz,2001-05-12,2001-05-18,15,Billboard Hot 100
South Side,Moby Featuring Gwen Stefani,2001-05-12,2001-05-18,16,Billboard Hot 100
Butterfly,Crazy Town,2001-05-12,2001-05-18,17,Billboard Hot 100
Heard It All Before,Sunshine Anderson,2001-05-12,2001-05-18,18,Billboard Hot 100
Stranger In My House,Tamia,2001-05-12,2001-05-18,19,Billboard Hot 100
Play,Jennifer Lopez,2001-05-12,2001-05-18,20,Billboard Hot 100
Put It On Me,Ja Rule Featuring Lil' Mo & Vita,2001-05-12,2001-05-18,21,Billboard Hot 100
Fiesta,R. Kelly Featuring Jay-Z,2001-05-12,2001-05-18,22,Billboard Hot 100
Jaded,Aerosmith,2001-05-12,2001-05-18,23,Billboard Hot 100
Bizounce,Olivia,2001-05-12,2001-05-18,24,Billboard Hot 100
Love,Musiq Soulchild,2001-05-12,2001-05-18,25,Billboard Hot 100
I Hope You Dance,Lee Ann Womack,2001-05-12,2001-05-18,26,Billboard Hot 100
Peaches & Cream,112,2001-05-12,2001-05-18,27,Billboard Hot 100
If You're Gone,matchbox twenty,2001-05-12,2001-05-18,28,Billboard Hot 100
Drops Of Jupiter (Tell Me),Train,2001-05-12,2001-05-18,29,Billboard Hot 100
Crazy,K-Ci & JoJo,2001-05-12,2001-05-18,30,Billboard Hot 100
Ain't Nothing 'Bout You,Brooks & Dunn,2001-05-12,2001-05-18,31,Billboard Hot 100
Get Over Yourself,Eden's Crush,2001-05-12,2001-05-18,32,Billboard Hot 100
Oochie Wally,QB Finest Featuring Nas & Bravehearts,2001-05-12,2001-05-18,33,Billboard Hot 100
Superwoman Pt. II,Lil' Mo Featuring Fabolous,2001-05-12,2001-05-18,34,Billboard Hot 100
"So Fresh, So Clean",OutKast,2001-05-12,2001-05-18,35,Billboard Hot 100
Grown Men Don't Cry,Tim McGraw,2001-05-12,2001-05-18,36,Billboard Hot 100
It's A Great Day To Be Alive,Travis Tritt,2001-05-12,2001-05-18,37,Billboard Hot 100
Maybe I Deserve,Tank,2001-05-12,2001-05-18,38,Billboard Hot 100
Don't Happen Twice,Kenny Chesney,2001-05-12,2001-05-18,39,Billboard Hot 100
Who I Am,Jessica Andrews,2001-05-12,2001-05-18,40,Billboard Hot 100
If I Fall You're Going Down With Me,Dixie Chicks,2001-05-12,2001-05-18,41,Billboard Hot 100
Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,2001-05-12,2001-05-18,42,Billboard Hot 100
Drive,Incubus,2001-05-12,2001-05-18,43,Billboard Hot 100
The Way You Love Me,Faith Hill,2001-05-12,2001-05-18,44,Billboard Hot 100
Mrs. Steven Rudy,Mark McGuinn,2001-05-12,2001-05-18,45,Billboard Hot 100
What It Feels Like For A Girl,Madonna,2001-05-12,2001-05-18,46,Billboard Hot 100
Promise,Jagged Edge,2001-05-12,2001-05-18,47,Billboard Hot 100
One More Day,Diamond Rio,2001-05-12,2001-05-18,48,Billboard Hot 100
Yellow,Coldplay,2001-05-12,2001-05-18,49,Billboard Hot 100
Take It To Da House,Trick Daddy Featuring The SNS Express,2001-05-12,2001-05-18,50,Billboard Hot 100
Breathless,The Corrs,2001-05-12,2001-05-18,51,Billboard Hot 100
Until The End Of Time,2Pac,2001-05-12,2001-05-18,52,Billboard Hot 100
Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",2001-05-12,2001-05-18,53,Billboard Hot 100
Video,India.Arie,2001-05-12,2001-05-18,54,Billboard Hot 100
Right Where I Need To Be,Gary Allan,2001-05-12,2001-05-18,55,Billboard Hot 100
Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,2001-05-12,2001-05-18,56,Billboard Hot 100
You Shouldn't Kiss Me Like This,Toby Keith,2001-05-12,2001-05-18,57,Billboard Hot 100
Southern Hospitality,Ludacris,2001-05-12,2001-05-18,58,Billboard Hot 100
It's Been Awhile,Staind,2001-05-12,2001-05-18,59,Billboard Hot 100
If You Can Do Anything Else,George Strait,2001-05-12,2001-05-18,60,Billboard Hot 100
I Like Them Girls,Tyrese,2001-05-12,2001-05-18,61,Billboard Hot 100
I Could Not Ask For More,Sara Evans,2001-05-12,2001-05-18,62,Billboard Hot 100
I'm Already There,Lonestar,2001-05-12,2001-05-18,63,Billboard Hot 100
Mad Season,matchbox twenty,2001-05-12,2001-05-18,64,Billboard Hot 100
She Couldn't Change Me,Montgomery Gentry,2001-05-12,2001-05-18,65,Billboard Hot 100
There It Is,Ginuwine,2001-05-12,2001-05-18,66,Billboard Hot 100
This Is Me,Dream,2001-05-12,2001-05-18,67,Billboard Hot 100
"Baby, Come Over (This Is Our Night)",Samantha Mumba,2001-05-12,2001-05-18,68,Billboard Hot 100
Two People Fell In Love,Brad Paisley,2001-05-12,2001-05-18,69,Billboard Hot 100
Angel,Lionel Richie,2001-05-12,2001-05-18,70,Billboard Hot 100
Look At Us,Sarina Paris,2001-05-12,2001-05-18,71,Billboard Hot 100
A Long Walk,Jill Scott,2001-05-12,2001-05-18,72,Billboard Hot 100
Around The World (La La La La La),ATC,2001-05-12,2001-05-18,73,Billboard Hot 100
Hit 'Em Up Style (Oops!),Blu Cantrell,2001-05-12,2001-05-18,74,Billboard Hot 100
When Somebody Loves You,Alan Jackson,2001-05-12,2001-05-18,75,Billboard Hot 100
My Way,Limp Bizkit,2001-05-12,2001-05-18,76,Billboard Hot 100
If My Heart Had Wings,Faith Hill,2001-05-12,2001-05-18,77,Billboard Hot 100
I Cry,Ja Rule Featuring Lil' Mo,2001-05-12,2001-05-18,78,Billboard Hot 100
Who's That Girl?,Eve,2001-05-12,2001-05-18,79,Billboard Hot 100
Puppy Love,Lil Bow Wow Featuring Jagged Edge,2001-05-12,2001-05-18,80,Billboard Hot 100
Rose Bouquet,Phil Vassar,2001-05-12,2001-05-18,81,Billboard Hot 100
Best I Ever Had (Grey Sky Morning),Vertical Horizon,2001-05-12,2001-05-18,82,Billboard Hot 100
